"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SHLM","A. Schulman, Inc.","30.6","901620432","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"ADES","Advanced Emissions Solutions, Inc.","9.02","201097048.46","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"ASIX","AdvanSix Inc.","33.18","1011424811.88","n/a","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/asix",
"AEGN","Aegion Corp","22.38","749537666.28","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AMTX","Aemetis, Inc","1.23","24226629.81","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx",
"AEM","Agnico Eagle Mines Limited","43.56","10093416189.12","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aem",
"AGU","Agrium Inc.","90.69","12531219348.42","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/agu",
"APD","Air Products and Chemicals, Inc.","144.01","31354503948.91","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apd",
"AKS","AK Steel Holding Corporation","5.95","1873210231.55","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
"AGI","Alamos Gold Inc.","6.69","2001991411.08","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/agi",
"AIN","Albany International Corporation","54.05","1735005000","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","109.99","12181644157.12","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alb",
"AXU","Alexco Resource Corp","1.27","128476698.85","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","3.94","140117668.4","n/a","2011","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/alo",
"ATI","Allegheny Technologies Incorporated","16.93","1842360777.15","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ati",
"AAU","Almaden Minerals, Ltd.","1.14","114160867.68","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"ACH","Aluminum Corporation of China Limited","13.73","8185165985.17","n/a","2001","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"AMRK","A-Mark Precious Metals, Inc.","16.71","117495529.5","n/a","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AMRC","Ameresco, Inc.","7.15","324785725.55","n/a","2010","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/amrc",
"AVD","American Vanguard Corporation","17.7","527159613.3","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/avd",
"AMWD","American Woodmark Corporation","97.75","1593847571.5","n/a","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"USAS","Americas Silver Corporation","2.6","103745488.6","n/a","2017","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/usas",
"AMRS","Amyris, Inc.","3.3178","66071229.9082","n/a","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"AU","AngloGold Ashanti Limited","9.51","3883163446.32","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/au",
"AQMS","Aqua Metals, Inc.","12.12","244116628.32","n/a","2015","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/aqms",
"RKDA","Arcadia Biosciences, Inc.","0.425","18132548.925","n/a","2015","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rkda",
"MT","ArcelorMittal","23.05","23554878510.15","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"AGX","Argan, Inc.","60.9","945150887.1","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/agx",
