"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AVHI","A V Homes, Inc.","19.9","446595581.1","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"AAON","AAON, Inc.","37.2","1956732313.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","35.46","1217134394.46","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"ABAX","ABAXIS, Inc.","52.6","1191600400","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"AXDX","Accelerate Diagnostics, Inc.","27.4","1510298549","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"ACU","Acme United Corporation.","28.45","95441556.4","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"ADNT","Adient plc","67.65","6338598938.1","n/a","2016","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adnt",
"ADOM","ADOMANI, Inc.","16.85","1189176314.7","n/a","2017","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adom",
"WMS","Advanced Drainage Systems, Inc.","19.4","1078942019.2","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","66.97","2663609931.57","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","3.88","82292130.56","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","21.79","1623355000","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","38.67","917635658.37","n/a","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEMD","Aethlon Medical, Inc.","2.09","18537403.39","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd",
"AGCO","AGCO Corporation","68.38","5435818182.6","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","59.63","19161351726.09","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","1.4","10710231","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"ALG","Alamo Group, Inc.","93.31","1077753267.64","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg",
"AA","Alcoa Corporation","34.19","6299171480.68","n/a","2016","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa",
