"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","24.72","52993146850.08","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ACCO","Acco Brands Corporation","12","1314607320","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"AYI","Acuity Brands Inc","198.53","8356782451.94","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"AMSC","American Superconductor Corporation","4.55","87322030.25","n/a","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc",
"CRMT","America&#39;s Car-Mart, Inc.","38.1","288282468.9","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"AME","AMTEK, Inc.","61.56","14165459991.72","n/a","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/ame",
"AIT","Applied Industrial Technologies, Inc.","59.5","2322341941.5","n/a","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/ait",
"ARD","Ardagh Group S.A.","21.96","5136356160","n/a","2017","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/ard",
"ABG","Asbury Automotive Group Inc","55.45","1167377815.45","n/a","2002","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/abg",
"ASH","Ashland Global Holdings Inc.","65.71","4089132445.77","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/ash",
"AN","AutoNation, Inc.","41.8","4232726812.6","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/an",
"AVY","Avery Dennison Corporation","90.78","8039256749.28","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/avy",
"AZZ","AZZ Inc.","48.4","1260401436.8","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/azz",
"BLL","Ball Corporation","42.3","14853895077.6","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/bll",
"BSET","Bassett Furniture Industries, Incorporated","39.85","427374752.1","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/bset",
"BMS","Bemis Company, Inc.","46.69","4293190275.71","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/bms",
"BRC","Brady Corporation","33.55","1721017906.3","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/brc",
"CWH","Camping World Holdings, Inc.","29.05","2496973431.75","n/a","2016","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cwh",
"KMX","CarMax Inc","63.95","11844160187.1","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kmx",
"CVNA","Carvana Co.","21","0","n/a","2017","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cvna",
"CASY","Caseys General Stores, Inc.","104.27","4019324677.06","n/a","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"CENT","Central Garden & Pet Company","32.19","1661760658.14","n/a","1993","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cent",
"CENTA","Central Garden & Pet Company","30.64","1581744223.84","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/centa",
"CVO","Cenveo Inc","6.07","51917723.69","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cvo",
"CTHR","Charles & Colvard Ltd","0.93","20115607.05","n/a","1997","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cthr",
"CCF","Chase Corporation","105.65","987920472","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ccf",
"CJJD","China Jo-Jo Drugstores, Inc.","1.76","44377833.28","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cjjd",
"CDXC","ChromaDex Corporation","3.67","169164590.98","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cdxc",
"CLX","Clorox Company (The)","134.38","17307907356.82","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/clx",
"CODI","Compass Diversified Holdings","17.7","1060230000","n/a","2006","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/codi",
"CTB","Cooper Tire & Rubber Company","36.15","1913532974.85","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/ctb",
"CPRT","Copart, Inc.","30.97","7133358069.22","n/a","1994","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cprt",
"CCK","Crown Holdings, Inc.","59.81","8139360180.45","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cck",
"CYAN","Cyanotech Corporation","3.3","18761757.3","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cyan",
"DAKT","Daktronics, Inc.","9.52","420628500.32","n/a","1994","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/dakt",
"DLX","Deluxe Corporation","70.52","3420316118.76","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/dlx",
"DSS","Document Security Systems, Inc.","0.77","10540455.31","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/dss",
"EDUC","Educational Development Corporation","10.7","43791055.4","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/educ",
"EFOI","Energy Focus, Inc.","2.41","28386963.43","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi",
"ENZY          ","Enzymotec Ltd.","7.85","180117245.2","n/a","2013","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/enzy",
"ESE","ESCO Technologies Inc.","60","1549830120","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/ese",
"ETH","Ethan Allen Interiors Inc.","30","830886840","n/a","1993","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/eth",
"CLWT","Euro Tech Holdings Company Limited","3.35","6907395.15","n/a","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"FLXS","Flexsteel Industries, Inc.","55.16","431085935.56","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/flxs",
