"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.55","253968509.05","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","41.6","175451993.6","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","6.55","1212357591.1","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","5.35","211037822.7","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AHGP","Alliance Holdings GP, L.P.","24.62","1473827060","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","19.35","1443452646.6","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"ALDW","Alon USA Partners, LP","10.69","668341151.8","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AETI","American Electric Technologies, Inc.","1.702","14447883.136","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AEUA","Anadarko Petroleum Corporation","40.35","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","43.36","24296305110.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"AR","Antero Resources Corporation","20.66","6517148882.86","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","45.11","17161530888.45","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","2.84","245047201.84","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"ARCX","Arc Logistic Partners LP","15.12","295077051.36","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/arcx",
"ARCH","Arch Coal, Inc.","69.64","1742467941.56","n/a","2016","Energy","Coal Mining","http://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.4","276578776.8","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/at",
"ATW","Atwood Oceanics, Inc.","7.47","601480082.34","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/atw",
"BLDP","Ballard Power Systems, Inc.","2.74","479963210.7","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","1.77","14650573.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BAS","Basic Energy Services, Inc.","24.55","638312594.15","n/a","2005","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","2.28","533985325.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bte",
"BXE","Bellatrix Exploration Ltd","2.44","120333882.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bxe",
"BBL","BHP Billiton plc","32.28","85904229213","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BBG","Bill Barrett Corporation","2.86","218206296.88","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbg",
"BSM","Black Stone Minerals, L.P.","16.11","3155665319.01","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bsm",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","5.95","227024832.3","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","7.75","233729297.25","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkepp",
