"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.825","46611693.95","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"TURN","180 Degree Capital Corp.","1.6","49794499.2","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FCCY","1st Constitution Bancorp (NJ)","17.25","138471649.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","48.67","1261703558.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"ABIL","Ability Inc.","1.08","27816633.36","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABM","ABM Industries Incorporated","41.15","2294920768.3","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ANCX","Access National Corporation","27.22","552738493.14","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACNB","ACNB Corporation","29.9","181404765.1","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","25","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.26","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.44","11365108714.24","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","26.08","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","26.07","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AMG","Affiliated Managers Group, Inc.","169.87","9615063617.34","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","25.44","0","n/a","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","77.98","30946096152.44","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","25.27","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"AGFS","AgroFresh Solutions, Inc.","7.92","398224141.92","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.94","0","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw",
"ALEX","Alexander & Baldwin Holdings, Inc.","41.31","2030291941.41","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/alex",
"Y","Alleghany Corporation","595.55","9182518643.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
"ABTX","Allegiance Bancshares, Inc.","38.9","509551839.1","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx",
"AB","AllianceBernstein Holding L.P.","24","2315356896","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","13.13","1244744758.53","n/a","2005","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nfj",
"AWH","Allied World Assurance Company Holdings, AG","48.2","4216760853","n/a","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ALL","Allstate Corporation (The)","89.19","32511366395.73","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/all",
"ALLY","Ally Financial Inc.","20.82","9560412334.32","n/a","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ally",
"AAMC","Altisource Asset Management Corp","93","144564873","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"RESI","Altisource Residential Corporation","12.86","688208789.88","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/resi",
"AMBC","Ambac Financial Group, Inc.","17.36","785174485.2","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","8.3","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"ATAX","America First Multifamily Investors, L.P.","5.95","358504921.6","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AEL","American Equity Investment Life Holding Company","27.11","2406094914.4","n/a","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","84.33","75372398755.38","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/axp",
"AFA","American Financial Group, Inc.","25.36","0","n/a","2012","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afa",
"AFG","American Financial Group, Inc.","101.56","8900402954.64","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afg",
"AFGE","American Financial Group, Inc.","27.4","0","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","27.6","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afgh",
"AIG","American International Group, Inc.","63.35","58416098456.45","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aig",
"AMNB","American National Bankshares, Inc.","37.3","322225151.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","117.17","3154955156.85","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"ARL","American Realty Investors, Inc.","8.36","129700049.6","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/arl",
"AMRB","American River Bankshares","14.35","93027591.65","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","131.31","20018722528.17","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amp",
"ABCB","Ameris Bancorp","49.2","1827497887.2","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","56.05","1077849066.75","n/a","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","4","74675136","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","27.7432","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","30.6","284913937.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
