"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","4","202350888","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","124.21","79343010243.59","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","49.24","8512285231.2","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","142.43","360257341439.27","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","3.12","112448880.96","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","256.17","14262507855.33","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.55","93817930.3","n/a","1994","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","137.45","5475201443.4","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","22.79","1445493490.24","n/a","2016","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atkr",
"AUXO","Auxilio, Inc.","4.75","44596643.25","n/a","2017","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/auxo",
"RILY","B. Riley Financial, Inc.","18.5","448966232.5","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rily",
"RILYL","B. Riley Financial, Inc.","25.99","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","25.775","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","6.75","96205016.25","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BFAM","Bright Horizons Family Solutions Inc.","76.56","4580556243.12","n/a","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
