"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CAFD","8point3 Energy Partners LP","14.62","1156164687.84","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","14.5","1328498845","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"ADTN","ADTRAN, Inc.","20.5","990636957","n/a","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"ADSW","Advanced Disposal Services, Inc.","22.71","2004503827.5","n/a","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"AKTS","Akoustis Technologies, Inc.","8.6","164045369.8","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/akts",
"ALP^O","Alabama Power Company","27.5","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^o",
"ALSK","Alaska Communications Systems Group, Inc.","2.14","112010031.04","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"AQN","Algonquin Power & Utilities Corp.","10.17","3889704553.47","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aqn",
"ALE","Allete, Inc.","71.26","3625931344.98","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","39.71","9046862369.38","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"AEE","Ameren Corporation","54.14","13136247963.72","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","15.98","52572602000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","16.19","53263481000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","69.15","34001889709.65","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","12.6","651810146.4","n/a","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","47.45","1737438310.4","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","77.76","13856141957.76","n/a","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"AMGP","Antero Midstream GP LP","21.18","3943085111.34","n/a","2017","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amgp",
"AM","Antero Midstream Partners LP","32.74","6084466883.56","n/a","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","32.79","5823558365.82","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"WAAS","AquaVenture Holdings Limited","14.72","388733532.16","n/a","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/waas",
"APLP","Archrock Partners, L.P.","14.27","935756505.76","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aplp",
"AROC","Archrock, Inc.","10.75","763030055","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aroc",
"ARTNA","Artesian Resources Corporation","37.75","345254969.25","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/artna",
"T","AT&T Inc.","36.98","227353040000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/t",
"ATTO","Atento S.A.","11.15","824085974.4","n/a","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atto",
"ABY","Atlantica Yield plc","20.2","2024388652","n/a","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"ATO","Atmos Energy Corporation","83.68","8810529881.12","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ato",
"ATNI","ATN International, Inc.","66.66","1079311858.02","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atni",
"AUDC","AudioCodes Ltd.","6.26","202894712.96","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/audc",
"AWX","Avalon Holdings Corporation","2.53","9622427.43","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AGR","Avangrid, Inc.","43.37","13404335150.67","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/agr",
