"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","4.6","273536543.6","59464466","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","44.94","2136561163.38","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","17.83","2029243871.67","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"JOBS","51job, Inc.","45.06","1207309297.26","26793371","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","44.02","6395454371.94","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"ATEN","A10 Networks, Inc.","8","554697248","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","37.75","2739830862.75","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ACIA","Acacia Communications, Inc.","40.58","1568085907.78","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACIW","ACI Worldwide, Inc.","21.57","2546174071.89","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ATVI","Activision Blizzard, Inc","56.62","42672365484.34","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","13.75","461934728.75","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ATU","Actuant Corporation","24.15","1441341189.75","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"ACXM","Acxiom Corporation","25.42","2010338437.62","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"IOTS","Adesto Technologies Corporation","4.45","70481939.1","n/a","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots",
"ADBE","Adobe Systems Incorporated","140.75","69446848756.25","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","13.02","12304110585.48","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","6.24","10325385464.16","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AER","Aercap Holdings N.V.","46.58","7911653943.82","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ACY","AeroCentury Corp.","12.275","17389980.225","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"HIVE","Aerohive Networks, Inc.","4.87","257331160.38","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"AGYS","Agilysys, Inc.","10.2","236770447.8","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AL","Air Lease Corporation","37.94","3914063064.94","n/a","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","21.5","1692344657.5","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
