"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRT","Air T, Inc.","20.5","41877174.5","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","22.26","1316080473.12","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","93.89","11605170358.78","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","137.6","2289229596.8","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"AAL","American Airlines Group, Inc.","53.03","26121985018.54","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"ARCB","ArcBest Corporation","21.6","558053841.6","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb",
"ASC","Ardmore Shipping Corporation","7.85","263568538.5","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/asc",
"AAWW","Atlas Air Worldwide Holdings","55.05","1390722589.95","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"AVH","Avianca Holdings S.A.","7","872363877","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/avh",
"AZUL","Azul S.A.","22.87","7081810284.53","n/a","2017","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/azul",
"BCO","Brink&#39;s Company (The)","66.95","3373442723.3","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","7.16","252577720.88","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","67.97","9576171633.7","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","82.23","61994851878.75","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","162.54","23821644108.78","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","3.74","461119709.6","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CGI","Celadon Group, Inc.","2.8","79238331.2","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CEA","China Eastern Airlines Corporation Ltd.","30.3","11590771503.9","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","40.57","7965973863.8","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","15.74","1592693878.58","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/vlrs",
"CPA","Copa Holdings, S.A.","123.35","5195012177.15","n/a","2005","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cpa",
"CMRE","Costamare Inc.","6.97","737710710.56","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
