username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Stockerroo;2017-07-08 02:38;0;0;"http:// smq.tc/1LlBEKl SuperAlerts Monthly changed my financial life for the better forever, check it out!! $ V $ P $ AAL $ SWKS $ ITEK";;;;"883575953707814912";https://twitter.com/Stockerroo/status/883575953707814912
politicalHEDGE;2017-07-08 01:53;0;1;"Curated 05/06/2017 @http:// Covfefe.bz | Come Fly the Unfriendly Skies $ UAL $ AAL https:// hedgeaccordingly.com/2017/05/come-f ly-the-unfriendly-skies-ual-aal.html …";;@http;;"883564591606792192";https://twitter.com/politicalHEDGE/status/883564591606792192
15minofPham;2017-07-08 00:36;0;0;"52 week high & volume above 3-mth avg: $ DHI $ TOL $ ITB $ PHM $ MCD $ CX $ AAL $ SWK $ FIS $ IR $ BA";;;;"883545217898557440";https://twitter.com/15minofPham/status/883545217898557440
Sw1ng_Trader;2017-07-07 22:40;0;1;"Fous4x2 #daytrading DVD review: http:// smq.tc/1GEVxLj $ AAPL $ FXCM $ HIMX $ ASPS $ AAL $ CELG $ SCTY $ EOPN $ DEPO $ PCP";;;#daytrading;"883516183516819456";https://twitter.com/Sw1ng_Trader/status/883516183516819456
Dallas_Trending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502172020895746";https://twitter.com/Dallas_Trending/status/883502172020895746
DenverTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502171853135872";https://twitter.com/DenverTrend/status/883502171853135872
LAtrend90210;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502171718897666";https://twitter.com/LAtrend90210/status/883502171718897666
SanDiegoTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502170716463104";https://twitter.com/SanDiegoTrend/status/883502170716463104
PhoenixTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502170125062145";https://twitter.com/PhoenixTrend/status/883502170125062145
PhillyTrend215;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502168136978434";https://twitter.com/PhillyTrend215/status/883502168136978434
LasVegasTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502167394578433";https://twitter.com/LasVegasTrend/status/883502167394578433
ChicagoTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502166345994241";https://twitter.com/ChicagoTrend/status/883502166345994241
bostontrending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502165494464512";https://twitter.com/bostontrending/status/883502165494464512
SanJoseTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502163812634625";https://twitter.com/SanJoseTrend/status/883502163812634625
SanAntonioTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502163401596928";https://twitter.com/SanAntonioTrend/status/883502163401596928
AustinTrending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502162684366849";https://twitter.com/AustinTrending/status/883502162684366849
CharlesNance415;2017-07-07 21:40;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883500906595135489";https://twitter.com/CharlesNance415/status/883500906595135489
AmyDaniel212;2017-07-07 21:35;2;1;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883499643375628288";https://twitter.com/AmyDaniel212/status/883499643375628288
StockConsultant;2017-07-07 21:08;0;1;"$ IR (IR) Ingersoll-rand stock nice breakout, also $ AAL $ ETN $ GWRE $ HRC $ JBLU $ LUV $ PHM $ ROG $ WD from today's StocksToWatch pic.twitter.com/5QLfQkq4mH";;;;"883492941557321728";https://twitter.com/StockConsultant/status/883492941557321728
AlexCena_TX;2017-07-07 20:46;1;0;"DallasBizNews: Among big carriers, American Airlines and Southwest had more delayed flights in June: http:// bizj.us/1p8e4b $ LUV $ AAL";;;;"883487363141435392";https://twitter.com/AlexCena_TX/status/883487363141435392
DallasBizNews;2017-07-07 20:45;2;1;"Among big carriers, American Airlines and Southwest had more delayed flights in June: http:// bizj.us/1p8e4b $ LUV $ AAL";;;;"883487048937635842";https://twitter.com/DallasBizNews/status/883487048937635842
StockNewsWires;2017-07-07 19:48;0;0;"$ C $ AAL : 2 Zombie Stocks Coming Back From the Dead: http://www. StockNewsWires.com/c-aal-2-zombie -stocks-coming-back-from-the-dead/ …";;;;"883472732955959296";https://twitter.com/StockNewsWires/status/883472732955959296
PennyStockZone2;2017-07-07 19:40;0;0;"Fous4x2 #daytrading DVD review: http:// smq.tc/1GEVxLj $ AAPL $ FXCM $ HIMX $ ASPS $ AAL";;;#daytrading;"883470898010902528";https://twitter.com/PennyStockZone2/status/883470898010902528
DrewZeitlin;2017-07-07 18:10;0;0;"$ AAL ROE of a super duper 55%, took off & zoomed up 23% & now a new high 1 min video #StockMarket #Stocks #Investing http:// ow.ly/dfPc30drKhN";;;#StockMarket #Stocks #Investing;"883448056284409856";https://twitter.com/DrewZeitlin/status/883448056284409856
FJavierRequenaL;2017-07-07 18:00;0;0;"Greg Schnell: American Airlines $ AAL Pushes Higher Schnellinvestor http:// scharts.co/2u1ddQs Vía stockchartscom";;;;"883445646748942337";https://twitter.com/FJavierRequenaL/status/883445646748942337
AlexCena_TX;2017-07-07 17:21;0;0;"DallasBizNews: Qatar Airways to start amassing American Airlines shares "soon," CEO says: http:// bizj.us/1p8fv0 $ AAL";;;;"883435795679465472";https://twitter.com/AlexCena_TX/status/883435795679465472
stockchartscom;2017-07-07 17:19;0;0;"Greg Schnell: American Airlines $ AAL Pushes Higher @Schnellinvestor http:// scharts.co/2u1ddQs";;@Schnellinvestor;;"883435336335892485";https://twitter.com/stockchartscom/status/883435336335892485
DallasBizNews;2017-07-07 17:19;2;0;"Qatar Airways to start amassing American Airlines shares "soon," CEO says: http:// bizj.us/1p8fv0 $ AAL";;;;"883435210267906048";https://twitter.com/DallasBizNews/status/883435210267906048
SAlphaTrending;2017-07-07 17:00;1;1;"Qatar Airways Does It Again https:// seekingalpha.com/article/408624 3-qatar-airways?source=feed_t … $ AAL $ EADSF $ BA";;;;"883430443059560448";https://twitter.com/SAlphaTrending/status/883430443059560448
GreenspudTrades;2017-07-07 16:42;0;0;"Airlines $ LUV $ UAL $ DAL $ AAL also all making 52 week highs - what a turnaround from last year's rout! http:// momentumstockscans.com/reports/fifty_ two_week_high …";;;;"883425908790620161";https://twitter.com/GreenspudTrades/status/883425908790620161
St0ckReviews;2017-07-07 15:50;0;0;"Interview with Connor Bruggeman SchoolTrader Extraordinaire!: http:// smq.tc/1GEVxL7 $ CLF $ WLT $ AAL $ SYNC $ AMRN $ ADXS";;;;"883413003743264768";https://twitter.com/St0ckReviews/status/883413003743264768
TrustedBinary;2017-07-07 15:50;0;0;"ALERT: New Trending Signal signal created on $ AAL - High at 52.98 - Time: 19:50 - Strength: 7. Powered by http:// t.trustedmarkets.com/b2";;;;"883412806221090821";https://twitter.com/TrustedBinary/status/883412806221090821
Schust737;2017-07-07 15:07;0;0;"Airline stocks on the move. $ AAL $ ALK $ HA $ LUV and $ UA . Own them all.";;;;"883402102478786561";https://twitter.com/Schust737/status/883402102478786561
tradingplays;2017-07-07 14:42;0;1;"closed out my $ AAL swing long from 6/22 near the close on 6/27 because I didn't like those wicks & a few other reasons. The rest is history. pic.twitter.com/qbjbB0UKIV";;;;"883395842383560704";https://twitter.com/tradingplays/status/883395842383560704
ist_gebongt;2017-07-07 14:42;0;1;"@tastytraderMike I've suffered through 2+ yrs of $ AAL long stk pos. Used TT strategies to reduce basis. finally looks good.";;@tastytraderMike;;"883395823005868032";https://twitter.com/ist_gebongt/status/883395823005868032
ProTradersNews;2017-07-07 14:36;0;0;"$ LUV $ AAL : United Airlines COO delivers a rousing message to employees: http://www. StockNewsWires.com/luv-aal-united -airlines-coo-delivers-a-rousing-message-to-employees/ …";;;;"883394199642558467";https://twitter.com/ProTradersNews/status/883394199642558467
StockNewsWires;2017-07-07 14:27;0;1;"$ AAL : American Airlines adds seasonal route at CLT: http://www. StockNewsWires.com/aal-american-a irlines-adds-seasonal-route-at-clt/ …";;;;"883391946101710849";https://twitter.com/StockNewsWires/status/883391946101710849
APinyin;2017-07-07 14:16;0;0;"$ AZUL http://www. prnewswire.com/news-releases/ azul-named-best-low-cost-airline-in-south-america-seven-years-in-a-row-300476726.html … Good news. http://www. prnewswire.com/news-releases/ azul-reports-june-traffic-300484584.html … $ luv $ dal $ spirit $ klmr $ JBLU $ AAL $ ALK $ HLT $ HA $ LFL $ ZNH $ CEA $ GOL $ CPA";;;;"883389390663241728";https://twitter.com/APinyin/status/883389390663241728
LargeVoidBot;2017-07-07 14:00;0;0;"Popular: $ TSLA , $ OCUL , $ ZN , $ APRN , $ SHLD , $ AAOI , $ JBLU , $ TOL , $ PHM , $ LMT , $ LITE , $ BKH , $ XHB , $ MLP , $ AAL , $ DVAX , $ GWRE";;;;"883385270216699904";https://twitter.com/LargeVoidBot/status/883385270216699904
INN_Resource;2017-07-07 13:59;0;0;"Global rough #diamond trading surged to $48.56 billion in 2016 http:// bit.ly/2tpyPEW $ ALRS $ AAL #DiamondInvesting";;;#diamond #DiamondInvesting;"883384950510190593";https://twitter.com/INN_Resource/status/883384950510190593
1MinuteStock;2017-07-07 13:48;0;0;"We calculated 21-day Expected Return of $ AAL for you: 4.49% https:// unicornbay.com/t/AAL.US?utm_m edium=tweet&utm_campaign=expreturn&utm_source=twitter …";;;;"883382112207884289";https://twitter.com/1MinuteStock/status/883382112207884289
DigMedia;2017-07-07 13:37;0;0;"Global rough #diamond trading surged to $48.56 billion in 2016 http:// bit.ly/2tpyPEW $ ALRS $ AAL #DiamondInvesting";;;#diamond #DiamondInvesting;"883379380273258496";https://twitter.com/DigMedia/status/883379380273258496
MarkNewtonCMT;2017-07-07 13:32;0;1;"American Airlines rallying up above Dec highs to highest since early 2015- $ AAL - Technically speaking this can get to $56, IMHO pic.twitter.com/l7FC2RfR1V";;;;"883378284406480897";https://twitter.com/MarkNewtonCMT/status/883378284406480897
MarkNewtonCMT;2017-07-07 13:31;0;1;"My Weekly Technical Perspective from MOnday am talked about the Airlines & Rails- $ XAL showing very good strength today- $ DAL , $ AAL , $ JBLU pic.twitter.com/ok6oHD5bct";;;;"883377905367175168";https://twitter.com/MarkNewtonCMT/status/883377905367175168
ITRADEVOL;2017-07-07 13:24;0;0;"106 New 52-Week Highs $ CX $ ZN $ AVEO $ DHI $ ODP $ AAL $ PHM $ DAL $ MEIP $ JBLU $ MCD $ LUV $ TOL $ PGR $ BZUN $ TSO $ WTW $ ETN https:// marketchameleon.com/Reports/Equity 52WeekHighsAndLows …";;;;"883376187166404608";https://twitter.com/ITRADEVOL/status/883376187166404608
