username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlpacaAlerts;2017-07-07 22:30;0;0;"$ ABBV is in Takuri Pattern winning 100.00% in the past. https:// goo.gl/V7BpBX";;;;"883513717706682368";https://twitter.com/AlpacaAlerts/status/883513717706682368
trader_top;2017-07-07 21:04;0;0;"http:// smq.tc/1VvJJhE Want red hot massively profitable trade alerts? Try a FREE TRIAL $ LPCN $ LLY $ ENDP $ ABBV";;;;"883491903043362817";https://twitter.com/trader_top/status/883491903043362817
SEEKINGALPHA_FS;2017-07-07 20:31;0;0;"Beat The Market With More Dividends And Less Volatility https:// seekingalpha.com/article/408639 7-beat-market-dividends-less-volatility?source=twitter_sa_factset … $ AAPL #APPLE $ ABBV $ AES $ AMZN $ CA $ CAT $ CCI $ CME $ CNP $ COH";;;#APPLE;"883483546723115008";https://twitter.com/SEEKINGALPHA_FS/status/883483546723115008
SeekingAlpha;2017-07-07 20:31;0;0;"Beat The Market With More Dividends And Less Volatility https:// seekingalpha.com/article/408639 7-beat-market-dividends-less-volatility?source=feed_f … $ AAPL #APPLE $ ABBV $ AES $ AMZN $ CA $ CAT $ CCI $ CME $ CNP $ COH";;;#APPLE;"883483544953036800";https://twitter.com/SeekingAlpha/status/883483544953036800
SPNewsAnalysis;2017-07-07 17:27;0;0;"Robinson Value Management Ltd. Maintains Position in AbbVie Inc. $ ABBV http:// ift.tt/2tzlQ1G";;;;"883437378014240769";https://twitter.com/SPNewsAnalysis/status/883437378014240769
storminvestor;2017-07-07 17:22;0;1;"Robinson Value Management Ltd. Maintains Position in AbbVie Inc. $ ABBV http:// ift.tt/2tqFYoq";;;;"883436183862300672";https://twitter.com/storminvestor/status/883436183862300672
MomentumSwings;2017-07-07 16:11;0;0;"http:// smq.tc/1VvJJhE FREE TRIAL Jason Bond alerts WILL make you money best alerts you will find! $ SAEX $ WING $ STAR $ ABBV";;;;"883418150619959297";https://twitter.com/MomentumSwings/status/883418150619959297
SweetPlatform;2017-07-07 12:58;0;0;"ABBV Top news - Jul 7th, 2017 $ ABBV http:// https:// goo.gl/W83EEn";;;;"883369652004564993";https://twitter.com/SweetPlatform/status/883369652004564993
VetrRatings;2017-07-07 12:31;0;0;"The majority of users on Vetr are bullish on AbbVie Inc., indicating a BUY Rating (3.5 stars) for $ ABBV http:// on.vetr.com/1FVSAzk";;;;"883362726738878465";https://twitter.com/VetrRatings/status/883362726738878465
biospace;2017-07-07 12:05;1;1;"What Does It Take to Get Hired by GlaxoSmithKline $ GSK and AbbVie $ ABBV http:// ow.ly/BfQf30dreN5 pic.twitter.com/xHu8jkpLd2";;;;"883356279124754434";https://twitter.com/biospace/status/883356279124754434
ChimeraResearch;2017-07-07 10:42;0;0;"July 7 Biotech Update $ ABBV $ bgne $ bpmc $ CELG $ STML https:// goo.gl/t734Kv";;;;"883335531484123137";https://twitter.com/ChimeraResearch/status/883335531484123137
FinSentS_SP500;2017-07-07 10:11;0;0;"$ ABBV :US PTAB Nixes AbbVie Patent For $16B Blockbuster Humira #ABBVIE INC http:// tinyurl.com/ydx9wawv #SP500";;;#ABBVIE #SP500;"883327497454137346";https://twitter.com/FinSentS_SP500/status/883327497454137346
Stocks_Week;2017-07-07 09:34;0;0;"SFTW Investor long-term stock recommendation: $ ABBV Healthcare (SS: 98) #stocks http:// tinyurl.com/ot3gj6t";;;#stocks;"883318234518175749";https://twitter.com/Stocks_Week/status/883318234518175749
ZolmaxNews;2017-07-07 08:21;0;0;"AbbVie Inc. $ ABBV to Issue Quarterly Dividend of $0.64 on August 15th http:// ift.tt/2uxYx8x";;;;"883299969209335808";https://twitter.com/ZolmaxNews/status/883299969209335808
dailymailtimes;2017-07-07 07:26;0;0;"AbbVie Inc. $ ABBV Downgraded by Zacks Investment Research http:// ift.tt/2sTKBDK";;;;"883286160910544896";https://twitter.com/dailymailtimes/status/883286160910544896
dailypoliticaln;2017-07-07 04:36;0;0;"Wesbanco Bank Inc. Cuts Stake in AbbVie Inc. $ ABBV http:// ift.tt/2sN6s4J";;;;"883243255642685440";https://twitter.com/dailypoliticaln/status/883243255642685440
WKRBNews;2017-07-07 04:31;0;0;"Welch & Forbes LLC Decreases Stake in AbbVie Inc. $ ABBV http:// ift.tt/2swnHDh";;;;"883242012794908672";https://twitter.com/WKRBNews/status/883242012794908672
emq_news;2017-07-07 04:29;0;0;"Callahan Advisors LLC Maintains Stake in AbbVie Inc. $ ABBV http:// ift.tt/2uxnpNM";;;;"883241467535294465";https://twitter.com/emq_news/status/883241467535294465
TickerReport;2017-07-07 04:27;0;0;"Callahan Advisors LLC Maintains Stake in AbbVie Inc. $ ABBV http:// ift.tt/2uxnpNM";;;;"883241100391190528";https://twitter.com/TickerReport/status/883241100391190528
TickerReport;2017-07-07 04:27;0;0;"Callahan Advisors LLC Maintains Stake in AbbVie Inc. $ ABBV http:// ift.tt/2tT1fYs";;;;"883241017557831680";https://twitter.com/TickerReport/status/883241017557831680
midetimes;2017-07-07 04:26;0;0;"AbbVie Inc. $ ABBV Position Reduced by Hochman Cole Investment Advisors Inc. http:// ift.tt/2tYBeIa";;;;"883240741950148608";https://twitter.com/midetimes/status/883240741950148608
