username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
muathe;2017-07-07 23:22;0;0;"[Wkend] U.S. Market Technical Analysis July 8, 2017 $ AMD $ BAC $ RAD $ GE $ CHK $ WFT $ ABEV $ WLL $ VALE $ MU $ AKS $ ESV $ F https:// youtu.be/qAuL1WpW9qk";;;;"883526639254163457";https://twitter.com/muathe/status/883526639254163457
pardoTRADER;2017-07-07 18:45;0;0;"Gráfico diário #ABEV3 $ ABEV pic.twitter.com/QIRTA2RvOv";;;#ABEV3;"883456911596818433";https://twitter.com/pardoTRADER/status/883456911596818433
SimplyTrades2;2017-07-07 16:43;0;0;"I loved this free video by @timothysykes about shorting stocks - http:// profit.ly/5005PP $ ONVO $ CNAT $ VVUS $ VBLT $ AEG $ ABEV $ PTEN";;@timothysykes;;"883426230200016896";https://twitter.com/SimplyTrades2/status/883426230200016896
FalconStocks;2017-07-07 14:04;0;0;"NYSE Quadruple! 94% Avg Gain Unbiased http:// FalconStocks.com . $ PBR $ VALE $ BAC $ CSCO $ SPY $ AMD $ ABEV $ GE $ BABA $ FB $ AAPL $ GOOG $ TSLA $ TWTR pic.twitter.com/6JzXFLQ07M";;;;"883386145337470979";https://twitter.com/FalconStocks/status/883386145337470979
versusstocks;2017-07-07 08:37;0;0;"Customized research for $ ABEV vs. $ REMYF ! http:// speculatingstocks.com/stockcompariso n/versus.php?stock1=5719&stock2=1539 …";;;;"883303901591609344";https://twitter.com/versusstocks/status/883303901591609344
midetimes;2017-07-07 08:01;0;0;"Schwab Charles Investment Management Inc. Has $21.63 Million Position in Ambev S.A. $ ABEV http:// ift.tt/2uS10tW";;;;"883294995633057792";https://twitter.com/midetimes/status/883294995633057792
pardoTRADER;2017-07-06 18:45;0;0;"Gráfico diário #ABEV3 $ ABEV pic.twitter.com/YUKYZSLRrQ";;;#ABEV3;"883094628265865216";https://twitter.com/pardoTRADER/status/883094628265865216
MillionProfiles;2017-07-06 18:28;0;0;"http:// smq.tc/2tIs41k Check out the success story of Jason Bond $ ABEV $ BUD $ SAM $ ROX";;;;"883090260506181632";https://twitter.com/MillionProfiles/status/883090260506181632
SmartStockNews;2017-07-06 12:46;0;0;"$ ABEV #Ambev Weaker Beer Vols. & High Costs To Continue Pressuring Management - https:// goo.gl/k1xfHE";;;#Ambev;"883004338343301120";https://twitter.com/SmartStockNews/status/883004338343301120
St0ckReviews;2017-07-06 11:49;0;0;"http:// smq.tc/1GEVxLj <- Fous4x2 review invest in your #trading education! $ ABEV $ ICPT $ AA $ AMBA #stocks $ FB $ TWTR";;;#trading #stocks;"882989844778983424";https://twitter.com/St0ckReviews/status/882989844778983424
leahanneta;2017-07-06 10:49;0;0;"10:40 ET Volume Leader #8 - ABEV 7,675,919 Ambev S.A. $ ABEV 5.39 -0.10 -1.82% High today of 5.48 day low 5.37. https:// investorshangout.com/post/view?id=4 645854 …";;;#8;"882974753983787008";https://twitter.com/leahanneta/status/882974753983787008
