username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FinInvTr;2017-07-08 01:24;0;0;"Inside The Market's Most Popular Info Tech ETF $ INTC $ CSCO $ ORCL $ IBM $ MA $ AVGO $ NVDA $ QCOM $ TXN $ ACN $ ADBE $ PYPL http:// buff.ly/2t6LcFT";;;;"883557415626702848";https://twitter.com/FinInvTr/status/883557415626702848
TraderSupreme;2017-07-07 23:34;0;0;"http:// smq.tc/1Nj0hoZ Want Huge Trading Profits? Try this trading teacher extraordinaire! $ RMTI $ BBBY $ ACN $ CNAT";;;;"883529644556787712";https://twitter.com/TraderSupreme/status/883529644556787712
Stroppy_Trader;2017-07-07 20:48;0;0;"http:// smq.tc/1VvJJhE < This self-made multi-millionaire teaches small cap stocks alerts FREE TRIAL…. $ ACN $ IT $ FXCB";;;;"883487875345534977";https://twitter.com/Stroppy_Trader/status/883487875345534977
Briefingcom;2017-07-07 16:03;0;0;"Co’s that have issued #guidance in the last 30 days http:// bit.ly/28Lp6Al $ SIMO $ MZOR $ AIRI $ ISCA $ EXFO $ GIS $ FDS $ HZNP $ FINL $ ACN $ ATU";;;#guidance;"883416079409852418";https://twitter.com/Briefingcom/status/883416079409852418
newswithvalue;2017-07-07 15:21;0;0;"$… $ ACN $ HSIC : Cerner will roll out next phase of DoD system this month: http://www. StockNewsWires.com/acn-hsic-cerne r-will-roll-out-next-phase-of-dod-system-this-month/ …";;;;"883405514654097409";https://twitter.com/newswithvalue/status/883405514654097409
SAlphaTech;2017-07-07 15:00;0;0;"Taking Stock With Tech: Micron Recovers On Industry Data Whereas Snap Inc. Releases New Fea... https:// seekingalpha.com/article/408612 5-taking-stock-tech-micron-recovers-industry-data-whereas-snap-inc-releases-new-features?source=feed_tags … $ MU $ SNAP $ ACN";;;;"883400259333799937";https://twitter.com/SAlphaTech/status/883400259333799937
dakotafinancial;2017-07-07 12:21;0;0;"Pinnacle Associates Ltd. Boosts Position in Accenture PLC $ ACN http:// ift.tt/2tpsxFi";;;;"883360370336903169";https://twitter.com/dakotafinancial/status/883360370336903169
IRAMarketReport;2017-07-07 11:37;0;0;"Accenture PLC $ ACN Position Boosted by GWM Advisors LLC http:// ift.tt/2txXANn";;;;"883349342567968768";https://twitter.com/IRAMarketReport/status/883349342567968768
chaffeybreeze;2017-07-07 11:34;0;0;"Accenture PLC $ ACN Position Boosted by GWM Advisors LLC http:// ift.tt/2txXANn";;;;"883348534686253058";https://twitter.com/chaffeybreeze/status/883348534686253058
theoldcurrency;2017-07-07 11:32;0;0;"WATCH: Market Intelligence by @TheOldCurrency Brief videos about the operations and financial performance of companies like $ INST , $ ACN pic.twitter.com/DuWbaQWajJ";;@TheOldCurrency;;"883348104778567680";https://twitter.com/theoldcurrency/status/883348104778567680
InsiderAlertsIA;2017-07-07 10:38;0;0;"$ ACN : New Insider Filing on Group Chief Executive-Fin Serv RICHARD LUMB: http:// insideri.com/1467373_000146 737317000321_0001467373-17-000321 …";;;;"883334376284536832";https://twitter.com/InsiderAlertsIA/status/883334376284536832
deepxdive;2017-07-07 10:36;0;0;"$ ACN Accenture Plc breached its 50 day moving average in a Bearish Manner ACN-US July 7, 2017 https:// online.capitalcube.com/#!/stock/US/ex change/ACN … pic.twitter.com/1u108g2Ddx";;;#;"883334008410693632";https://twitter.com/deepxdive/status/883334008410693632
MagnoliaG2012;2017-07-07 10:26;0;0;"Taking Stock With Tech: Micron Recovers On Industry Data Whereas Snap Inc. Releases New Fea... https:// seekingalpha.com/article/408612 5-taking-stock-tech-micron-recovers-industry-data-whereas-snap-inc-releases-new-features?source=tweet … $ MU $ SNAP $ ACN";;;;"883331340527169542";https://twitter.com/MagnoliaG2012/status/883331340527169542
TheMarketsDaily;2017-07-07 09:33;0;0;"Accenture PLC $ ACN Shares Bought by Aberdeen Asset Management PLC UK http:// zpr.io/PdVmu";;;;"883318135931240448";https://twitter.com/TheMarketsDaily/status/883318135931240448
ZolmaxNews;2017-07-07 09:31;0;0;"Accenture PLC $ ACN Getting Somewhat Positive News Coverage, Study Shows http:// ift.tt/2tQ5IeI";;;;"883317673337257985";https://twitter.com/ZolmaxNews/status/883317673337257985
versusstocks;2017-07-07 09:09;0;0;"Customized research for $ ACN vs. $ ABM ! http:// speculatingstocks.com/stockcompariso n/versus.php?stock1=5727&stock2=74 …";;;;"883311974733328384";https://twitter.com/versusstocks/status/883311974733328384
MomentumSwings;2017-07-07 08:10;0;0;"http:// smq.tc/1VvJJhE << Jason Bond wants u to try his trading alerts 4 *FREE* $ ACN $ IM $ DV $ IWC";;;;"883297248389382144";https://twitter.com/MomentumSwings/status/883297248389382144
WatchlistN;2017-07-07 05:32;0;0;"Accenture PLC $ ACN Position Boosted by GWM Advisors LLC http:// ift.tt/2swDPEA";;;;"883257371161747457";https://twitter.com/WatchlistN/status/883257371161747457
TickerReport;2017-07-07 05:30;0;0;"Accenture PLC $ ACN Shares Bought by Aberdeen Asset Management PLC UK http:// ift.tt/2tYOBrO";;;;"883256839810502656";https://twitter.com/TickerReport/status/883256839810502656
emq_news;2017-07-07 05:29;0;0;"Accenture PLC $ ACN Shares Bought by Aberdeen Asset Management PLC UK http:// ift.tt/2tYOBrO";;;;"883256638152507392";https://twitter.com/emq_news/status/883256638152507392
TickerReport;2017-07-07 05:27;0;0;"Accenture PLC $ ACN Shares Bought by Aberdeen Asset Management PLC UK http:// ift.tt/2toiEHE";;;;"883256133850460160";https://twitter.com/TickerReport/status/883256133850460160
dailypoliticaln;2017-07-07 05:26;0;0;"Congress Asset Management Co. MA Sells 11,229 Shares of Accenture PLC $ ACN http:// ift.tt/2tofOTl";;;;"883255885954461696";https://twitter.com/dailypoliticaln/status/883255885954461696
midetimes;2017-07-07 05:26;0;0;"Madison Investment Holdings Inc. Acquires 1,560 Shares of Accenture PLC $ ACN http:// ift.tt/2uRdOAI";;;;"883255883555368960";https://twitter.com/midetimes/status/883255883555368960
SleekMoneycom;2017-07-07 05:26;0;0;"Pinnacle Associates Ltd. Boosts Position in Accenture PLC $ ACN http:// ift.tt/2tPc7qC";;;;"883255850764206080";https://twitter.com/SleekMoneycom/status/883255850764206080
trader_top;2017-07-07 01:05;0;0;"http:// smq.tc/1VvJJhE FREE TRIAL, OF THIS WORLD CLASS STOCK TRADERS ALERTS!!! $ CORE $ ACN $ KR";;;;"883190224754360320";https://twitter.com/trader_top/status/883190224754360320
TraderSupreme;2017-07-07 00:34;0;0;"http:// smq.tc/1Nj0hoZ Want Huge Trading Profits? Try this trading teacher extraordinaire! $ RMTI $ BBBY $ ACN $ CNAT";;;;"883182356189728768";https://twitter.com/TraderSupreme/status/883182356189728768
stocksr4fun;2017-07-06 19:51;0;0;"$ ACN What do you think about it? #InvestorsHangout $ HYSNY $ NTFU $ RKWBF $ INAR $ WMPN http:// dlvr.it/PSmDjV";;;#InvestorsHangout;"883111080322490368";https://twitter.com/stocksr4fun/status/883111080322490368
