username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
optioncharts;2017-07-07 22:46;0;0;"$ AMGN Max Pain is 170.00 for maturity 07/14/2017. Prev Close = 171.72. http:// bit.ly/2uwCKOM pic.twitter.com/ccQibvJk1a";;;;"883517635153014784";https://twitter.com/optioncharts/status/883517635153014784
Kris_tin27;2017-07-07 21:23;1;1;"June 2017 Swing performance $ NERV $ BCRX $ RDUS $ FOLD $ AGIO $ BIDU $ AMGN $ TSLA #stocktrading #OptionsTrading #stockmarket pic.twitter.com/VvxYk0iW6Z";;;#stocktrading #OptionsTrading #stockmarket;"883496687406370816";https://twitter.com/Kris_tin27/status/883496687406370816
optioncharts;2017-07-07 16:56;0;0;"$ AMGN maturity 07/14/2017 Vol PutCallRatio of 2.22 puts=1,375 calls=619 . http:// bit.ly/2uzPRPf pic.twitter.com/TulXEy2r2C";;;;"883429522091241472";https://twitter.com/optioncharts/status/883429522091241472
SEEKINGALPHA_FS;2017-07-07 16:30;0;0;"Nick's Picks 2017: Halftime Report https:// seekingalpha.com/article/408638 2-nicks-picks-2017-halftime-report?source=twitter_sa_factset … $ AAPL #APPLE $ AGN $ AMGN $ AMZN $ BA $ BAC $ BRK.B $ BUD $ BX $ C $ CELG $ CRM $ CSCO $ DIS";;;#APPLE;"883423092629884928";https://twitter.com/SEEKINGALPHA_FS/status/883423092629884928
SeekingAlpha;2017-07-07 16:30;0;0;"Nick's Picks 2017: Halftime Report https:// seekingalpha.com/article/408638 2-nicks-picks-2017-halftime-report?source=feed_f … $ AAPL #APPLE $ AGN $ AMGN $ AMZN $ BA $ BAC $ BRK.B $ BUD $ BX $ C $ CELG $ CRM $ CSCO $ DIS";;;#APPLE;"883423090826293248";https://twitter.com/SeekingAlpha/status/883423090826293248
storminvestor;2017-07-07 16:22;0;0;"Amgen Inc. $ AMGN Upgraded by ValuEngine to Buy http:// ift.tt/2tzgOCq";;;;"883421017754001408";https://twitter.com/storminvestor/status/883421017754001408
SPNewsAnalysis;2017-07-07 16:22;0;0;"Amgen Inc. $ AMGN Upgraded by ValuEngine to Buy http:// ift.tt/2tVFasr";;;;"883420979741044738";https://twitter.com/SPNewsAnalysis/status/883420979741044738
WKRBNews;2017-07-07 15:16;0;0;"Amgen Inc. $ AMGN Upgraded by ValuEngine to Buy http:// ift.tt/2uzTtAE";;;;"883404304626929664";https://twitter.com/WKRBNews/status/883404304626929664
WKRBNews;2017-07-07 15:11;0;0;"Amgen Inc. $ AMGN Upgraded by ValuEngine to Buy http:// ift.tt/2sPCCfR";;;;"883403160764661761";https://twitter.com/WKRBNews/status/883403160764661761
TheMarketsDaily;2017-07-07 14:37;0;0;"Somewhat Positive Press Coverage Very Likely to Affect Amgen $ AMGN Share Price http:// zpr.io/PdW3E";;;;"883394669224140800";https://twitter.com/TheMarketsDaily/status/883394669224140800
groman100;2017-07-07 13:55;2;3;"TG Therapeutics, A Highly Undervalued Oncology Stock https:// seekingalpha.com/article/408633 6-tg-therapeutics-highly-undervalued-oncology-stock-solid-later-stage-trials-excellent-early?source=tweet … $ TGTX $ kite $ juno $ clls $ nvs $ ziop $ auph $ amrn $ amgn $ fb $ cala";;;;"883383983249043458";https://twitter.com/groman100/status/883383983249043458
SweetPlatform;2017-07-07 13:08;0;0;"AMGN Top news - Jul 7th, 2017 $ AMGN http:// https:// goo.gl/opsbJ4";;;;"883372129303048192";https://twitter.com/SweetPlatform/status/883372129303048192
stockmarketvide;2017-07-07 12:41;1;0;"Biotech Video - $ XBI $ AMGN $ BIIB $ CELG $ INCY $ AET $ UNH $ CNC $ REGN https:// stockmarketvideo.com/biotech-xbi-vi deo/ … #Stockmarket #stocks #trading #Biotech";;;#Stockmarket #stocks #trading #Biotech;"883365293355134977";https://twitter.com/stockmarketvide/status/883365293355134977
emq_news;2017-07-07 11:56;0;0;"Somewhat Positive Press Coverage Very Likely to Affect Amgen $ AMGN Share Price http:// ift.tt/2uz0CRG";;;;"883353933149855746";https://twitter.com/emq_news/status/883353933149855746
DozenStocks;2017-07-07 11:51;0;0;"S&P500 #Stocks Performance $ WYNN $ BCR $ GD $ RRC $ ADI $ KLAC $ LRCX $ FCX $ AMAT $ AMGN $ VAR $ NFLX $ BDX $ EBAY more@http:// 12Stocks.com/sp500";;@http;#Stocks;"883352885777514496";https://twitter.com/DozenStocks/status/883352885777514496
DozenStocks;2017-07-07 11:51;0;0;"Nasdaq100 #Stocks Performance $ MXIM $ ADI $ LRCX $ AMAT $ AMGN $ NFLX $ EBAY $ VRTX $ MSFT $ DISH $ LBTYA $ XLNX $ NVDA more@http:// 12Stocks.com/QQQQ";;@http;#Stocks;"883352750121140224";https://twitter.com/DozenStocks/status/883352750121140224
DozenStocks;2017-07-07 11:50;0;0;"S&P100 #Stocks Performance $ GD $ AMGN $ MSFT $ NEE $ RTN $ BMY $ CELG $ CAT $ FDX $ JNJ $ PCLN $ MDT $ DIS $ AGN $ INTC more@http:// 12Stocks.com/sp100";;@http;#Stocks;"883352617778159616";https://twitter.com/DozenStocks/status/883352617778159616
IonisDisrupts;2017-07-07 11:27;0;1;"#Jefferies Eun Yang said buy $ AEGR PT100+(last traded at 2) sell $ IONS PT17 Buy $ ARWR be4 crash. Competence not required $ AMGN #biotech $ IBB";;;#Jefferies #biotech;"883346635702632448";https://twitter.com/IonisDisrupts/status/883346635702632448
storminvestor;2017-07-07 11:22;0;0;"Amgen Inc. $ AMGN Shares Bought by Alpha Omega Wealth Management LLC http:// ift.tt/2tQuQC4";;;;"883345572157153281";https://twitter.com/storminvestor/status/883345572157153281
optioncharts;2017-07-07 11:04;0;0;"$ AMGN high open interest range is 165.00 to 172.50 for option expiration 07/14/2017. http:// bit.ly/2uyP4hs pic.twitter.com/5iizUmEGRZ";;;;"883341053952237569";https://twitter.com/optioncharts/status/883341053952237569
kjilly;2017-07-07 09:53;0;0;"O’Connor resigns as CEO of $ ADXS with immediate effect #biotech #managementchanges #CEO $ AMGN http://www. fiercebiotech.com/biotech/o-conn or-resigns-as-ceo-advaxis-immediate-effect …";;;#biotech #managementchanges #CEO;"883323205305356288";https://twitter.com/kjilly/status/883323205305356288
TheMarketsDaily;2017-07-07 09:33;0;0;"Amgen Inc. $ AMGN Shares Bought by Mitsubishi UFJ Kokusai Asset Management Co. Ltd. http:// zpr.io/PdVmG";;;;"883318068402937856";https://twitter.com/TheMarketsDaily/status/883318068402937856
TradeAcademyCo;2017-07-07 08:49;0;1;"7/7 200D MA Watch List: $ PG $ TLT $ THC $ SYMC $ PANW $ S $ INFY $ AMGN $ MRK $ ETE $ OCLR $ LOW $ UPS $ ZIOP $ XME $ SBUX $ COST $ AIG $ TMUS $ ALXN #trading";;;#trading;"883306912435109888";https://twitter.com/TradeAcademyCo/status/883306912435109888
TradeAcademyCo;2017-07-07 08:47;0;0;"7/7 52-Week Hi Watch List: $ AMGN $ RH $ FXE $ CLVS $ LUV $ DAL $ HSBC $ AAL #trading";;;#trading;"883306589725364226";https://twitter.com/TradeAcademyCo/status/883306589725364226
IRAMarketReport;2017-07-07 08:45;0;0;"Geneva Advisors LLC Boosts Stake in Amgen Inc. $ AMGN http:// ift.tt/2sUbU0O";;;;"883305946449096704";https://twitter.com/IRAMarketReport/status/883305946449096704
chaffeybreeze;2017-07-07 08:44;0;0;"Geneva Advisors LLC Boosts Stake in Amgen Inc. $ AMGN http:// ift.tt/2sUbU0O";;;;"883305749052608514";https://twitter.com/chaffeybreeze/status/883305749052608514
InnDeptInvestor;2017-07-07 08:40;0;0;"Amazing $ ADXS #Advaxis action pre-market. Bargaining for 5c when Co. IS poised 2get out single digits on any good upcoming data.. $ AMGN $ IBB https:// twitter.com/InnDeptInvesto r/status/881148196193529856 …";;;#Advaxis;"883304594994061312";https://twitter.com/InnDeptInvestor/status/883304594994061312
dailymailtimes;2017-07-07 08:01;0;0;"Amgen Inc. $ AMGN Stake Boosted by Kornitzer Capital Management Inc. KS http:// ift.tt/2sxas4Z";;;;"883294984526606337";https://twitter.com/dailymailtimes/status/883294984526606337
dakotafinancial;2017-07-07 07:57;0;0;"Private Capital Management Inc. Sells 850 Shares of Amgen Inc. $ AMGN http:// ift.tt/2tZjVGG";;;;"883293807034462209";https://twitter.com/dakotafinancial/status/883293807034462209
StockflareUS;2017-07-07 05:18;0;0;"$ AMGN : Amgen, Inc. has gained a star, now a 4 star stock. ( https:// stockflare.com/stock/AMGN.O )";;;;"883254004641394688";https://twitter.com/StockflareUS/status/883254004641394688
amystocks21334;2017-07-07 05:18;0;0;"Amgen Inc. $ AMGN Stock Live Analysis 01-06-2017 #stock http:// dlvr.it/PSrlgj";;;#stock;"883253779662987266";https://twitter.com/amystocks21334/status/883253779662987266
dailypoliticaln;2017-07-07 04:36;0;0;"Private Capital Management Inc. Sells 850 Shares of Amgen Inc. $ AMGN http:// ift.tt/2sMYeJK";;;;"883243272566648834";https://twitter.com/dailypoliticaln/status/883243272566648834
ZolmaxNews;2017-07-07 04:36;0;0;"Geneva Advisors LLC Boosts Stake in Amgen Inc. $ AMGN http:// ift.tt/2tPoqDn";;;;"883243264824008704";https://twitter.com/ZolmaxNews/status/883243264824008704
WatchlistN;2017-07-07 04:32;0;0;"Amgen Inc. $ AMGN Shares Bought by Alpha Omega Wealth Management LLC http:// ift.tt/2sN9xBR";;;;"883242364411707392";https://twitter.com/WatchlistN/status/883242364411707392
WKRBNews;2017-07-07 04:31;0;0;"Amgen Inc. $ AMGN Shares Sold by Bowling Portfolio Management LLC http:// ift.tt/2tPjvST";;;;"883242032206147584";https://twitter.com/WKRBNews/status/883242032206147584
emq_news;2017-07-07 04:29;0;0;"Amgen Inc. $ AMGN Shares Bought by Mitsubishi UFJ Kokusai Asset Management Co. Ltd. http:// ift.tt/2uxAXJa";;;;"883241480017629185";https://twitter.com/emq_news/status/883241480017629185
TickerReport;2017-07-07 04:27;0;0;"Amgen Inc. $ AMGN Shares Bought by Mitsubishi UFJ Kokusai Asset Management Co. Ltd. http:// ift.tt/2uxAXJa";;;;"883241122511937536";https://twitter.com/TickerReport/status/883241122511937536
TickerReport;2017-07-07 04:27;0;0;"Amgen Inc. $ AMGN Shares Bought by Mitsubishi UFJ Kokusai Asset Management Co. Ltd. http:// ift.tt/2tTjFIL";;;;"883241035505315840";https://twitter.com/TickerReport/status/883241035505315840
WKRBNews;2017-07-07 04:25;0;0;"Amgen Inc. $ AMGN Shares Sold by Bowling Portfolio Management LLC http:// ift.tt/2tTxtCZ";;;;"883240528988557312";https://twitter.com/WKRBNews/status/883240528988557312
optioncharts;2017-07-06 23:44;0;0;"$ AMGN Max Pain is 167.50 for maturity 07/14/2017. Prev Close = 174.26. http:// bit.ly/2uwCKOM pic.twitter.com/KB1GEwdcai";;;;"883169843628974080";https://twitter.com/optioncharts/status/883169843628974080
str8toace;2017-07-06 23:20;0;0;"My Dividend Growth Portfolio Update - 51 Holdings, 4 Sales, 3 Buys https:// seekingalpha.com/article/408593 8-dividend-growth-portfolio-update-51-holdings-4-sales-3-buys?source=tweet … $ AAPL $ ABT $ AFL $ AMGN $ AMP $ AMZN $ ANTM $ BBL";;;;"883163696889044993";https://twitter.com/str8toace/status/883163696889044993
fezziwig2008;2017-07-06 22:52;0;2;"Looks Like $ HALO hired an ad agency- used by $ BMY & $ AMGN (CEO's 2 alma maters)- to represent PegpH20- interesting- http://www. mmm-online.com/agencies/renav atio-healthcare-communications-2017/article/662491/ …";;;;"883156661459968003";https://twitter.com/fezziwig2008/status/883156661459968003
