username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
chaffeybreeze;2017-07-07 17:44;0;0;"American Tower Corporation $ REIT $ AMT Given “Buy” Rating at Stifel Nicolaus http:// ift.tt/2uTV9UQ";;;;"883441662487388161";https://twitter.com/chaffeybreeze/status/883441662487388161
IRAMarketReport;2017-07-07 17:42;0;0;"American Tower Corporation $ REIT $ AMT Given “Buy” Rating at Stifel Nicolaus http:// ift.tt/2uTV9UQ";;;;"883441220474810368";https://twitter.com/IRAMarketReport/status/883441220474810368
TranscriptDaily;2017-07-07 16:48;0;0;"Favorable Media Coverage Very Likely to Affect American Tower Corporation $ REIT $ AMT Share Price http:// ift.tt/2tRNPwf";;;;"883427521257242628";https://twitter.com/TranscriptDaily/status/883427521257242628
TheMarketsDaily;2017-07-07 16:45;0;0;"Head to Head Comparison: American Tower Corporation $ REIT $ AMT vs. Corrections Corp. of America $ CXW http:// zpr.io/PdQEu";;;;"883426876835999745";https://twitter.com/TheMarketsDaily/status/883426876835999745
chaffeybreeze;2017-07-07 15:34;0;0;"Quest Investment Management LLC Sells 128 Shares of American Tower Corporation $ REIT $ AMT http:// ift.tt/2uzQVTc";;;;"883408825633693696";https://twitter.com/chaffeybreeze/status/883408825633693696
IRAMarketReport;2017-07-07 15:32;0;0;"Quest Investment Management LLC Sells 128 Shares of American Tower Corporation $ REIT $ AMT http:// ift.tt/2uzQVTc";;;;"883408356559523841";https://twitter.com/IRAMarketReport/status/883408356559523841
versusstocks;2017-07-07 13:54;0;0;"Customized research for $ AMT vs. $ LAMR ! http:// speculatingstocks.com/stockcompariso n/versus.php?stock1=5785&stock2=1161 …";;;;"883383750767263744";https://twitter.com/versusstocks/status/883383750767263744
SimplyTrades2;2017-07-07 13:45;0;0;"http:// bit.ly/1WiRgRz Learn from Tim Sykes as he describes the WORST broker!!!! $ RH $ AMT $ WFC $ PNC";;;;"883381514112704512";https://twitter.com/SimplyTrades2/status/883381514112704512
ZolmaxNews;2017-07-07 13:37;0;0;"Head to Head Comparison: American Tower Corporation $ REIT $ AMT vs. Corrections Corp. of America $ CXW http:// ift.tt/2uzyPAO";;;;"883379337633951745";https://twitter.com/ZolmaxNews/status/883379337633951745
ZolmaxNews;2017-07-07 12:21;0;0;"American Tower Corporation $ REIT $ AMT Given “Buy” Rating at Stifel Nicolaus http:// ift.tt/2uz9erJ";;;;"883360347100524545";https://twitter.com/ZolmaxNews/status/883360347100524545
SEEKINGALPHA_FS;2017-07-07 12:05;0;0;"Intel: Income Play With Moderate Growth https:// seekingalpha.com/article/408632 8-intel-income-play-moderate-growth?source=twitter_sa_factset … $ AMT $ BA $ DLR $ HD $ HOG $ JNJ $ MO $ OHI $ TXN $ INTC";;;;"883356412465643520";https://twitter.com/SEEKINGALPHA_FS/status/883356412465643520
SAlphaTech;2017-07-07 12:05;0;0;"Intel: Income Play With Moderate Growth https:// seekingalpha.com/article/408632 8-intel-income-play-moderate-growth?source=twitter_salphatech … $ AMT $ BA $ DLR $ HD $ HOG $ JNJ $ MO $ OHI $ TXN $ INTC";;;;"883356411148632064";https://twitter.com/SAlphaTech/status/883356411148632064
SeekingAlpha;2017-07-07 12:05;1;1;"Intel: Income Play With Moderate Growth https:// seekingalpha.com/article/408632 8-intel-income-play-moderate-growth?source=feed_f … $ AMT $ BA $ DLR $ HD $ HOG $ JNJ $ MO $ OHI $ TXN $ INTC";;;;"883356408787329024";https://twitter.com/SeekingAlpha/status/883356408787329024
SPNewsAnalysis;2017-07-07 11:13;0;0;"Columbus Hill Capital Management L.P. Buys Shares of 43,000 American Tower Corporation $ REIT $ AMT http:// ift.tt/2tyfVKi";;;;"883343217344868354";https://twitter.com/SPNewsAnalysis/status/883343217344868354
storminvestor;2017-07-07 11:13;0;0;"Columbus Hill Capital Management L.P. Buys Shares of 43,000 American Tower Corporation $ REIT $ AMT http:// ift.tt/2tp9k6G";;;;"883343185044525061";https://twitter.com/storminvestor/status/883343185044525061
IRAMarketReport;2017-07-07 09:57;0;0;"Quest Investment Management LLC Sells 128 Shares of American Tower Corporation $ REIT $ AMT http:// ift.tt/2tQkQsv";;;;"883324067352383488";https://twitter.com/IRAMarketReport/status/883324067352383488
IRAMarketReport;2017-07-07 09:57;0;0;"American Tower Corporation $ REIT $ AMT Shares Bought by Cambridge Investment Research Advisors Inc. http:// ift.tt/2sxx4lU";;;;"883324065183879170";https://twitter.com/IRAMarketReport/status/883324065183879170
chaffeybreeze;2017-07-07 09:54;0;0;"Quest Investment Management LLC Sells 128 Shares of American Tower Corporation $ REIT $ AMT http:// ift.tt/2tQkQsv";;;;"883323342756995072";https://twitter.com/chaffeybreeze/status/883323342756995072
chaffeybreeze;2017-07-07 09:54;0;0;"American Tower Corporation $ REIT $ AMT Shares Bought by Cambridge Investment Research Advisors Inc. http:// ift.tt/2sxx4lU";;;;"883323340513038338";https://twitter.com/chaffeybreeze/status/883323340513038338
IRAMarketReport;2017-07-07 07:44;0;0;"Zacks Investment Research Downgrades American Tower Corporation $ REIT $ AMT to Sell http:// ift.tt/2tTPW2m";;;;"883290651420446720";https://twitter.com/IRAMarketReport/status/883290651420446720
chaffeybreeze;2017-07-07 07:44;0;0;"Zacks Investment Research Downgrades American Tower Corporation $ REIT $ AMT to Sell http:// ift.tt/2tTPW2m";;;;"883290566401961989";https://twitter.com/chaffeybreeze/status/883290566401961989
WatchlistN;2017-07-07 07:17;0;0;"4,958 Shares in American Tower Corporation $ REIT $ AMT Acquired by Marshall Wace LLP http:// ift.tt/2uRpUK3";;;;"883283831721259008";https://twitter.com/WatchlistN/status/883283831721259008
midetimes;2017-07-07 07:16;0;0;"Quest Investment Management LLC Sells 128 Shares of American Tower Corporation $ REIT $ AMT http:// ift.tt/2swPVOi";;;;"883283549423587328";https://twitter.com/midetimes/status/883283549423587328
ZolmaxNews;2017-07-07 07:02;0;0;"American Tower Corporation $ REIT $ AMT Shares Bought by Cambridge Investment Research Advisors Inc. http:// ift.tt/2txjsZr";;;;"883279992968409089";https://twitter.com/ZolmaxNews/status/883279992968409089
SleekMoneycom;2017-07-07 06:56;0;0;"American Tower Corporation $ REIT $ AMT Position Lowered by Meiji Yasuda Asset Management Co Ltd. http:// ift.tt/2uRQvXy";;;;"883278536815063040";https://twitter.com/SleekMoneycom/status/883278536815063040
WatchlistN;2017-07-07 06:52;0;0;"Columbus Hill Capital Management L.P. Buys Shares of 43,000 American Tower Corporation $ REIT $ AMT http:// ift.tt/2tZ0tKk";;;;"883277621647245312";https://twitter.com/WatchlistN/status/883277621647245312
intercooleronli;2017-07-06 21:41;0;0;"American Tower Corporation $ REIT $ AMT Receives “Buy” Rating from Stifel Nicolaus http:// ift.tt/2tvA6Zn";;;;"883138833109463040";https://twitter.com/intercooleronli/status/883138833109463040
WatchlistN;2017-07-06 21:27;0;0;"Stifel Nicolaus Reiterates Buy Rating for American Tower Corporation $ REIT $ AMT http:// ift.tt/2tn4XsP";;;;"883135270694125572";https://twitter.com/WatchlistN/status/883135270694125572
TheMarketsDaily;2017-07-06 21:26;0;0;"Stifel Nicolaus Reiterates Buy Rating for American Tower Corporation $ REIT $ AMT http:// zpr.io/PdeWD";;;;"883135212959543297";https://twitter.com/TheMarketsDaily/status/883135212959543297
RatingsNetwork;2017-07-06 21:26;0;0;"American Tower Corporation (REIT)'s buy rating reiterated at Stifel Nicolaus. $150.00 PT. http:// ift.tt/2tvHRi8 $ AMT #AMT";;;#AMT;"883135064678256640";https://twitter.com/RatingsNetwork/status/883135064678256640
ARatings;2017-07-06 20:26;0;0;"Stifel Nicolaus Believes American Tower Corp (NYSE: AMT) Still Has Room to Grow $ AMT http://www. analystratings.com/2017/07/06/sti fel-nicolaus-believes-american-tower-corp-nyse-amt-still-has-room-to-grow/490363/ …";;;;"883119968577089538";https://twitter.com/ARatings/status/883119968577089538
HenningDraeger;2017-07-06 16:27;0;0;"@TMFJMo happy belated 4th of July Jason! Looking for some defensive power for my portfolio - $ AMT or $ IRM - any thoughts? Fool on & thanks";;@TMFJMo;;"883059773393993728";https://twitter.com/HenningDraeger/status/883059773393993728
BballCrazy;2017-07-06 15:46;0;3;"@ReformedBroker Wish we could've asked FIsher about tower companies, $ AMT $ CCI they're absolutely essential.";;@ReformedBroker;;"883049624478650369";https://twitter.com/BballCrazy/status/883049624478650369
chaffeybreeze;2017-07-06 14:54;0;0;"Fairview Capital Investment Management LLC Has $9.56 Million Position in American Tower Corporation $ REIT $ AMT http:// ift.tt/2uPsMY0";;;;"883036447229579264";https://twitter.com/chaffeybreeze/status/883036447229579264
IRAMarketReport;2017-07-06 14:49;0;0;"Fairview Capital Investment Management LLC Has $9.56 Million Position in American Tower Corporation $ REIT $ AMT http:// ift.tt/2uPsMY0";;;;"883035289832259584";https://twitter.com/IRAMarketReport/status/883035289832259584
JervisCapital;2017-07-06 12:58;0;0;"Commented on SBA Communications: Data, Towers, And NOLs https:// seekingalpha.com/article/405431 2-sba-communications-data-towers-nols?source=tweet … $ AMT $ SBAC $ CCI";;;;"883007213131898880";https://twitter.com/JervisCapital/status/883007213131898880
midetimes;2017-07-06 12:02;0;0;"American Tower Corporation $ REIT $ AMT Downgraded to “Sell” at Zacks Investment Research http:// ift.tt/2uujEsi";;;;"882993233357406208";https://twitter.com/midetimes/status/882993233357406208
dakotafinancial;2017-07-06 11:27;0;0;"Meeder Asset Management Inc. Has $641,000 Position in American Tower Corporation $ REIT $ AMT http:// ift.tt/2sKnXTe";;;;"882984444029796352";https://twitter.com/dakotafinancial/status/882984444029796352
jjjinvesting;2017-07-06 11:27;0;1;"An Airport REIT, Why Not? https:// seekingalpha.com/article/408595 4-airport-reit?source=tweet … $ AMT $ CCI $ CORR $ HASI $ HIFR $ LMRK $ PW $ SBAC $ UNIT";;;;"882984366980419584";https://twitter.com/jjjinvesting/status/882984366980419584
Stocks_Week;2017-07-06 09:38;0;0;"SFTW Investor long-term stock recommendation: $ AMT American Tower Corp. (SS: 63) #stocks http:// tinyurl.com/ot3gj6t";;;#stocks;"882956864408870912";https://twitter.com/Stocks_Week/status/882956864408870912
MarketsUpChuck;2017-07-06 08:55;0;0;"An Airport REIT, Why Not? https:// seekingalpha.com/article/408595 4-airport-reit?source=tweet … $ AMT $ CCI $ CORR $ HASI $ HIFR $ LMRK $ PW $ SBAC $ UNIT";;;;"882945992257155072";https://twitter.com/MarketsUpChuck/status/882945992257155072
TickerReport;2017-07-06 07:33;0;0;"Meeder Asset Management Inc. Has $641,000 Position in American Tower Corporation $ REIT $ AMT http:// ift.tt/2tP6ZlV";;;;"882925399432466432";https://twitter.com/TickerReport/status/882925399432466432
emq_news;2017-07-06 07:29;0;0;"Meeder Asset Management Inc. Has $641,000 Position in American Tower Corporation $ REIT $ AMT http:// ift.tt/2tLQZl1";;;;"882924477184716803";https://twitter.com/emq_news/status/882924477184716803
TickerReport;2017-07-06 07:27;0;0;"Meeder Asset Management Inc. Has $641,000 Position in American Tower Corporation $ REIT $ AMT http:// ift.tt/2tLQZl1";;;;"882923913726095360";https://twitter.com/TickerReport/status/882923913726095360
