username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Lillith_Crown;2017-07-07 22:33;0;0;"Hoy concluyó la adquisición de los 60 MHz de @NoticiasMVS por parte de $ AMX Las empresas no han revelado el monto de la transacción.";;@NoticiasMVS;;"883514305811021824";https://twitter.com/Lillith_Crown/status/883514305811021824
versusstocks;2017-07-07 13:54;0;0;"Customized research for $ AMX vs. $ ATNI ! http:// speculatingstocks.com/stockcompariso n/versus.php?stock1=5787&stock2=287 …";;;;"883383755032862720";https://twitter.com/versusstocks/status/883383755032862720
Mr_VivaYolo;2017-07-07 10:51;0;0;"Análisis de la tarifa cero de interconexión desata guerra de declaraciones de $ AMX vs la industria http:// exp.mx/2tUswKc";;;;"883337668104421378";https://twitter.com/Mr_VivaYolo/status/883337668104421378
ExpansionMx;2017-07-07 10:48;0;3;"Análisis de la tarifa cero de interconexión desata guerra de declaraciones de $ AMX vs la industria http:// exp.mx/2tUswKc";;;;"883336859530612736";https://twitter.com/ExpansionMx/status/883336859530612736
FinInvTr;2017-07-07 04:59;0;0;"Why Should Investors Dump Level 3 Communications Stock? http:// buff.ly/2uQDAVR $ LVLT $ T $ VZ $ AMX $ ORAN pic.twitter.com/JiVIwjNM5j";;;;"883249002686427136";https://twitter.com/FinInvTr/status/883249002686427136
FinInvTr;2017-07-06 21:13;0;0;"Why Should Investors Dump Level 3 Communications Stock? http:// buff.ly/2tXfqMZ $ LVLT $ T $ VZ $ AMX $ ORAN #ATT #Verizon";;;#ATT #Verizon;"883131943818334209";https://twitter.com/FinInvTr/status/883131943818334209
WatchlistN;2017-07-06 19:27;0;0;"America Movil, S.A.B. de C.V. $ AMX Receives $13.13 Consensus PT from Brokerages http:// ift.tt/2sv6MAL";;;;"883105155230703618";https://twitter.com/WatchlistN/status/883105155230703618
dailymailtimes;2017-07-06 19:26;0;0;"America Movil, S.A.B. de C.V. $ AMX Receives $13.13 Consensus PT from Brokerages http:// ift.tt/2uPRS8Y";;;;"883105003040362496";https://twitter.com/dailymailtimes/status/883105003040362496
tickersandbox;2017-07-06 12:00;0;0;"$ AMX : pattern detected on 6/12. View breakout and target prices, confidence, stats http:// patterns.06.teamcity3.tickerontest.com/7f304116-53fa- 46c3-8199-d6b5bd15a8ee …";;;;"882992558984450048";https://twitter.com/tickersandbox/status/882992558984450048
FAndresPerez;2017-07-06 09:38;0;0;"A largo plazo veo ajustes moderados en el #ipc , con 'montañas rusas' en $ AMX , $ GCARSO , $ GICSA , $ ASUR , $TELEVISA, . #TRMX . Buen día";;;#ipc #TRMX;"882956947632291842";https://twitter.com/FAndresPerez/status/882956947632291842
Carlamtzg;2017-07-05 21:57;2;0;"Eliminar tarifa cero de interconexión no afecta a consumidores: América Móvil $ AMX http://www. eluniversal.com.mx/articulo/carte ra/telecom/2017/07/5/eliminar-tarifa-cero-de-interconexion-no-afecta-consumidores …";;;;"882780586145918978";https://twitter.com/Carlamtzg/status/882780586145918978
