username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
15minofPham;2017-07-08 00:36;0;0;"52 week high & volume above 3-mth avg: $ DHI $ TOL $ ITB $ PHM $ MCD $ CX $ AAL $ SWK $ FIS $ IR $ BA";;;;"883545217898557440";https://twitter.com/15minofPham/status/883545217898557440
1MinuteStock;2017-07-08 00:00;0;0;"We calculated 63-day Expected Return of $ BA for you: 14.89% https:// unicornbay.com/t/BA.US?utm_me dium=tweet&utm_campaign=expreturn&utm_source=twitter …";;;;"883536128627720192";https://twitter.com/1MinuteStock/status/883536128627720192
OptionsMaxPain;2017-07-07 23:59;0;0;"#Options #maxpain chart for $ BA . Free options app http://www. mystockstation.com / pic.twitter.com/R1tehkgdeh";;;#Options #maxpain;"883535879968624641";https://twitter.com/OptionsMaxPain/status/883535879968624641
Highrollertrade;2017-07-07 23:18;0;0;"nonfarm вышел позже на 12 часов.высокоинформированные деньги двигают рынок раньше времени.вчера смотрел $ BA 08 09 01.лоу брейкаут был на ура";;;;"883525687994441729";https://twitter.com/Highrollertrade/status/883525687994441729
John_Gardi;2017-07-07 23:06;0;4;"Airbus Promises to Build a Reusable Rocket -- but #SpaceX Has a 15-Year Head Start #stocks $ BA , $ LMT , $ EADSY , $ SAFRY https://www. fool.com/investing/2017 /07/06/airbus-promises-reusable-rocket-spacex-head-start.aspx …";;;#SpaceX #stocks;"883522734646603776";https://twitter.com/John_Gardi/status/883522734646603776
PipsToDollars;2017-07-07 22:41;0;3;"WL for next week: M: $ APRN options T: $ PEP $ AMZN PRIME DAY TH: $ DAL F: $ JPM $ C $ WFC $ SAVE $ RTN $ BA pic.twitter.com/ZYUkt0Vyps";;;;"883516451461529601";https://twitter.com/PipsToDollars/status/883516451461529601
SwingingForward;2017-07-07 22:20;1;1;"LONG TERM HOLDS $ LMT $ AMD $ BA $ JNJ $ CSCO $ WMT $ BRK.B $ GS $ HAS $ BABA $ NAK $ DIS $ TSLA $ AMZN $ SHOP $ AAPL #stocks pic.twitter.com/tZ43G54LIb";;;#stocks;"883511010526724096";https://twitter.com/SwingingForward/status/883511010526724096
intercooleronli;2017-07-07 22:01;0;0;"Boeing Company $ The $ BA Rating Reiterated by Royal Bank Of Canada http:// ift.tt/2tzC4I2";;;;"883506226805473281";https://twitter.com/intercooleronli/status/883506226805473281
RatingsNetwork;2017-07-07 21:26;0;0;"Boeing Company (The)'s sell rating reiterated at Royal Bank Of Canada. $146.00 PT. http:// ift.tt/2uAX0Pk $ BA #BA";;;#BA;"883497421933817860";https://twitter.com/RatingsNetwork/status/883497421933817860
WKRBNews;2017-07-07 21:25;0;0;"Royal Bank Of Canada Reiterates Sell Rating for Boeing Company $ The $ BA http:// ift.tt/2tSpDK8";;;;"883497175002558464";https://twitter.com/WKRBNews/status/883497175002558464
