username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TechTraderAI;2017-07-07 16:16;0;0;"Top gain today from - $ ESV (6%). Bought $ BBL , $ TMUS , $ TMO . Shorted $ QSR , $ NCR . Sold $ WUBA (+10.2%). 90% long by 41%… https://www. techtrader.ai/wall/?date=149 9457357&post=10242 … pic.twitter.com/xLesCXNGYJ";;;;"883419509612175360";https://twitter.com/TechTraderAI/status/883419509612175360
FASTGraphs;2017-07-07 15:07;0;0;"Will You Profit From Market Folly? https:// seekingalpha.com/article/408179 6-will-profit-market-folly?source=tweet … $ BBL $ GD $ HMN $ MSFT $ SCHD $ SPHD $ SPY";;;;"883402148477665280";https://twitter.com/FASTGraphs/status/883402148477665280
WKRBNews;2017-07-07 13:41;0;0;"BHP Billiton PLC $ BBL Earning Somewhat Positive Media Coverage, Report Shows http:// ift.tt/2u0xeH8";;;;"883380453880852480";https://twitter.com/WKRBNews/status/883380453880852480
WKRBNews;2017-07-07 13:40;0;0;"BHP Billiton PLC $ BBL Earning Somewhat Positive Media Coverage, Report Shows http:// ift.tt/2symVFz";;;;"883380218626486275";https://twitter.com/WKRBNews/status/883380218626486275
IRAMarketReport;2017-07-07 08:34;0;0;"BHP Billiton PLC $ BBL Position Raised by JPMorgan Chase & Co. http:// ift.tt/2uxZX2S";;;;"883303312010993664";https://twitter.com/IRAMarketReport/status/883303312010993664
chaffeybreeze;2017-07-07 08:34;0;0;"BHP Billiton PLC $ BBL Position Raised by JPMorgan Chase & Co. http:// ift.tt/2uxZX2S";;;;"883303246298742784";https://twitter.com/chaffeybreeze/status/883303246298742784
amyhalutao;2017-07-07 01:43;0;0;"$ BBL See what others are saying! #InvestorsHangout $ CRCO $ FPOTF $ ECIA $ HW $ TOGOF http:// dlvr.it/PSptCM";;;#InvestorsHangout;"883199669114880000";https://twitter.com/amyhalutao/status/883199669114880000
str8toace;2017-07-06 23:20;0;0;"My Dividend Growth Portfolio Update - 51 Holdings, 4 Sales, 3 Buys https:// seekingalpha.com/article/408593 8-dividend-growth-portfolio-update-51-holdings-4-sales-3-buys?source=tweet … $ AAPL $ ABT $ AFL $ AMGN $ AMP $ AMZN $ ANTM $ BBL";;;;"883163696889044993";https://twitter.com/str8toace/status/883163696889044993
SwingTradeBot;2017-07-06 17:24;0;1;"Scan results - Shooting Star Candlestick today: $ MLHR $ NTT $ BBL $ BAH $ CR $ PRU $ AA $ WBS $ KLXI $ LNC ... https:// swingtradebot.com/events/15/equi ties?selected_date=2017-07-06 …";;;;"883074167406559233";https://twitter.com/SwingTradeBot/status/883074167406559233
ConfluenceCptl;2017-07-06 12:38;0;0;"$ BBL pic.twitter.com/HYrRKAh5ri";;;;"883002276704595968";https://twitter.com/ConfluenceCptl/status/883002276704595968
