username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IRAMarketReport;2017-07-07 18:32;0;0;"Independence Advisors LLC Acquires New Stake in BHP Billiton Limited $ BHP http:// ift.tt/2uA9p5Q";;;;"883453738584858624";https://twitter.com/IRAMarketReport/status/883453738584858624
ZolmaxNews;2017-07-07 18:31;0;0;"Independence Advisors LLC Acquires New Stake in BHP Billiton Limited $ BHP http:// ift.tt/2tS2DuM";;;;"883453527527481344";https://twitter.com/ZolmaxNews/status/883453527527481344
chaffeybreeze;2017-07-07 18:29;0;0;"Independence Advisors LLC Acquires New Stake in BHP Billiton Limited $ BHP http:// ift.tt/2uA9p5Q";;;;"883453010336247808";https://twitter.com/chaffeybreeze/status/883453010336247808
TV_TradingIdeas;2017-07-07 17:50;0;0;"BHP - SELL $ BHP http://www. tradingview.com/chart/BHP/GLdZ vfyH-BHP-SELL/ …";;;;"883443047102414848";https://twitter.com/TV_TradingIdeas/status/883443047102414848
IRAMarketReport;2017-07-07 14:37;0;0;"BHP Billiton Limited Target of Unusually Large Options Trading $ BHP http:// ift.tt/2tRls16";;;;"883394495273881600";https://twitter.com/IRAMarketReport/status/883394495273881600
chaffeybreeze;2017-07-07 14:34;0;0;"BHP Billiton Limited Target of Unusually Large Options Trading $ BHP http:// ift.tt/2tRls16";;;;"883393808418783232";https://twitter.com/chaffeybreeze/status/883393808418783232
MarketRealist;2017-07-07 13:44;0;0;"Freeport-McMoRan Stock's 2H17 Upside Potential http://marketrealist.com?p=2191297 marketrealist.com/?p=2191297 $ FCX $ BHP $ RIO $ SCCO";;;;"883381225666342912";https://twitter.com/MarketRealist/status/883381225666342912
SleekMoneycom;2017-07-07 13:36;0;0;"Somewhat Positive Media Coverage Likely to Affect BHP Billiton Limited $ BHP Share Price http:// ift.tt/2tRoumd";;;;"883379267895164929";https://twitter.com/SleekMoneycom/status/883379267895164929
St0ckReviews;2017-07-07 13:14;0;0;"http:// smq.tc/1GEVAGT <-- This is just an excellent trading DVD it covers everything you need to know! $ ITB $ RIO $ BHP $ RYL";;;;"883373620738768896";https://twitter.com/St0ckReviews/status/883373620738768896
TheMarketsDaily;2017-07-07 12:21;0;0;"United Capital Financial Advisers LLC Takes Position in BHP Billiton Limited $ BHP http:// zpr.io/PdBJy";;;;"883360458392182784";https://twitter.com/TheMarketsDaily/status/883360458392182784
MiningOnline;2017-07-07 10:53;0;0;"Could the massive #Tesla battery system coming soon to South Australia end $ BHP 's Olympic Dam electricity woes? http:// bit.ly/2tybi2S pic.twitter.com/NRZWjLPHDv";;;#Tesla;"883338132254601216";https://twitter.com/MiningOnline/status/883338132254601216
QuantchaIdeas;2017-07-07 10:30;0;0;"Price Target Alert: Trading the Zacks price target change for BHP BILLITON $ BHP http:// ideas.quantcha.com/2017/07/07/pri ce-target-alert-trading-the-zacks-price-target-change-for-bhp-billiton-bhp/ … pic.twitter.com/8MO6ls4YJX";;;;"883332301496745984";https://twitter.com/QuantchaIdeas/status/883332301496745984
TheMarketsDaily;2017-07-07 10:08;0;0;"Traders Buy Large Volume of Call Options on BHP Billiton Limited $ BHP http:// zpr.io/PdVCb";;;;"883326812679548929";https://twitter.com/TheMarketsDaily/status/883326812679548929
