username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1MinuteStock;2017-07-07 22:01;0;0;"Btw, Estimated #Earnings Per Share for $ BLL is $0.62 it's 1.48% of the current price https:// unicornbay.com/t/BLL.US?utm_m edium=tweet&utm_campaign=eps&utm_source=twitter …";;;#Earnings;"883506180542222338";https://twitter.com/1MinuteStock/status/883506180542222338
JKennedyAndCo;2017-07-07 20:42;0;0;"$ CRC $ BLL $ AU Seriously brilliant tool for traders, check it out URL: http:// bit.ly/2tmp9vk pic.twitter.com/X5iRfGCu6r";;;;"883486374581719040";https://twitter.com/JKennedyAndCo/status/883486374581719040
intercooleronli;2017-07-07 20:28;0;0;"John A. Hayes Sells 5,683 Shares of Ball Corporation $ BLL Stock http:// ift.tt/2tWovVg";;;;"883482825307160577";https://twitter.com/intercooleronli/status/883482825307160577
dailymailtimes;2017-07-07 20:26;0;0;"John A. Hayes Sells 5,683 Shares of Ball Corporation $ BLL Stock http:// ift.tt/2tWgYWL";;;;"883482376642469888";https://twitter.com/dailymailtimes/status/883482376642469888
WatchlistN;2017-07-07 20:22;0;0;"John A. Hayes Sells 5,683 Shares of Ball Corporation $ BLL Stock http:// ift.tt/2sWEUoU";;;;"883481377542373380";https://twitter.com/WatchlistN/status/883481377542373380
InsiderAlertsIA;2017-07-07 19:23;0;0;"$ BLL : New Insider Filing on CHAIRMAN, PRESIDENT & C.E.O.. JOHN A HAYES: http:// insideri.com/1205943_000112 760217023384_0001127602-17-023384 …";;;;"883466463792594946";https://twitter.com/InsiderAlertsIA/status/883466463792594946
QLFilings;2017-07-07 19:01;0;0;"$ BLL filed Form 4 with the SEC. Most mentioned words: ball, broomfield, corp, plan, hayes";;;;"883460965404217344";https://twitter.com/QLFilings/status/883460965404217344
TranscriptDaily;2017-07-07 17:38;0;0;"Ball Corporation $ BLL Given Daily Coverage Optimism Rating of 0.23 http:// ift.tt/2tzlcRK";;;;"883440074028986369";https://twitter.com/TranscriptDaily/status/883440074028986369
TheMarketsDaily;2017-07-07 16:40;0;0;"Nuveen Asset Management LLC Has $12.57 Million Stake in Ball Corporation $ BLL http:// zpr.io/PdQXL";;;;"883425475871346689";https://twitter.com/TheMarketsDaily/status/883425475871346689
chaffeybreeze;2017-07-07 14:44;0;0;"SPF Beheer BV Increases Stake in Ball Corporation $ BLL http:// ift.tt/2sPoMKq";;;;"883396299965386752";https://twitter.com/chaffeybreeze/status/883396299965386752
IRAMarketReport;2017-07-07 14:42;0;0;"SPF Beheer BV Increases Stake in Ball Corporation $ BLL http:// ift.tt/2sPoMKq";;;;"883395802512580612";https://twitter.com/IRAMarketReport/status/883395802512580612
TickerReport;2017-07-07 13:37;0;0;"Ball Corporation $ BLL Given Daily Coverage Optimism Rating of 0.23 http:// ift.tt/2tpHUNO";;;;"883379537714794502";https://twitter.com/TickerReport/status/883379537714794502
TickerReport;2017-07-07 13:37;0;0;"Ball Corporation $ BLL Given Daily Coverage Optimism Rating of 0.23 http:// ift.tt/2u0AceI";;;;"883379425965989888";https://twitter.com/TickerReport/status/883379425965989888
