username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AMElolzz;2017-07-08 03:10;0;0;"Is $ ELED less than $4k to a 50p% gain? YES. $ VRX $ KR $ CHRO $ BABA $ GOOGL $ CVX $ GE $ XOM $ F $ FRO $ FB $ JNJ $ BP $IBM… https:// twitter.com/i/web/status/8 83340106404438016 …";;;;"883583988580978688";https://twitter.com/AMElolzz/status/883583988580978688
SleekMoneycom;2017-07-08 03:06;0;0;"BP p.l.c. $ BP Short Interest Down 14.5% in June http:// ift.tt/2uUObPl";;;;"883583017381490688";https://twitter.com/SleekMoneycom/status/883583017381490688
versusstocks;2017-07-08 01:31;0;0;"Customized research for $ BP vs. $ CVX ! http:// speculatingstocks.com/stockcompariso n/versus.php?stock1=5927&stock2=635 …";;;;"883559043737935873";https://twitter.com/versusstocks/status/883559043737935873
StockSuccess83;2017-07-07 22:08;0;0;"http:// smq.tc/1Nj0hoZ If U Want Success Follow Tim Sykes Trading $ MTG $ KLIC $ DTE $ BP $ UWTI $ FCG";;;;"883508015868948480";https://twitter.com/StockSuccess83/status/883508015868948480
G11Jen;2017-07-07 20:01;1;0;"Aww! wonder how it will effect LNG :) Oil prices plunge 3% signs of oversupplied market persist https:// seekingalpha.com/news/3277491-o il-prices-plunge-3-percent-signs-oversupplied-market-persist?source=tweet … $ XOM $ CVX $ RDS.A $ BP";;;;"883476176374644736";https://twitter.com/G11Jen/status/883476176374644736
TheMarketsDaily;2017-07-07 19:52;0;0;"Somewhat Positive News Coverage Somewhat Likely to Impact BP p.l.c. $ BP Stock Price http:// zpr.io/PeUja";;;;"883473802977570816";https://twitter.com/TheMarketsDaily/status/883473802977570816
midetimes;2017-07-07 19:51;0;0;"Somewhat Positive News Coverage Somewhat Likely to Impact BP p.l.c. $ BP Stock Price http:// ift.tt/2sPZUCk";;;;"883473525050404864";https://twitter.com/midetimes/status/883473525050404864
FinSentS_UK100;2017-07-07 18:18;0;0;"$ BP /:LN BP Prudhoe Bay Royalty Trust Announces Dividend of $0.83 (BPT) #BP PLC http:// tinyurl.com/y86tyqeb #LDN100";;;#BP #LDN100;"883450136575311873";https://twitter.com/FinSentS_UK100/status/883450136575311873
mark_hruska;2017-07-07 17:52;0;1;"Short $ UWT $ OIL $ USO $ UCO $ SCO $ DWT $ GUSH $ DRIP $ XLE $ CHK $ PBR $ WFT $ SWN $ WLL $ MRO $ RIG $ KMI $ XOM $ BP $ COP $ SLB $ OXY $ HAL $ XOP #OIL #CRUDE pic.twitter.com/QlzSPOmqeU";;;#OIL #CRUDE;"883443519276429312";https://twitter.com/mark_hruska/status/883443519276429312
StockSuccess83;2017-07-07 15:07;0;0;"http:// smq.tc/1C0ebvi $78,624 In one single trade! Great going lx21 ! #inspiring $ MTG $ KLIC $ DTE $ BP $ UWTI $ FCG";;;#inspiring;"883402071730343937";https://twitter.com/StockSuccess83/status/883402071730343937
investmorris;2017-07-07 13:00;0;0;"Oil prices plunge 3% as signs of oversupplied mar... $ XOM $ CVX $ RDS.A $ BP $ COP $ OXY $ APC $ DVN $ CLR $ SWN $ WPX http://www. seekingalpha.com/news/3277491";;;;"883370226204766208";https://twitter.com/investmorris/status/883370226204766208
