username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
chaffeybreeze;2017-07-07 17:59;0;0;"Vector Group $ VGR & British American Tobacco PLC $ BTI Critical Contrast http:// ift.tt/2sWhUWN";;;;"883445290530983936";https://twitter.com/chaffeybreeze/status/883445290530983936
IRAMarketReport;2017-07-07 17:57;0;0;"Vector Group $ VGR & British American Tobacco PLC $ BTI Critical Contrast http:// ift.tt/2sWhUWN";;;;"883444951366991873";https://twitter.com/IRAMarketReport/status/883444951366991873
TranscriptDaily;2017-07-07 16:48;0;0;"British American Tobacco PLC $ BTI Given a $79.00 Price Target at Bank of America Corporation http:// ift.tt/2syNMSe";;;;"883427538168664064";https://twitter.com/TranscriptDaily/status/883427538168664064
JKennedyAndCo;2017-07-07 15:17;0;0;"$ BTI $ XXII $ AUY Algorithmic Buy/Sell Signals URL: http:// bit.ly/2tm5mvS pic.twitter.com/RtrPXQPxgk";;;;"883404745095958528";https://twitter.com/JKennedyAndCo/status/883404745095958528
intercooleronli;2017-07-07 14:56;0;0;"Bank of America Corporation Reiterates “$79.00” Price Target for British American Tobacco PLC $ BTI http:// ift.tt/2tyEoiP";;;;"883399364055412737";https://twitter.com/intercooleronli/status/883399364055412737
WKRBNews;2017-07-07 14:51;0;0;"British American Tobacco PLC $ BTI Given a $79.00 Price Target at Bank of America Corporation http:// ift.tt/2sPh9nu";;;;"883398103063076864";https://twitter.com/WKRBNews/status/883398103063076864
WKRBNews;2017-07-07 14:50;0;0;"British American Tobacco PLC $ BTI Given a $79.00 Price Target at Bank of America Corporation http:// ift.tt/2sVzryq";;;;"883397844639469571";https://twitter.com/WKRBNews/status/883397844639469571
midetimes;2017-07-07 12:11;0;0;"British American Tobacco PLC $ BTI Given a $79.00 Price Target by Bank of America Corporation Analysts http:// ift.tt/2uSC6KG";;;;"883357802596642816";https://twitter.com/midetimes/status/883357802596642816
RatingsNetwork;2017-07-07 12:07;0;0;"British American Tobacco PLC given $79.00 PT by Bank of America Corporation. buy rating. http:// ift.tt/2uzdlnE $ BTI #BTI";;;#BTI;"883356760844771328";https://twitter.com/RatingsNetwork/status/883356760844771328
storminvestor;2017-07-07 11:22;0;0;"Reviewing British American Tobacco PLC $ BTI & Philip Morris International $ PM http:// ift.tt/2tQA5So";;;;"883345547222020098";https://twitter.com/storminvestor/status/883345547222020098
SPNewsAnalysis;2017-07-07 11:22;0;0;"Reviewing British American Tobacco PLC $ BTI & Philip Morris International $ PM http:// ift.tt/2sURsNf";;;;"883345494654816264";https://twitter.com/SPNewsAnalysis/status/883345494654816264
emq_news;2017-07-07 11:14;0;0;"Reviewing British American Tobacco PLC $ BTI & Philip Morris International $ PM http:// ift.tt/2uyjwIv";;;;"883343543221334016";https://twitter.com/emq_news/status/883343543221334016
zenect;2017-07-07 10:36;0;2;"If you buy these stocks for the long term you’re going to lose #money . http:// bit.ly/1ZhdwMK $ VGR $ MO $ BTI $ RAI $ PM #educate";;;#money #educate;"883333933064171521";https://twitter.com/zenect/status/883333933064171521
BullBearCharts;2017-07-07 09:08;1;2;"Up Gappers $ GLBS $ NEE $ AFSI $ DRYS $ SNCR $ ONS $ BIOC $ AVEO $ CNAT $ VSTM $ CLF $ AEG $ CS $ AMD $ AUO $ AKS $ STM $ UL $ RIO $ DB $ SQ $ BTI $ LB $ MT $ MEET pic.twitter.com/t7Ep1VjO7D";;;;"883311832009768960";https://twitter.com/BullBearCharts/status/883311832009768960
zenect;2017-07-07 03:00;0;0;"Is the cigarette business rotten? http:// bit.ly/1ZhdwMK $ VGR $ MO $ BTI $ RAI $ PM #educate";;;#educate;"883219245915664384";https://twitter.com/zenect/status/883219245915664384
ZolmaxNews;2017-07-06 21:11;0;0;"British American Tobacco PLC $ BTI Receives Consensus Recommendation of “Strong Buy” from Analysts http:// ift.tt/2sLQB6z";;;;"883131291457257473";https://twitter.com/ZolmaxNews/status/883131291457257473
dakotafinancial;2017-07-06 21:07;0;0;"British American Tobacco PLC $ BTI Receives Consensus Recommendation of “Strong Buy” from Analysts http:// ift.tt/2tSn22D";;;;"883130284111269890";https://twitter.com/dakotafinancial/status/883130284111269890
emq_news;2017-07-06 12:05;0;0;"British American Tobacco PLC $ BTI Downgraded to “Sell” at BidaskClub http:// ift.tt/2tVRYQn";;;;"882993841137123330";https://twitter.com/emq_news/status/882993841137123330
TickerReport;2017-07-06 12:02;0;0;"British American Tobacco PLC $ BTI Downgraded to “Sell” at BidaskClub http:// ift.tt/2tVRYQn";;;;"882993250755379200";https://twitter.com/TickerReport/status/882993250755379200
TickerReport;2017-07-06 11:58;0;0;"British American Tobacco PLC $ BTI Downgraded to “Sell” at BidaskClub http:// ift.tt/2uuzvXW";;;;"882992188719812609";https://twitter.com/TickerReport/status/882992188719812609
emq_news;2017-07-06 11:54;0;0;"Comparing Turning Point Brands $ TPB and British American Tobacco PLC $ BTI http:// ift.tt/2uuxbAc";;;;"882991137090392064";https://twitter.com/emq_news/status/882991137090392064
TickerReport;2017-07-06 11:52;0;0;"Comparing Turning Point Brands $ TPB and British American Tobacco PLC $ BTI http:// ift.tt/2uuxbAc";;;;"882990647296368640";https://twitter.com/TickerReport/status/882990647296368640
TickerReport;2017-07-06 11:48;0;0;"Comparing Turning Point Brands $ TPB and British American Tobacco PLC $ BTI http:// ift.tt/2sKvCkv";;;;"882989558635397120";https://twitter.com/TickerReport/status/882989558635397120
TipRanksFeed;2017-07-06 05:09;1;1;"3-star analyst David Hayes from Merrill Lynch maintained a Buy on $ BTI . David has a 62% success rate https://www. tipranks.com/analysts/david -hayes …";;;;"882889215536746497";https://twitter.com/TipRanksFeed/status/882889215536746497
Stock_Forecast;2017-07-05 22:04;0;0;"Top 5 forecasted #stocks for Jul, Thu 06: $ JNJ - Short, $ NVDA - Long, $ TXN - Long, $ MO - Long, $ BTI - Long. http:// daily-stock-forecast.com";;;#stocks;"882782393798668292";https://twitter.com/Stock_Forecast/status/882782393798668292
SleekMoneycom;2017-07-05 13:42;0;0;"Vector Group $ VGR vs. British American Tobacco PLC $ BTI Financial Comparison http:// ift.tt/2tqrwuT";;;;"882656004709777408";https://twitter.com/SleekMoneycom/status/882656004709777408
DAMSConsulting;2017-07-05 10:36;0;1;"PT in $ XXII .well lets see what is $ MO $ BTI and others worth? they will all need to use $ XXII product who knows question is who will jump 1st";;;;"882609103121600517";https://twitter.com/DAMSConsulting/status/882609103121600517
StockTradePicks;2017-07-05 09:18;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ CMO $ CLD $ BTI $ ICON $ SYRG $ ADMP $ BAH $ EGY $ BSV $ STR";;;;"882589408335060992";https://twitter.com/StockTradePicks/status/882589408335060992
ZolmaxNews;2017-07-05 08:13;0;0;"British American Tobacco PLC $ BTI Getting Somewhat Favorable News Coverage, Accern Reports http:// ift.tt/2tQmIlo";;;;"882573139284197376";https://twitter.com/ZolmaxNews/status/882573139284197376
intercooleronli;2017-07-04 18:34;0;0;"Philip Morris International $ PM versus British American Tobacco PLC $ BTI Head to Head Review http:// ift.tt/2uHZRVN";;;;"882367099242516480";https://twitter.com/intercooleronli/status/882367099242516480
TranscriptDaily;2017-07-04 18:30;0;0;"Philip Morris International $ PM versus British American Tobacco PLC $ BTI Head to Head Review http:// ift.tt/2uHrHRV";;;;"882366104823353345";https://twitter.com/TranscriptDaily/status/882366104823353345
perryns69;2017-07-04 16:11;0;0;"Big Tobacco Yield At A Low Price https:// seekingalpha.com/article/407591 9?source=ansh … $ IMBBY , $ BTI , $ MO , $ PM , $ RAI";;;;"882331156552835072";https://twitter.com/perryns69/status/882331156552835072
dakotafinancial;2017-07-04 10:32;0;0;"British American Tobacco PLC $ BTI & Turning Point Brands $ TPB Financial Contrast http:// ift.tt/2smFJrs";;;;"882245816609632257";https://twitter.com/dakotafinancial/status/882245816609632257
dailypoliticaln;2017-07-04 08:29;0;0;"British American Tobacco PLC $ BTI & Turning Point Brands $ TPB Financial Contrast http:// ift.tt/2uGaIiR";;;;"882214707893022724";https://twitter.com/dailypoliticaln/status/882214707893022724
