username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CarlosVignote;2017-07-08 01:27;4;2;"Recapitalization for GSEs laid out in FHLBs'Charter 85yrs.ago:Build up a RESERVE.Say NO to $ GS , $ MS , $ C 's alumnis at @USTreasury #Fanniegate pic.twitter.com/1yeo9ecLNK";;@USTreasury;#Fanniegate;"883558248820944897";https://twitter.com/CarlosVignote/status/883558248820944897
CarlosVignote;2017-07-08 00:37;0;0;"SCANDAL! Former @USTreasury &Citigroup's COO, J.Lew,approved CRT transactions where $ C is Bookrunner. CRT are illegal in Charter. #fanniegate";;@USTreasury;#fanniegate;"883545533700288512";https://twitter.com/CarlosVignote/status/883545533700288512
Chilly_Trader;2017-07-08 00:36;0;0;"http:// bit.ly/1VvJJhE < Escape the 9 to 5 with Jason Bond Stock Picks Free Trial. $ XLF $ EWU $ C";;;;"883545267055632384";https://twitter.com/Chilly_Trader/status/883545267055632384
intercooleronli;2017-07-07 23:11;0;0;"Zacks Investment Research Upgrades Citigroup Inc. $ C to “Hold” http:// ift.tt/2sX2guA";;;;"883523852348911617";https://twitter.com/intercooleronli/status/883523852348911617
arXiv_trend;2017-07-07 23:00;0;0;"[+6][hep-ex/1412.7515] Y. Amhis, R. Harr et al.: Averages of $ b $-hadron, $ c $-hadron, and $\tau$-lepton p... http:// arxiv.org/abs/1412.7515";;;;"883521192920993792";https://twitter.com/arXiv_trend/status/883521192920993792
arXiv_trend;2017-07-07 23:00;0;0;"[+5][hep-ex/1612.07233] Y. Amhis, R. Harr et al.: Averages of $ b $-hadron, $ c $-hadron, and $\tau$-lepton p... http:// arxiv.org/abs/1612.07233";;;;"883521185329238016";https://twitter.com/arXiv_trend/status/883521185329238016
Investing_Books;2017-07-07 22:48;0;0;"Options, Futures and Other Derivatives: http:// amzn.to/29CRGB0 #options #trading $ AAPL $ VIX $ VXX $ TSLA $ GS $ C";;;#options #trading;"883518232207994880";https://twitter.com/Investing_Books/status/883518232207994880
PipsToDollars;2017-07-07 22:41;0;4;"WL for next week: M: $ APRN options T: $ PEP $ AMZN PRIME DAY TH: $ DAL F: $ JPM $ C $ WFC $ SAVE $ RTN $ BA pic.twitter.com/ZYUkt0Vyps";;;;"883516451461529601";https://twitter.com/PipsToDollars/status/883516451461529601
SimplyTrades2;2017-07-07 22:39;0;0;"http:// bit.ly/1WiRgRz TimSykes talks about the WORST broker!!! $ NDAQ $ SLB $ WLL $ SU $ C $ FB $ TWTR $ APPL";;;;"883515805446438912";https://twitter.com/SimplyTrades2/status/883515805446438912
GCuse1;2017-07-07 22:05;0;1;"@petenajarian Second half PLAY: $ BAC $ C $ F #BULLISH";;@petenajarian;#BULLISH;"883507326514192384";https://twitter.com/GCuse1/status/883507326514192384
cityfox47;2017-07-07 21:14;0;0;"Yeah medicaid takes every little thing you own. They leave nothing to leave your kids. I'm not talking $ c tho they take all that too";;;;"883494473048576000";https://twitter.com/cityfox47/status/883494473048576000
FinInvTr;2017-07-07 21:01;0;0;"M&A League Tables http:// buff.ly/2tlB24e $ GS $ MS $ JPM $ C $ BAC";;;;"883491239223599104";https://twitter.com/FinInvTr/status/883491239223599104
potter_academia;2017-07-07 21:00;0;1;"Harry Potter and The Ground Rings and Their Modules in 2D Gravity With $ C \le 1$ Matter";;;;"883490912671870978";https://twitter.com/potter_academia/status/883490912671870978
OptionAlarm;2017-07-07 20:15;0;0;"It's a stock-pickers market again. Recent winners include $ NFLX $ SPY $ TSLA $ NVDA $ BABA $ C Free Trials, hitting swing winners since 2006";;;;"883479532854030340";https://twitter.com/OptionAlarm/status/883479532854030340
StocksTrade2;2017-07-07 20:05;0;0;"http:// smq.tc/1BFjMXK Understanding Paid Pumps - The Single Most Reliable Trading $ NOK $ WNR $ C";;;;"883477100870615040";https://twitter.com/StocksTrade2/status/883477100870615040
potter_academia;2017-07-07 20:00;0;0;"Harry Potter and The Unification of All String Models With $ C <1$";;;;"883475761423896578";https://twitter.com/potter_academia/status/883475761423896578
ZeroPointNow;2017-07-07 19:50;0;1;"Saudis paid a lot to normalize all things Islam. Prince Al-Waleed owns massive stake in Newscorp, CNN parent Time Warner, and $ TWTR / $ C";;;;"883473213279399937";https://twitter.com/ZeroPointNow/status/883473213279399937
StockNewsWires;2017-07-07 19:48;0;0;"$ C $ AAL : 2 Zombie Stocks Coming Back From the Dead: http://www. StockNewsWires.com/c-aal-2-zombie -stocks-coming-back-from-the-dead/ …";;;;"883472732955959296";https://twitter.com/StockNewsWires/status/883472732955959296
realNick1st;2017-07-07 19:34;0;0;"Hedge Fund Elliott Management considers Oncor bid vs Buffett $ BRK #WallStreet $ GS $ C $ BX $ BLK $ PHK #FridayReads #NYC https://www. wsj.com/articles/warre n-buffett-and-oncor-let-the-battle-of-the-billionaires-begin-1499469066 …";;;#WallStreet #FridayReads #NYC;"883469362765721600";https://twitter.com/realNick1st/status/883469362765721600
ExactOptionPick;2017-07-07 19:00;0;0;"Don't miss our next FREE OPTION TRADE. Sign up for our Daily Free Trades at http:// ow.ly/6CP930dqfA0 $ NVDA $ TSLA $ GS $ C $ WFC $ GOOGL $ FB";;;;"883460746964873216";https://twitter.com/ExactOptionPick/status/883460746964873216
JorelLaraKalel;2017-07-07 18:36;0;0;"Jim Cramer Next Week's Game Plan http:// cnb.cx/2sPX7Jr http:// amzn.to/2tVH6RE $ PEP $ AMZN $ GIS $ DAL $ C $ JPM $ WFC pic.twitter.com/XAbrmI6Lg3";;;;"883454719682916356";https://twitter.com/JorelLaraKalel/status/883454719682916356
TheMarketsDaily;2017-07-07 18:28;0;0;"Somewhat Positive News Coverage Very Likely to Impact Citigroup $ C Stock Price http:// zpr.io/PdQvZ";;;;"883452745369493504";https://twitter.com/TheMarketsDaily/status/883452745369493504
OptionsAction;2017-07-07 17:45;4;5;"Big banks kick off earnings season next week. Here are the implied moves for $ JPM $ C $ WFC pic.twitter.com/suVskObTBh";;;;"883441947620323328";https://twitter.com/OptionsAction/status/883441947620323328
