username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SleekMoneycom;2017-07-08 03:46;0;0;"Canon, Inc. $ CAJ to Post Q2 2017 Earnings of $0.47 Per Share, Jefferies Group Forecasts http:// ift.tt/2ts199w";;;;"883593087565651968";https://twitter.com/SleekMoneycom/status/883593087565651968
cans1im;2017-07-07 19:07;0;0;"7/7/2017 Up: $ KLIC $ TER $ AMED $ PHM $ ESNT $ WD $ CPA $ UNVR $ FIZZ Down: $ CAJ $ SIMO $ OSK $ LB $ ORLY $ SLCA $ OKE $ CAG $ GBX $ COST";;;;"883462462875475968";https://twitter.com/cans1im/status/883462462875475968
NewsToDesk;2017-07-07 16:45;0;0;"$ RH $ DVN $ CAJ : Why Canon Inc (ADR) (CAJ), RH (RH) and Devon Energy Corp …: http://www. StockNewsWires.com/rh-dvn-caj-why -canon-inc-adr-caj-rh-rh-and-devon-energy-corp/ …";;;;"883426659243745280";https://twitter.com/NewsToDesk/status/883426659243745280
WUMoneyClub;2017-07-07 16:43;0;0;"Why $ CAJ $ RH and $ DVN Are 3 of Today's Worst Stocks - http:// investorplace.com/2017/07/why-ca non-inc-adr-caj-rh-rh-and-devon-energy-corp-dvn-are-3-of-todays-worst-stocks …";;;;"883426329697320960";https://twitter.com/WUMoneyClub/status/883426329697320960
InvestorPlace;2017-07-07 16:37;0;0;"Why $ CAJ $ RH and $ DVN Are 3 of Today's Worst Stocks - http:// investorplace.com/2017/07/why-ca non-inc-adr-caj-rh-rh-and-devon-energy-corp-dvn-are-3-of-todays-worst-stocks …";;;;"883424791922954242";https://twitter.com/InvestorPlace/status/883424791922954242
chaffeybreeze;2017-07-07 15:34;0;0;"Jefferies Group Comments on Canon, Inc.’s Q2 2017 Earnings $ CAJ http:// ift.tt/2u0VLvo";;;;"883408817404481536";https://twitter.com/chaffeybreeze/status/883408817404481536
IRAMarketReport;2017-07-07 15:32;0;0;"Jefferies Group Comments on Canon, Inc.’s Q2 2017 Earnings $ CAJ http:// ift.tt/2u0VLvo";;;;"883408344517574657";https://twitter.com/IRAMarketReport/status/883408344517574657
DailyStockPlays;2017-07-07 11:02;0;0;"$ CAJ Oversold http://www. dailystockplays.com/CAJ-Stock-Pric e-Quote-After-Hours-Premarket-Trading.html …";;;;"883340502329950208";https://twitter.com/DailyStockPlays/status/883340502329950208
ITRADEVOL;2017-07-07 09:35;0;0;"Decliners in PreMarket trading $ CHKE $ DGAZ $ USLV $ OCUL $ UWT $ JNUG $ UVXY $ TVIX $ NUGT $ CAJ $ UCO $ AU $ GUSH $ UGLD $ LABD https:// marketchameleon.com/Reports/Premar ketTrading …";;;;"883318548566863873";https://twitter.com/ITRADEVOL/status/883318548566863873
intercooleronli;2017-07-07 09:02;0;0;"Jefferies Group Comments on Canon, Inc.’s Q2 2017 Earnings $ CAJ http:// ift.tt/2uy7Jde";;;;"883310135317278720";https://twitter.com/intercooleronli/status/883310135317278720
RatingsNetwork;2017-07-07 08:50;0;0;"Jefferies Group LLC Sets Canon Q2 2017 Earnings Estimates at $0.47 Per Share. $ CAJ http:// zpr.io/PdVRb #CAJ";;;#CAJ;"883307190039261184";https://twitter.com/RatingsNetwork/status/883307190039261184
ZolmaxNews;2017-07-07 08:21;0;0;"Canon $ CAJ Receiving Somewhat Negative Press Coverage, Report Shows http:// ift.tt/2uxCsXV";;;;"883299995545423872";https://twitter.com/ZolmaxNews/status/883299995545423872
bratfaleansilvi;2017-07-07 03:16;0;0;"Wall Street Breakfast: ECB Minutes In The Limelight https:// seekingalpha.com/article/408599 6-wall-street-breakfast-ecb-minutes-limelight?source=tweet … $ SPY $ QQQ $ AMZN $ BAC $ BIDU $ BK $ C $ CAJ $ DB $ DISH $ FB $ GE $ GM";;;;"883223244756717568";https://twitter.com/bratfaleansilvi/status/883223244756717568
nyvetvote;2017-07-07 02:56;0;0;"Wall Street Breakfast: ECB Minutes In The Limelight https:// seekingalpha.com/article/408599 6-wall-street-breakfast-ecb-minutes-limelight?source=tweet … $ SPY $ QQQ $ AMZN $ BAC $ BIDU $ BK $ C $ CAJ $ DB $ DISH $ FB $ GE $ GM";;;;"883218158571708417";https://twitter.com/nyvetvote/status/883218158571708417
renownasx;2017-07-06 19:22;0;8;"Morning scans, throw in the bin if you like: $ ADH $ AHQ $ CAJ $ CSV $ FAR $ FDM $ FMS $ FSG $M7T $ MXI $ OBJ $ PGC $ PNV $ PSY $ UPD $ ALQ $ BNO $ CVC $ EQE";;;;"883103952962691072";https://twitter.com/renownasx/status/883103952962691072
ARCAINVEST;2017-07-06 09:48;0;0;"Wall Street Breakfast: ECB Minutes In The Limelight https:// seekingalpha.com/article/408599 6-wall-street-breakfast-ecb-minutes-limelight?source=tweet … $ SPY $ QQQ $ AMZN $ BAC $ BIDU $ BK $ C $ CAJ $ DB $ DISH $ FB $ GE $ GM";;;;"882959554807463937";https://twitter.com/ARCAINVEST/status/882959554807463937
Ro_Patel;2017-07-06 09:37;0;0;"EU antitrust regulators are charging $ MRK $ SIAL $ GE & $ CAJ for providing misleading info during their merger deals";;;;"882956787443433472";https://twitter.com/Ro_Patel/status/882956787443433472
newswelldone;2017-07-06 09:05;0;0;"$ GE $ CAJ : GE and others accused of breaching EU antitrust rules: http://www. StockNewsWires.com/ge-caj-ge-and- others-accused-of-breaching-eu-antitrust-rules/ …";;;;"882948524463144961";https://twitter.com/newswelldone/status/882948524463144961
sitifatimahnet;2017-07-06 09:02;0;0;"GE and others accused of breaching EU antitrust rules https:// seekingalpha.com/news/3277222-g e-others-accused-breaching-eu-antitrust-rules?source=feed_f … #premarket $ GE $ CAJ $ MKGAF #sitifatimah #malaysia #financial …";;;#premarket #sitifatimah #malaysia #financial;"882947911931359233";https://twitter.com/sitifatimahnet/status/882947911931359233
MarketCurrents;2017-07-06 09:01;0;0;"GE and others accused of breaching EU antitrust rules https:// seekingalpha.com/news/3277222-g e-others-accused-breaching-eu-antitrust-rules?source=feed_f … #premarket $ GE $ CAJ $ MKGAF";;;#premarket;"882947668523139072";https://twitter.com/MarketCurrents/status/882947668523139072
ChuckMik;2017-07-06 08:58;0;0;"EU charges Merck KGaA, GE (-1.8% pre), $ CAJ (-0.9%) over #merger rules http:// reut.rs/2sJk8xH @Reuters #stocks #trading";;@Reuters;#merger #stocks #trading;"882946913200459776";https://twitter.com/ChuckMik/status/882946913200459776
wealthindiv;2017-07-06 08:57;0;0;"Wall Street Breakfast: ECB Minutes In The Limelight https:// seekingalpha.com/article/408599 6-wall-street-breakfast-ecb-minutes-limelight?source=tweet … $ SPY $ QQQ $ AMZN $ BAC $ BIDU $ BK $ C $ CAJ $ DB $ DISH $ FB $ GE $ GM";;;;"882946574120357888";https://twitter.com/wealthindiv/status/882946574120357888
OpenOutcrier;2017-07-06 08:34;1;2;"$ GE $ CAJ GE, Canon Risk Fines as EU Clamps Down on Merger Violations - BBG http:// ooc.bz/l/13614";;;;"882940815294779393";https://twitter.com/OpenOutcrier/status/882940815294779393
