username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TCBFx;2017-07-08 01:26;0;0;"The Closing Bell is out! http:// paper.li/BonaCapital/14 08551985?edition_id=f55197f0-639d-11e7-9619-0cc47a0d164b … $ EURUSD $ GBPUSD $ USDJPY $ AUDUSD $ SPY $ TWTR $ GPRO $ YHOO $ LNKD $ FB $ AAPL $ BRD $ CAT $ WLT $ LNKD";;;;"883557818162434048";https://twitter.com/TCBFx/status/883557818162434048
MC_OptionTrades;2017-07-07 22:20;0;0;"$ CAT 28-Jul-17 ATM Implied Volatility is down -0.7% to 26.5. Straddle implies a move of ±5.3%. Earnings Jul 25. http:// tinyurl.com/ycbvg7e4";;;;"883511175367065604";https://twitter.com/MC_OptionTrades/status/883511175367065604
Stock_Huntress;2017-07-07 21:30;0;0;"Millionaire trading student http:// goo.gl/LiNZQy made millions learning to trade from http:// goo.gl/xc2v9I $ KITE $ HLF $ UWTI $ NFLX $ CAT";;;;"883498573542825984";https://twitter.com/Stock_Huntress/status/883498573542825984
platapepe70;2017-07-07 21:10;0;0;"Mid-day TOP of range: $ LOW 99, $ CC 97, $ TWX 88, $ DHI $ PHM 86, $ FE 84, $ NKE 80, $ SYY 79, $ LUV 77, $ AU $ KBH 73, $ HUN 71, $ CAT $ TJX 69";;;;"883493480013672449";https://twitter.com/platapepe70/status/883493480013672449
SEEKINGALPHA_FS;2017-07-07 20:31;0;0;"Beat The Market With More Dividends And Less Volatility https:// seekingalpha.com/article/408639 7-beat-market-dividends-less-volatility?source=twitter_sa_factset … $ AAPL #APPLE $ ABBV $ AES $ AMZN $ CA $ CAT $ CCI $ CME $ CNP $ COH";;;#APPLE;"883483546723115008";https://twitter.com/SEEKINGALPHA_FS/status/883483546723115008
SeekingAlpha;2017-07-07 20:31;0;0;"Beat The Market With More Dividends And Less Volatility https:// seekingalpha.com/article/408639 7-beat-market-dividends-less-volatility?source=feed_f … $ AAPL #APPLE $ ABBV $ AES $ AMZN $ CA $ CAT $ CCI $ CME $ CNP $ COH";;;#APPLE;"883483544953036800";https://twitter.com/SeekingAlpha/status/883483544953036800
StocksThatDoubl;2017-07-07 17:49;0;0;"http:// BiloSelhi.com members have an advantage.SEE TRACK RECORD & JOIN pic.twitter.com/jJblPPWxLK $ LVS $ GPS $ SAN $ CAT $ VIV $ TLI $ UPLD $ HHY";;;;"883442891011629056";https://twitter.com/StocksThatDoubl/status/883442891011629056
TheMarketsDaily;2017-07-07 17:11;0;0;"Zacks: Analysts Anticipate Caterpillar, Inc. $ CAT Will Post Quarterly Sales of $10.65 Billion http:// zpr.io/PdQut";;;;"883433205038292992";https://twitter.com/TheMarketsDaily/status/883433205038292992
DozenStocks;2017-07-07 16:00;0;0;"S&P500 #Stocks Trend $ WYNN $ BCR $ GD $ ADI $ KLAC $ LRCX $ AMAT $ NFLX $ BDX $ CHRW $ VRTX $ MSFT $ ETFC $ MU $ CAT $ EA @http:// 12Stocks.com/sp500";;@http;#Stocks;"883415368529616896";https://twitter.com/DozenStocks/status/883415368529616896
DozenStocks;2017-07-07 15:58;0;1;"Dow #Stocks Trend $ MSFT $ CAT $ INTC $ MRK $ DD $ BA $ CSCO $ AAPL $ IBM $ MCD $ JPM $ DIS $ UNH $ V $ HD $ TRV $ MMM $ AXP $ GS @http:// 12Stocks.com/dow";;@http;#Stocks;"883414968242130944";https://twitter.com/DozenStocks/status/883414968242130944
dakotafinancial;2017-07-07 15:16;0;0;"Somewhat Positive News Coverage Likely to Affect Caterpillar $ CAT Share Price http:// ift.tt/2u0NMid";;;;"883404373165957120";https://twitter.com/dakotafinancial/status/883404373165957120
DrPilkington;2017-07-07 14:00;0;0;"Oh shit. Watch out $ AAPL /s While ace value a good idea, cranes etc = huge liability, is $ CAT not conflating their own liability w/ customer https:// twitter.com/CaterpillarInc /status/866805206037561344 …";;;;"883385335174004738";https://twitter.com/DrPilkington/status/883385335174004738
newbieHH;2017-07-07 13:30;0;0;"http:// prntscr.com/fsvyby $ CAT D";;;;"883377771858231297";https://twitter.com/newbieHH/status/883377771858231297
TCBFx;2017-07-07 13:27;0;0;"The Closing Bell is out! http:// paper.li/BonaCapital/14 08551985?edition_id=81422190-6339-11e7-9619-0cc47a0d164b … $ EURUSD $ GBPUSD $ USDJPY $ AUDUSD $ SPY $ TWTR $ GPRO $ YHOO $ LNKD $ FB $ AAPL $ BRD $ CAT $ WLT $ LNKD";;;;"883376869931970560";https://twitter.com/TCBFx/status/883376869931970560
StocksThatDoubl;2017-07-07 13:07;0;0;"Stock trade alerts http:// BiloSelhi.com JOIN NOW Promo pic.twitter.com/07CVi8iqIp $bitcoin $ EOG $ TSM $ ATVI $ LVS $ GPS $ SAN $ CAT";;;;"883371994569478144";https://twitter.com/StocksThatDoubl/status/883371994569478144
intercooleronli;2017-07-07 12:07;0;0;"Zacks: Analysts Anticipate Caterpillar, Inc. $ CAT Will Post Quarterly Sales of $10.65 Billion http:// ift.tt/2uz5HJU";;;;"883356866700378112";https://twitter.com/intercooleronli/status/883356866700378112
WatchlistN;2017-07-07 12:02;0;0;"Zacks: Analysts Anticipate Caterpillar, Inc. $ CAT Will Post Quarterly Sales of $10.65 Billion http:// ift.tt/2tUJY1b";;;;"883355636196663296";https://twitter.com/WatchlistN/status/883355636196663296
DozenStocks;2017-07-07 11:52;0;0;"S&P500 #Stocks Trend $ WYNN $ BCR $ GD $ ADI $ KLAC $ LRCX $ AMAT $ NFLX $ BDX $ CHRW $ VRTX $ MSFT $ ETFC $ MU $ CAT $ EA @http:// 12Stocks.com/sp500";;@http;#Stocks;"883352954560032769";https://twitter.com/DozenStocks/status/883352954560032769
