username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Trade_Alertinto;2017-07-08 01:45;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"883562700004917248";https://twitter.com/Trade_Alertinto/status/883562700004917248
nasdaqfan;2017-07-07 17:51;0;0;"$ CHL This is a must join site! #InvestorsHangout $ TAKUF $ RYPE $ MSPC $ AXFOF $ PMGYF http:// dlvr.it/PT0PxG";;;#InvestorsHangout;"883443266351280128";https://twitter.com/nasdaqfan/status/883443266351280128
DailyStockPlays;2017-07-07 11:06;0;0;"$ CHL Oversold http://www. dailystockplays.com/CHL-Stock-Pric e-Quote-After-Hours-Premarket-Trading.html …";;;;"883341419116728322";https://twitter.com/DailyStockPlays/status/883341419116728322
ZolmaxNews;2017-07-07 07:02;0;0;"Morgan Stanley Downgrades China Mobile $ Hong Kong Ltd. $ CHL to Underweight http:// ift.tt/2txds2X";;;;"883279976480505857";https://twitter.com/ZolmaxNews/status/883279976480505857
SPNewsAnalysis;2017-07-06 14:04;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Downgraded to “Underweight” at Morgan Stanley http:// ift.tt/2sL2sld";;;;"883023883900682240";https://twitter.com/SPNewsAnalysis/status/883023883900682240
RCat55;2017-07-06 13:19;46;3;"100% BUY on $ ERFB .0055 Accordant Communications is officially a Subsidiary of ERF WIRELESS $ VZ $ TEF $ AMOV $ CHA $ NTT $ T $ CHL HUGE BUY";;;;"883012551503732737";https://twitter.com/RCat55/status/883012551503732737
WKRBNews;2017-07-06 11:56;0;0;"Favorable Press Coverage Very Unlikely to Affect China Mobile $ Hong Kong $ CHL Share Price http:// ift.tt/2tQKwF2";;;;"882991685109678080";https://twitter.com/WKRBNews/status/882991685109678080
WKRBNews;2017-07-06 11:55;0;0;"Favorable Press Coverage Very Unlikely to Affect China Mobile $ Hong Kong $ CHL Share Price http:// ift.tt/2sQLdu9";;;;"882991345324961792";https://twitter.com/WKRBNews/status/882991345324961792
Trade_Alertinto;2017-07-06 11:44;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"882988588274638849";https://twitter.com/Trade_Alertinto/status/882988588274638849
Stock_Huntress;2017-07-06 11:21;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"882982799023591424";https://twitter.com/Stock_Huntress/status/882982799023591424
Emylers;2017-07-06 11:05;0;0;"CHL Stock 51.45 China Mobile Ltd $ CHL Hit 246,802 52 week lows as of +0.29%. Currently trading at 51.45 -0.61 https:// investorshangout.com/post/view?id=4 646032 …";;;;"882978788547670016";https://twitter.com/Emylers/status/882978788547670016
China_Stocks;2017-07-06 09:22;0;0;"China Unicom's Ivory Tower.. http:// finance.yahoo.com/r/af6ccb96-71d 1-3338-a106-9dd880410435/china-unicom-s-ivory-tower-gets-a-harsh-dose-of-reality?utm_source=yahoo&utm_medium=bd&utm_campaign=headline&trackingId=yhoo.headline&yptr=yahoo&.tsrc=rss … $ CHL #china #stocks";;;#china #stocks;"882952938003374080";https://twitter.com/China_Stocks/status/882952938003374080
ProTradersNews;2017-07-06 03:12;0;0;"$ CHL : China PMI Surges: ETFs In Focus: http://www. StockNewsWires.com/chl-china-pmi- surges-etfs-in-focus/ …";;;;"882859683815366657";https://twitter.com/ProTradersNews/status/882859683815366657
barronsasia;2017-07-05 20:33;0;0;"#China Mobile Downgrade: “Significant Deterioration” Ahead http:// on.barrons.com/2sIeWKr @DeFotis $ CHL $ TLK $ CHA";;@DeFotis;#China;"882759433184587776";https://twitter.com/barronsasia/status/882759433184587776
PumpJack_1;2017-07-05 18:48;0;0;"$ CHL looking for a close below 51.70. This will be a long term short play for me. If I get the close on the weekly, it keeps going.";;;;"882732913133015040";https://twitter.com/PumpJack_1/status/882732913133015040
OpenOutcrier;2017-07-05 16:04;0;0;"RECAP 7/5 +Pos Comments: $ FTNT $ KEP $ KOF $ GOL $ TDY $ NCR $ BHP -Neg Comments: $ CHL $ CAB";;;;"882691614971506693";https://twitter.com/OpenOutcrier/status/882691614971506693
DeFotis;2017-07-05 15:20;1;2;"#China Mobile Downgrade: “Significant Deterioration” Ahead http://www. barrons.com/articles/china -mobile-downgrade-significant-deterioration-ahead-1499270910 … $ CHL $ CHA #telecom #5G @BarronsOnline";;@BarronsOnline;#China #telecom #5G;"882680666529378305";https://twitter.com/DeFotis/status/882680666529378305
China_Stocks;2017-07-05 13:34;0;0;"China Mobile Downgrade: "Significant Deterioration" Ahead.. http:// finance.yahoo.com/r/14bbe541-05b 6-3bb7-8ae2-0d0561f2ca9b/china-mobile-downgrade-significant-deterioration-ahead-1499270910?mod=yahoobarrons&ru=yahoo&yptr=yahoo&.tsrc=rss … $ CHL #china #stocks";;;#china #stocks;"882653875802480640";https://twitter.com/China_Stocks/status/882653875802480640
China_Stocks;2017-07-05 13:34;0;0;"China Mobile Rating Cut at Morgan Stanley.. http:// finance.yahoo.com/r/48cd8983-f59 b-3cb3-801e-311c12bf111d/china-mobile-rating-slashed-at-morgan-stanley.html?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss … $ CHL #china #stocks";;;#china #stocks;"882653807791886336";https://twitter.com/China_Stocks/status/882653807791886336
rangab1;2017-07-05 13:31;0;0;"$ RLH Check out this site! #InvestorsHangout $ AISSF $ INNMF $ GVDBF $ LNMIY $ CHL http:// dlvr.it/PSRNqg";;;#InvestorsHangout;"882653191531143168";https://twitter.com/rangab1/status/882653191531143168
Stock_Huntress;2017-07-05 13:21;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"882650603658264576";https://twitter.com/Stock_Huntress/status/882650603658264576
sitifatimahnet;2017-07-05 12:51;0;0;"China Mobile loses favor with Morgan Stanley ahead of 5G spending https:// seekingalpha.com/news/3277050-c hina-mobile-loses-favor-morgan-stanley-ahead-5g-spending?source=feed_f … $ CHL $ CHU $ CHA #sitifatimah #malaysia #financial …";;;#sitifatimah #malaysia #financial;"882643161897738244";https://twitter.com/sitifatimahnet/status/882643161897738244
SEEKINGALPHA_FS;2017-07-05 12:48;0;0;"China Mobile loses favor with Morgan Stanley ahead of 5G spending https:// seekingalpha.com/news/3277050-c hina-mobile-loses-favor-morgan-stanley-ahead-5g-spending?source=twitter_sa_factset … $ CHL $ CHU $ CHA";;;;"882642329265356800";https://twitter.com/SEEKINGALPHA_FS/status/882642329265356800
SAlphaTech;2017-07-05 12:48;0;0;"China Mobile loses favor with Morgan Stanley ahead of 5G spending https:// seekingalpha.com/news/3277050-c hina-mobile-loses-favor-morgan-stanley-ahead-5g-spending?source=twitter_salphatech … $ CHL $ CHU $ CHA";;;;"882642326903898113";https://twitter.com/SAlphaTech/status/882642326903898113
MarketCurrents;2017-07-05 12:48;0;0;"China Mobile loses favor with Morgan Stanley ahead of 5G spending https:// seekingalpha.com/news/3277050-c hina-mobile-loses-favor-morgan-stanley-ahead-5g-spending?source=feed_f … $ CHL $ CHU $ CHA";;;;"882642324752187393";https://twitter.com/MarketCurrents/status/882642324752187393
ProTradersNews;2017-07-05 12:45;0;0;"$ CHL $ F : China Mobile Rating Slashed at Morgan Stanley: http://www. StockNewsWires.com/chl-f-china-mo bile-rating-slashed-at-morgan-stanley/ …";;;;"882641491138564096";https://twitter.com/ProTradersNews/status/882641491138564096
WatchlistN;2017-07-05 11:55;1;1;"Gotham Asset Management LLC Reduces Stake in China Mobile $ Hong Kong Ltd. $ CHL http:// ift.tt/2uKIgwr";;;;"882629018713030657";https://twitter.com/WatchlistN/status/882629018713030657
usratings;2017-07-05 11:21;0;0;"Morgan Stanley downgrades $ CHL from Overweight to Underweight http:// 99wallstreet.com/ratings/stock/ CHL/ …";;;;"882620351586369536";https://twitter.com/usratings/status/882620351586369536
Emylers;2017-07-05 11:04;0;0;"CHL Stock 51.83 China Mobile Ltd $ CHL Hit 412,940 52 week lows as of +0.41%. Currently trading at 51.83 -1.10 https:// investorshangout.com/post/view?id=4 643382 …";;;;"882616129075785729";https://twitter.com/Emylers/status/882616129075785729
Donnaperan;2017-07-05 10:53;0;0;"$ AAP $ RAD $ ORLY $ FRED $ WIN $ USLV $ CHL $ NTET $ ACIA $ K $ DCIX $ EPIX $ CIE $ BWLD $ BAA $ AGQ $ TNTR Try to catch CIE at $... https:// stocktwits.com/Phoenixes/mess age/87881676 …";;;;"882613415759499266";https://twitter.com/Donnaperan/status/882613415759499266
ITRADEVOL;2017-07-05 10:49;0;0;"43 New 52 Week Lows $ AAP $ RAD $ ORLY $ FRED $ WIN $ USLV $ WIN $ CHL $ NTET $ ACIA $ K $ DCIX $ EPIX $ CIE $ BWLD $ BAA $ AGQ $ TNTR https:// marketchameleon.com/Reports/Equity 52WeekHighsAndLows …";;;;"882612295750254592";https://twitter.com/ITRADEVOL/status/882612295750254592
DailyStockPlays;2017-07-05 10:42;0;0;"$ CHL Oversold http://www. dailystockplays.com/CHL-Stock-Pric e-Quote-After-Hours-Premarket-Trading.html …";;;;"882610527779917825";https://twitter.com/DailyStockPlays/status/882610527779917825
RatingsNetwork;2017-07-05 10:13;0;0;"China Mobile (Hong Kong) downgraded by Morgan Stanley to underweight. http:// ift.tt/2tLVcVp $ CHL #CHL";;;#CHL;"882603341783629824";https://twitter.com/RatingsNetwork/status/882603341783629824
tickerws;2017-07-05 09:51;0;0;"$ CHU -7.17%, $ CHL -2.10%";;;;"882597826076823556";https://twitter.com/tickerws/status/882597826076823556
tickerws;2017-07-05 09:50;0;0;"Morgan Stanley downgraded $ CHL from Overweight to Underweight. http:// bit.ly/2uJPmRN";;;;"882597540381806592";https://twitter.com/tickerws/status/882597540381806592
LargeVoidBot;2017-07-05 09:46;0;0;"09:46 New 52wk Lows: $ CHL $ RAD";;;;"882596521878839296";https://twitter.com/LargeVoidBot/status/882596521878839296
AnalystWire;2017-07-05 09:38;0;1;"Morgan Stanley Double Downgrades China Mobile $ CHL to Underweight http:// streetinsider.com/r/13069521";;;;"882594486135685120";https://twitter.com/AnalystWire/status/882594486135685120
StockTradePicks;2017-07-05 09:13;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ NKE $ FEYE $ GTATQ $ NUAN $ CHL $ STWD $ TZA $ CM $ FUEL $ PHK";;;;"882588202858536961";https://twitter.com/StockTradePicks/status/882588202858536961
Super1NYC;2017-07-05 08:13;2;4;"#Premarket Top % Decliners: $ SPEX -14%, $ PZC -6%, $ BAA $ AMZA $ GUSH $ CHFS $ USLV $ CYRN $ FTI $ UWT $ CHK $ STO $ LYG $ CHL $ SLV $ TNA $ UGAZ $ UVXY";;;#Premarket;"882573215817773057";https://twitter.com/Super1NYC/status/882573215817773057
rangab1;2017-07-04 15:54;0;0;"$ ISSC What do you think about it? #InvestorsHangout $ HKXCF $ DSKX $ AVPFF $ CHIF $ CHL http:// dlvr.it/PSCh1L";;;#InvestorsHangout;"882326665795219456";https://twitter.com/rangab1/status/882326665795219456
finboxio;2017-07-03 17:00;0;0;"China Mobile $ CHL ROIC of 7% and dividend yield of 3.3% :) http:// ow.ly/Xt6630d7rnf pic.twitter.com/ebVwhwcbmr";;;;"881980972811644928";https://twitter.com/finboxio/status/881980972811644928
Trade_Alertinto;2017-07-03 13:05;0;1;"http:// goo.gl/FnVl3R <- the number one reason you will fail or succeed as a trader $ MAR $ FTNT $ WBMD $ EFA $ VTI $ ACAD $ CHL $ FMI";;;;"881921811855757312";https://twitter.com/Trade_Alertinto/status/881921811855757312
dakotafinancial;2017-07-03 11:45;0;0;"Somewhat Positive News Coverage Somewhat Likely to Affect China Mobile $ Hong Kong $ CHL Stock Price http:// ift.tt/2tElrgA";;;;"881901773618913280";https://twitter.com/dakotafinancial/status/881901773618913280
SleekMoneycom;2017-07-03 11:12;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Rating Increased to Buy at Zacks Investment Research http:// ift.tt/2sFcWNY";;;;"881893476442542080";https://twitter.com/SleekMoneycom/status/881893476442542080
StockTradePicks;2017-07-03 09:13;0;0;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ NKE $ FEYE $ GTATQ $ NUAN $ CHL $ STWD $ TZA $ CM $ FUEL $ PHK";;;;"881863452729368576";https://twitter.com/StockTradePicks/status/881863452729368576
GameInvestment;2017-07-03 00:06;2;2;"The 3 Best Dividend Stocks in China @themotleyfool #stocks $ NTES , $ CHL , $ LNVGY , $ ATVI https://www. fool.com/investing/2017 /07/02/the-3-best-dividend-stocks-in-china.aspx …";;@themotleyfool;#stocks;"881725811241267200";https://twitter.com/GameInvestment/status/881725811241267200
Stock_Huntress;2017-07-02 22:30;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"881701701408890881";https://twitter.com/Stock_Huntress/status/881701701408890881
2kHedgeFund;2017-07-02 18:12;0;0;"I think $ CVR $ CHL and $ INTC are fairly priced right now and good long term adds. Also $ SKT is a potential bargain I believe";;;;"881636669954416642";https://twitter.com/2kHedgeFund/status/881636669954416642
StockTradePicks;2017-07-02 15:13;0;1;"MUST READ: Undervalued microcap about to run: http:// nasdaqnewsreports.blogspot.com/2017/07/dpw-un dervalued-nyse-listed-microcap.html … $ NKE $ FEYE $ GTATQ $ NUAN $ CHL $ STWD $ TZA $ CM $ FUEL $ PHK";;;;"881591737977896960";https://twitter.com/StockTradePicks/status/881591737977896960
TMFSunLion;2017-07-02 12:46;0;0;"The 3 Best Dividend Stocks in #China @themotleyfool #stocks $ NTES , $ CHL , $ LNVGY , $ ATVI https://www. fool.com/investing/2017 /07/02/the-3-best-dividend-stocks-in-china.aspx?source=iaasitlnk0000003 …";;@themotleyfool;#China #stocks;"881554642332639232";https://twitter.com/TMFSunLion/status/881554642332639232
ProTradersNews;2017-07-02 07:47;0;0;"$ CHL $ LNVGY $ NTES : The 3 Best Dividend Stocks in China: http://www. StockNewsWires.com/chl-lnvgy-ntes -the-3-best-dividend-stocks-in-china/ …";;;;"881479328109744133";https://twitter.com/ProTradersNews/status/881479328109744133
RatingsNetwork;2017-06-30 11:15;0;0;"Want the latest upgrades & downgrades for $ CHL $ MAS $ FPI $ BRKL $ ENDP ? Checkout MarketBeat Daily http:// bit.ly/arndailyw";;;;"880807090012508161";https://twitter.com/RatingsNetwork/status/880807090012508161
emq_news;2017-06-30 08:38;0;0;"China Mobile $ Hong Kong $ CHL Earning Somewhat Positive News Coverage, Study Finds http:// ift.tt/2trB0bS";;;;"880767570109968386";https://twitter.com/emq_news/status/880767570109968386
WKRBNews;2017-06-30 07:21;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Shares Sold by BlueCrest Capital Management Ltd http:// ift.tt/2ur1k2m";;;;"880748082861924352";https://twitter.com/WKRBNews/status/880748082861924352
WatchlistN;2017-06-30 05:41;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Upgraded at Zacks Investment Research http:// ift.tt/2uqB8VT";;;;"880722898612301824";https://twitter.com/WatchlistN/status/880722898612301824
AdaptToReality;2017-06-29 13:19;0;0;"#InterestingWeakness $ GE $ T $ PG $ PFE $ CHL #ChinaMobile $ KEP $ AZO $ ORLY $ EGPT #Egypt $ EPHE #Philippines";;;#InterestingWeakness #ChinaMobile #Egypt #Philippines;"880475731985403904";https://twitter.com/AdaptToReality/status/880475731985403904
CandleJr;2017-06-29 12:04;0;0;"long $ CHL 52.80 pic.twitter.com/yNpCkhPspJ";;;;"880457069286924288";https://twitter.com/CandleJr/status/880457069286924288
emq_news;2017-06-29 10:21;0;0;"Credit Suisse AG Raises Position in China Mobile $ Hong Kong Ltd. $ CHL http:// ift.tt/2u2aX8q";;;;"880431036487933953";https://twitter.com/emq_news/status/880431036487933953
Trade_Alertinto;2017-06-29 10:04;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"880426710293925889";https://twitter.com/Trade_Alertinto/status/880426710293925889
ZolmaxNews;2017-06-29 06:58;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Rating Increased to Buy at Zacks Investment Research http:// ift.tt/2spzd2r";;;;"880379956659879936";https://twitter.com/ZolmaxNews/status/880379956659879936
Stock_Huntress;2017-06-28 19:30;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"880206895725723649";https://twitter.com/Stock_Huntress/status/880206895725723649
midetimes;2017-06-28 14:09;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Upgraded to “Buy” by Zacks Investment Research http:// ift.tt/2tpFAYh";;;;"880126022913581056";https://twitter.com/midetimes/status/880126022913581056
chaffeybreeze;2017-06-28 11:29;0;0;"Morgan Stanley Increases Stake in China Mobile $ Hong Kong Ltd. $ CHL http:// ift.tt/2shuq7L";;;;"880085703048273920";https://twitter.com/chaffeybreeze/status/880085703048273920
IRAMarketReport;2017-06-28 11:26;0;0;"Morgan Stanley Increases Stake in China Mobile $ Hong Kong Ltd. $ CHL http:// ift.tt/2shuq7L";;;;"880084975780896768";https://twitter.com/IRAMarketReport/status/880084975780896768
ZolmaxNews;2017-06-28 08:35;0;0;"Morgan Stanley Increases Stake in China Mobile $ Hong Kong Ltd. $ CHL http:// ift.tt/2shev9S";;;;"880041953215295488";https://twitter.com/ZolmaxNews/status/880041953215295488
pennyomegaCRWE;2017-06-28 07:49;0;0;"ZTE, $ CHL showcase 5G eMBB scenario in live 5G field test http:// crweworld.com/newsroom/prnew swire?rkey=20170627CN28435&filter=10284 …";;;;"880030298980761600";https://twitter.com/pennyomegaCRWE/status/880030298980761600
intercooleronli;2017-06-27 21:04;0;0;"Zacks Investment Research Upgrades China Mobile $ Hong Kong Ltd. $ CHL to “Buy” http:// ift.tt/2sOILaA";;;;"879868084596748294";https://twitter.com/intercooleronli/status/879868084596748294
WKRBNews;2017-06-27 20:43;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Upgraded to “Buy” at Zacks Investment Research http:// ift.tt/2tVyvvO";;;;"879862726331432960";https://twitter.com/WKRBNews/status/879862726331432960
SPNewsAnalysis;2017-06-27 20:39;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Upgraded to “Buy” at Zacks Investment Research http:// ift.tt/2tVIRvD";;;;"879861872278872064";https://twitter.com/SPNewsAnalysis/status/879861872278872064
WKRBNews;2017-06-27 20:37;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Upgraded to “Buy” at Zacks Investment Research http:// ift.tt/2ug6kHj";;;;"879861233486368768";https://twitter.com/WKRBNews/status/879861233486368768
RatingsNetwork;2017-06-27 20:37;0;0;"China Mobile (Hong Kong) upgraded by Zacks Investment Research to buy. $60.00 PT. http:// ift.tt/2sZgoFe $ CHL #CHL";;;#CHL;"879861227140329473";https://twitter.com/RatingsNetwork/status/879861227140329473
storminvestor;2017-06-27 20:36;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Upgraded to “Buy” at Zacks Investment Research http:// ift.tt/2sOSVbm";;;;"879860973707956224";https://twitter.com/storminvestor/status/879860973707956224
finboxio;2017-06-26 13:45;0;0;"NTT DOCOMO, Inc $ DCM P/E multiple of 14.7x looks attractive vs peers: $ SKM $ CHL $ S $ CEL $ CHU http:// ow.ly/SCO230cOoio pic.twitter.com/VAtaCDaRur";;;;"879395126090530817";https://twitter.com/finboxio/status/879395126090530817
WKRBNews;2017-06-26 12:40;0;0;"Causeway Capital Management LLC Has $73.60 Million Position in China Mobile $ Hong Kong Ltd. $ CHL http:// ift.tt/2td57nb";;;;"879378825339076609";https://twitter.com/WKRBNews/status/879378825339076609
WKRBNews;2017-06-26 12:38;0;0;"Causeway Capital Management LLC Has $73.60 Million Position in China Mobile $ Hong Kong Ltd. $ CHL http:// ift.tt/2tNs4uq";;;;"879378407888490498";https://twitter.com/WKRBNews/status/879378407888490498
SPNewsAnalysis;2017-06-26 12:04;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Position Reduced by Granahan Investment Management Inc. MA http:// ift.tt/2u8YAGN";;;;"879369768482082817";https://twitter.com/SPNewsAnalysis/status/879369768482082817
emq_news;2017-06-26 10:05;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Position Reduced by Granahan Investment Management Inc. MA http:// ift.tt/2rTzQSk";;;;"879339786787586049";https://twitter.com/emq_news/status/879339786787586049
Trade_Alertinto;2017-06-26 07:04;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"879294184796049412";https://twitter.com/Trade_Alertinto/status/879294184796049412
Trade_Alertinto;2017-06-26 02:06;0;0;"http:// goo.gl/FnVl3R <- the number one reason you will fail or succeed as a trader $ MAR $ FTNT $ WBMD $ EFA $ VTI $ ACAD $ CHL $ FMI";;;;"879219190082686978";https://twitter.com/Trade_Alertinto/status/879219190082686978
barronsasia;2017-06-25 22:08;0;1;"Rock Creek’s Winning Bet on Hedge Funds, Emerging Markets http:// on.barrons.com/2tKGlIq $ TAL $ EDU $ CHL";;;;"879159406700761090";https://twitter.com/barronsasia/status/879159406700761090
dividendsamura1;2017-06-25 19:43;0;0;"中国最大というか世界最大の携帯キャリアのChina Mobile (ADR : $ CHL ) 。鉄壁の財務なのであるが、株主還元の意欲があまりない。配当利回りは3.3％、配当は年二回。ここがNTTのようにEPS経営に舵を取り、増配企業になったら大幅増配が期待できるのだが。";;;;"879122845917364224";https://twitter.com/dividendsamura1/status/879122845917364224
Stock_Huntress;2017-06-25 06:20;0;1;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"878920861708730368";https://twitter.com/Stock_Huntress/status/878920861708730368
dailypoliticaln;2017-06-25 05:02;0;0;"China Mobile $ Hong Kong Ltd. $ CHL Shares Sold by Bank of New York Mellon Corp http:// ift.tt/2sEx2LD";;;;"878901140980740096";https://twitter.com/dailypoliticaln/status/878901140980740096
Stock_Huntress;2017-06-24 00:22;0;0;"http:// goo.gl/BxbMCJ <- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $ BRZU $ CHL $ FISV $ VNQ $ CRMD #stocks";;@Timothysykes;#stocks;"878468251553943552";https://twitter.com/Stock_Huntress/status/878468251553943552
storminvestor;2017-06-23 17:04;0;0;"9,020 Shares in China Mobile $ Hong Kong Ltd. $ CHL Acquired by Summit Global Investments http:// ift.tt/2tXW7PA";;;;"878358107553968128";https://twitter.com/storminvestor/status/878358107553968128
WKRBNews;2017-06-23 17:00;0;0;"9,020 Shares in China Mobile $ Hong Kong Ltd. $ CHL Acquired by Summit Global Investments http:// ift.tt/2szPCo2";;;;"878357145028317184";https://twitter.com/WKRBNews/status/878357145028317184
WKRBNews;2017-06-23 16:59;0;0;"9,020 Shares in China Mobile $ Hong Kong Ltd. $ CHL Acquired by Summit Global Investments http:// ift.tt/2t4ql6Z";;;;"878356897618776064";https://twitter.com/WKRBNews/status/878356897618776064
