username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SM1llionaires;2017-07-08 00:14;0;0;"http:// bit.ly/2f3Vpcf << The best most authentic stock trading service reviews anywhere!! $ FLXN $ OSUR $ ELGX $ CHTR $ VZ";;;;"883539710202699777";https://twitter.com/SM1llionaires/status/883539710202699777
MaglanCapital;2017-07-07 19:24;4;15;"$ GSAT #GlobalStar Sum of Parts Valuation $10++ Buyers #FANG $ FB $ AMZN $ NFLX $ GOOG $ AAPL $ MSFT $ T $ VZ $ S $ TMUS $ CHTR $ CMCSA #SpectrumIsKing pic.twitter.com/PZxxufkLdS";;;#GlobalStar #FANG #SpectrumIsKing;"883466748623716352";https://twitter.com/MaglanCapital/status/883466748623716352
IRAMarketReport;2017-07-07 11:37;0;0;"Ibex Wealth Advisors Raises Position in Charter Communications, Inc. $ CHTR http:// ift.tt/2tyf5x2";;;;"883349360918097920";https://twitter.com/IRAMarketReport/status/883349360918097920
chaffeybreeze;2017-07-07 11:34;0;0;"Ibex Wealth Advisors Raises Position in Charter Communications, Inc. $ CHTR http:// ift.tt/2tyf5x2";;;;"883348547734827009";https://twitter.com/chaffeybreeze/status/883348547734827009
Stocks_Live;2017-07-07 11:13;1;1;"Warren Buffett via @Stocks_Live #stocks #stockmarket $ KHC $ WFC $ AAPL $ KO $ AXP $ IBM $ PSX $ USB $ CHTR $ MCO $ DVA $ LUV $ GS $ DAL $ AAL $ UAL $ GM pic.twitter.com/cxzyFLvmMj";;@Stocks_Live;#stocks #stockmarket;"883343105872744448";https://twitter.com/Stocks_Live/status/883343105872744448
George323818;2017-07-07 09:44;1;5;"$ EMSF Integrated Ventures Signs A Distribution Agreement To Market $ OTTV VivaLive TV Products & Services $ NFLX $ CHTR https://www. yahoo.com/amphtml/financ e/news/integrated-ventures-signs-distribution-agreement-131500619.html …";;;;"883320708490641408";https://twitter.com/George323818/status/883320708490641408
midetimes;2017-07-07 09:41;0;0;"Tower Research Capital LLC TRC Sells 2,379 Shares of Charter Communications, Inc. $ CHTR http:// ift.tt/2tUaMhS";;;;"883320128347230208";https://twitter.com/midetimes/status/883320128347230208
SleekMoneycom;2017-07-07 09:41;0;0;"Ibex Wealth Advisors Raises Position in Charter Communications, Inc. $ CHTR http:// ift.tt/2tp3BOd";;;;"883320013599510528";https://twitter.com/SleekMoneycom/status/883320013599510528
dailypoliticaln;2017-07-07 09:36;0;0;"Achmea Investment Management B.V. Buys New Position in Charter Communications, Inc. $ CHTR http:// ift.tt/2sONniJ";;;;"883318909511888896";https://twitter.com/dailypoliticaln/status/883318909511888896
dailypoliticaln;2017-07-07 09:36;0;0;"Bristlecone Advisors LLC Has $260,000 Stake in Charter Communications, Inc. $ CHTR http:// ift.tt/2sOqdZM";;;;"883318900573777920";https://twitter.com/dailypoliticaln/status/883318900573777920
SleekMoneycom;2017-07-07 09:06;0;0;"Bank of Nova Scotia Has $96.89 Million Position in Charter Communications, Inc. $ CHTR http:// ift.tt/2uybcbL";;;;"883311338235342849";https://twitter.com/SleekMoneycom/status/883311338235342849
FinInvTr;2017-07-07 05:51;0;0;"Here's Why You Should Hold Frontier Communications ($FTR) Now + $ CHTR $ NOK $ T http:// buff.ly/2uweXhS pic.twitter.com/NtWFcV4W1t";;;;"883262069386215424";https://twitter.com/FinInvTr/status/883262069386215424
WKRBNews;2017-07-06 22:45;0;0;"Analysts Set Charter Communications, Inc. $ CHTR Price Target at $334.78 http:// ift.tt/2sSXRZq";;;;"883154961202327553";https://twitter.com/WKRBNews/status/883154961202327553
storminvestor;2017-07-06 22:42;0;0;"Analysts Set Charter Communications, Inc. $ CHTR Price Target at $334.78 http:// ift.tt/2sMI5nT";;;;"883154167677714432";https://twitter.com/storminvestor/status/883154167677714432
WKRBNews;2017-07-06 22:41;0;0;"Analysts Set Charter Communications, Inc. $ CHTR Price Target at $334.78 http:// ift.tt/2tXASBD";;;;"883153888437731328";https://twitter.com/WKRBNews/status/883153888437731328
SPNewsAnalysis;2017-07-06 22:39;0;0;"Analysts Set Charter Communications, Inc. $ CHTR Price Target at $334.78 http:// ift.tt/2uwk3ui";;;;"883153379794587648";https://twitter.com/SPNewsAnalysis/status/883153379794587648
StockWebTrading;2017-07-06 21:48;0;0;"$ AVGO $ CHTR $ CTRX $ CSCO long and short #stocks from #NASDAQ , up to 1900% in cumulative profits since 2010. http://www. qqqtradingtips.com $ QQQ $ SPY pic.twitter.com/g7wqTuSOeU";;;#stocks #NASDAQ;"883140603009282048";https://twitter.com/StockWebTrading/status/883140603009282048
TickerReport;2017-07-06 21:22;0;0;"Charter Communications, Inc. $ CHTR Bonds Trading 1.3% Lower http:// ift.tt/2tn6Rtb";;;;"883134002856677377";https://twitter.com/TickerReport/status/883134002856677377
FinInvTr;2017-07-06 21:19;0;1;"Here's Why You Should Hold Frontier Communications ( $ FTR ) Now + $ CHTR $ NOK $ T http:// buff.ly/2tOzfpi";;;;"883133370070380546";https://twitter.com/FinInvTr/status/883133370070380546
emq_news;2017-07-06 21:14;0;0;"Charter Communications, Inc. $ CHTR Bonds Trading 1.3% Lower http:// ift.tt/2tn6Rtb";;;;"883132049917399041";https://twitter.com/emq_news/status/883132049917399041
TickerReport;2017-07-06 21:07;0;0;"Charter Communications, Inc. $ CHTR Bonds Trading 1.3% Lower http:// ift.tt/2sLQ7xh";;;;"883130429473259524";https://twitter.com/TickerReport/status/883130429473259524
