username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FinInvTr;2017-07-07 23:09;0;0;"Chase Coleman's Top Stock Holdings $ APO $ TDG $ BABA $ CMCSA $ MA $ V http:// buff.ly/2tqQPOZ";;;;"883523284872179712";https://twitter.com/FinInvTr/status/883523284872179712
DDRANTE;2017-07-07 19:33;1;2;"@cnn @cnbc @nytimes @Reuters $ OTTV Anywhere & Anytime #VivaLiveTV $ NFLX $ TWC $ CMCSA #HULU #COX #Fios #DirectTv #Dish #Charter #ATT #CableTV https:// twitter.com/vivaentgroup/s tatus/848297164304527364 …";;@cnn @cnbc @nytimes @Reuters;#VivaLiveTV #HULU #COX #Fios #DirectTv #Dish #Charter #ATT #CableTV;"883469159446622208";https://twitter.com/DDRANTE/status/883469159446622208
MaglanCapital;2017-07-07 19:24;4;15;"$ GSAT #GlobalStar Sum of Parts Valuation $10++ Buyers #FANG $ FB $ AMZN $ NFLX $ GOOG $ AAPL $ MSFT $ T $ VZ $ S $ TMUS $ CHTR $ CMCSA #SpectrumIsKing pic.twitter.com/PZxxufkLdS";;;#GlobalStar #FANG #SpectrumIsKing;"883466748623716352";https://twitter.com/MaglanCapital/status/883466748623716352
AlpacaAlerts;2017-07-07 19:01;0;0;"$ CMCSA is in Stochastic Oversold winning 68.75% in the past. https:// goo.gl/XqSRDw";;;;"883460872965935104";https://twitter.com/AlpacaAlerts/status/883460872965935104
FinInvTr;2017-07-07 18:25;0;0;"Chase Coleman's Top Stock Holdings $ APO $ TDG $ BABA $ CMCSA $ MA $ V http:// buff.ly/2tTEaWh";;;;"883451823243354112";https://twitter.com/FinInvTr/status/883451823243354112
9Joe9;2017-07-07 17:13;0;0;". @chucktodd says having only @POTUS Trump & Sec Tillerson in the meeting with Russia, "raises suspicion" | Of what, Chuck? $ CMCSA";;@chucktodd @POTUS;;"883433849295974401";https://twitter.com/9Joe9/status/883433849295974401
MITickWatcher;2017-07-07 16:05;0;0;"Top #moneyflow for #nasdaq today $ VRSN $ INTC $ GOOG $ CSCO $ AMZN $ NVDA $ CTSH $ CMCSA $ BIDU $ WFM ... https:// appsto.re/i6hH3LG";;;#moneyflow #nasdaq;"883416588648579073";https://twitter.com/MITickWatcher/status/883416588648579073
newswithvalue;2017-07-07 15:13;0;0;"$ DIS $ CMCSA : Pandora May Not Save Disney World This Year: http://www. StockNewsWires.com/dis-cmcsa-pand ora-may-not-save-disney-world-this-year/ …";;;;"883403538176524288";https://twitter.com/newswithvalue/status/883403538176524288
EZProbTrade;2017-07-07 13:43;0;0;"BTC $ CMCSA 7 Jul 17 38.50P 0.04d";;;;"883380902608248832";https://twitter.com/EZProbTrade/status/883380902608248832
SPNewsAnalysis;2017-07-07 13:07;0;0;"Fund Evaluation Group LLC Raises Stake in Comcast Corporation $ CMCSA http:// ift.tt/2tQXWBe";;;;"883371974822682625";https://twitter.com/SPNewsAnalysis/status/883371974822682625
Ro_Patel;2017-07-07 13:04;0;0;"WSJ: $ NLSN allowing TV networks to hide poor ratings for shows on certain days by purposely misspelling show names - $ DIS $ CBS $ CMCSA $ FOXA";;;;"883371242560118784";https://twitter.com/Ro_Patel/status/883371242560118784
SM1llionaires;2017-07-07 12:16;0;0;"http:// bit.ly/2frEEeZ Keep up with this top stock trading blog for trade ideas and reviews! $ CMCSA $ SHLD $ AGN $ DB $ SBBP";;;;"883359029921173504";https://twitter.com/SM1llionaires/status/883359029921173504
SweetPlatform;2017-07-07 12:06;0;0;"CMCSA Top news - Jul 7th, 2017 $ CMCSA http:// https:// goo.gl/RxAtJi";;;;"883356539096006656";https://twitter.com/SweetPlatform/status/883356539096006656
DozenStocks;2017-07-07 11:51;0;0;"Nasdaq100 #Stocks Trend $ MXIM $ ADI $ LRCX $ AMAT $ NFLX $ VRTX $ MSFT $ LBTYA $ MU $ EA $ STX $ PCLN $ INTC $ FOXA $ CMCSA @http:// 12Stocks.com/QQQQ";;@http;#Stocks;"883352817011875842";https://twitter.com/DozenStocks/status/883352817011875842
DozenStocks;2017-07-07 11:51;0;0;"S&P100 #Stocks Trend $ GD $ MSFT $ CAT $ FDX $ PCLN $ INTC $ UPS $ FOXA $ MRK $ CMCSA $ HAL $ DOW $ DD $ T $ EMR $ USB $ ALL @http:// 12Stocks.com/sp100";;@http;#Stocks;"883352684039872512";https://twitter.com/DozenStocks/status/883352684039872512
JorelLaraKalel;2017-07-07 11:50;0;0;"Can 'Spider-Man: Homecoming' Revive Sony's Key Franchise and Save Summer? $ SNE $ DIS http:// bit.ly/2tQNKsR $ CMCSA $ TWX $ VIAB $ FOXA";;;;"883352469522329601";https://twitter.com/JorelLaraKalel/status/883352469522329601
