username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dailypoliticaln;2017-07-07 12:56;0;0;"Curbstone Financial Management Corp Has $259,000 Position in Canadian National Railway Company $ CNI http:// ift.tt/2sOFKsh";;;;"883369254652973056";https://twitter.com/dailypoliticaln/status/883369254652973056
storminvestor;2017-07-07 11:13;0;0;"Glenmede Trust Co. NA Has $743,000 Stake in Canadian National Railway Company $ CNI http:// ift.tt/2sUY0eP";;;;"883343163292889088";https://twitter.com/storminvestor/status/883343163292889088
SPNewsAnalysis;2017-07-07 11:08;0;0;"Glenmede Trust Co. NA Has $743,000 Stake in Canadian National Railway Company $ CNI http:// ift.tt/2sxkumU";;;;"883342033456431104";https://twitter.com/SPNewsAnalysis/status/883342033456431104
SAlphaTrending;2017-07-07 10:00;0;0;"Class I Rail Traffic Midyear 2017 Update - It's Time To Shift Focus On Pricing https:// seekingalpha.com/article/408625 4-class-rail-traffic-midyear-2017-update-time-shift-focus-pricing?source=feed_t … $ BRK.B $ CNI $ CP $ CSX $ KSU $ NSC $ SPY";;;;"883324731675389957";https://twitter.com/SAlphaTrending/status/883324731675389957
WKRBNews;2017-07-07 08:50;0;0;"Glenmede Trust Co. NA Has $743,000 Stake in Canadian National Railway Company $ CNI http:// ift.tt/2toUGwa";;;;"883307270829989888";https://twitter.com/WKRBNews/status/883307270829989888
WKRBNews;2017-07-07 08:46;0;0;"Glenmede Trust Co. NA Has $743,000 Stake in Canadian National Railway Company $ CNI http:// ift.tt/2toFor6";;;;"883306325622628355";https://twitter.com/WKRBNews/status/883306325622628355
SEEKINGALPHA_FS;2017-07-07 08:25;0;0;"Class I Rail Traffic Midyear 2017 Update - It's Time To Shift Focus On Pricing https:// seekingalpha.com/article/408625 4-class-rail-traffic-midyear-2017-update-time-shift-focus-pricing?source=twitter_sa_factset … $ BRK.B $ CNI $ CP $ CSX $ KSU $ NSC $ SPY";;;;"883300994112569347";https://twitter.com/SEEKINGALPHA_FS/status/883300994112569347
SeekingAlpha;2017-07-07 08:25;0;0;"Class I Rail Traffic Midyear 2017 Update - It's Time To Shift Focus On Pricing https:// seekingalpha.com/article/408625 4-class-rail-traffic-midyear-2017-update-time-shift-focus-pricing?source=feed_f … $ BRK.B $ CNI $ CP $ CSX $ KSU $ NSC $ SPY";;;;"883300991692488705";https://twitter.com/SeekingAlpha/status/883300991692488705
SleekMoneycom;2017-07-06 15:06;0;0;"Positive News Coverage Unlikely to Affect Canadian National Railway Company $ CNI Share Price http:// ift.tt/2tNofbJ";;;;"883039526075203586";https://twitter.com/SleekMoneycom/status/883039526075203586
pelias01;2017-07-06 10:53;0;0;"20 Canadian Stocks To Build A High-Quality Portfolio https:// seekingalpha.com/article/408544 6-20-canadian-stocks-build-high-quality-portfolio?source=tweet … $ ABX $ AGU $ ANCUF $ BAM $ BCE $ BIP $ BPY $ CNI $ CNSWF $ CP $ ENB";;;;"882975729314652160";https://twitter.com/pelias01/status/882975729314652160
pelias01;2017-07-06 06:17;0;0;"How To Explain The Stock Market To Kids https:// seekingalpha.com/article/408512 9-explain-stock-market-kids?source=tweet … $ AAPL $ AMZN $ AOBC $ AWK $ BA $ BBL $ BGS $ CAFD $ CAG $ CMRE $ CNI $ EVA $ FB $ FCX";;;;"882906318947930112";https://twitter.com/pelias01/status/882906318947930112
dailypoliticaln;2017-07-05 18:24;0;0;"Indiana Trust & Investment Management CO Cuts Position in Canadian National Railway Company $ CNI http:// ift.tt/2tJS24R";;;;"882726833896263680";https://twitter.com/dailypoliticaln/status/882726833896263680
