username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dreamasmith2836;2017-07-08 03:16;0;0;"$ NGCG IT'S GO TIME local and national retail chains ~ … $ TILE $ NXPI $ KO $ PEP $ MWW $ COST";;;;"883585504872214528";https://twitter.com/dreamasmith2836/status/883585504872214528
WKRBNews;2017-07-08 02:52;0;0;"Stock Traders Buy High Volume of Call Options on Costco Wholesale Corporation $ COST http:// ift.tt/2u2AscS";;;;"883579417854922752";https://twitter.com/WKRBNews/status/883579417854922752
WKRBNews;2017-07-08 02:35;0;0;"Stock Traders Buy High Volume of Call Options on Costco Wholesale Corporation $ COST http:// ift.tt/2uBapH7";;;;"883575186427195392";https://twitter.com/WKRBNews/status/883575186427195392
ZolmaxNews;2017-07-08 02:11;0;0;"Investors Buy High Volume of Costco Wholesale Corporation Call Options $ COST http:// ift.tt/2sA06Bq";;;;"883569245812137986";https://twitter.com/ZolmaxNews/status/883569245812137986
optionalarmchat;2017-07-07 23:50;0;0;"REAL TIME TRADE ALERTS via PRIVATE $ TWTR FEED, perfect for people who have FT jobs and trade part-time! $ AMZN $ COST $ GOOGL $ GS";;;;"883533615585538048";https://twitter.com/optionalarmchat/status/883533615585538048
SPNewsAnalysis;2017-07-07 22:17;0;0;"Costco Wholesale Corporation $ COST Receives “Hold” Rating from Sanford C. Bernstein http:// ift.tt/2uAlSqn";;;;"883510377627230208";https://twitter.com/SPNewsAnalysis/status/883510377627230208
storminvestor;2017-07-07 22:17;0;0;"Costco Wholesale Corporation $ COST Receives “Hold” Rating from Sanford C. Bernstein http:// ift.tt/2u1Xv7X";;;;"883510298732310532";https://twitter.com/storminvestor/status/883510298732310532
dakotafinancial;2017-07-07 21:36;0;0;"Costco Wholesale Corporation’s $ COST “Neutral” Rating Reaffirmed at Guggenheim http:// ift.tt/2sWNyn1";;;;"883499989607043072";https://twitter.com/dakotafinancial/status/883499989607043072
livetradepro;2017-07-07 21:33;0;1;"$ COST It's still my most favorite place to shop, just not my favorite stock at this point :) No position. #livetradepro";;;#livetradepro;"883499163899580417";https://twitter.com/livetradepro/status/883499163899580417
bohemianww;2017-07-07 21:16;0;0;"Ok, but can we also include a Summary of Legal $ Fees paid by #Harper Cons...? They were LOUSY at litigation, and had ZERO concern for $ COST . https:// twitter.com/RobSilver/stat us/883471094782603264 …";;;#Harper;"883494991162732544";https://twitter.com/bohemianww/status/883494991162732544
