username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dailypoliticaln;2017-07-08 02:06;0;0;"Stock Traders Buy High Volume of CSX Corporation Put Options $ CSX http:// ift.tt/2uVdMrF";;;;"883567876904505344";https://twitter.com/dailypoliticaln/status/883567876904505344
intercooleronli;2017-07-07 23:51;0;0;"CSX Corporation Announces Quarterly Dividend of $0.20 $ CSX http:// ift.tt/2sQuyLX";;;;"883533881789624324";https://twitter.com/intercooleronli/status/883533881789624324
MoneyDividend;2017-07-07 20:00;0;0;"$ CSX Dividend of $0.20 announced - CSX Corporation Stock Dividend http:// moneydividend.com/csx-dividend-o f-0-20-announced-csx-corporation-stock-dividend/ … @Quickest_Rts @HyperRTs @Relay_RTs";;@Quickest_Rts @HyperRTs @Relay_RTs;;"883475886749646848";https://twitter.com/MoneyDividend/status/883475886749646848
DonaldTrader1;2017-07-07 18:38;0;0;"http:// bit.ly/1VvJJhE Signup with JasonBondPicks Free Trial stock alerts (I’m a happy subscriber!) $ MKTO $ JOY $ CSX $ BBG";;;;"883455163406532609";https://twitter.com/DonaldTrader1/status/883455163406532609
TheMarketsDaily;2017-07-07 17:52;0;0;"CSX Corporation $ CSX Upgraded to Strong-Buy by BidaskClub http:// zpr.io/PdQkP";;;;"883443640101679104";https://twitter.com/TheMarketsDaily/status/883443640101679104
sitifatimahnet;2017-07-07 16:07;0;0;"CSX declares $0.20 dividend https:// seekingalpha.com/news/3277547-c sx-declares-0_20-dividend?source=feed_f … $ CSX #sitifatimah #malaysia #financialplanning";;;#sitifatimah #malaysia #financialplanning;"883417201272922112";https://twitter.com/sitifatimahnet/status/883417201272922112
SEEKINGALPHA_FS;2017-07-07 16:02;0;0;"CSX declares $0.20 dividend https:// seekingalpha.com/news/3277547-c sx-declares-0_20-dividend?source=twitter_sa_factset … $ CSX";;;;"883416040700428288";https://twitter.com/SEEKINGALPHA_FS/status/883416040700428288
MarketCurrents;2017-07-07 16:02;0;0;"CSX declares $0.20 dividend https:// seekingalpha.com/news/3277547-c sx-declares-0_20-dividend?source=feed_f … $ CSX";;;;"883416039416934400";https://twitter.com/MarketCurrents/status/883416039416934400
GNWLive;2017-07-07 16:00;0;0;"CSX Corporation Declares Quarterly Dividend $ CSX http:// bit.ly/2tyYWYo";;;;"883415506484699138";https://twitter.com/GNWLive/status/883415506484699138
Couzin_Vinny;2017-07-07 15:46;0;1;"$ IYT weekly - one word #fuggetaboutit https:// theclosingprint.com daily looks #awesome $ DAL $ JBHT $ FDX $ CSX #favorites pic.twitter.com/uTAW6aNr2Q";;;#fuggetaboutit #awesome #favorites;"883411950004318209";https://twitter.com/Couzin_Vinny/status/883411950004318209
chaffeybreeze;2017-07-07 15:34;0;0;"CSX Corporation $ CSX Shares Sold by Alliancebernstein L.P. http:// ift.tt/2u0SL2m";;;;"883408830348107776";https://twitter.com/chaffeybreeze/status/883408830348107776
IRAMarketReport;2017-07-07 15:32;0;0;"CSX Corporation $ CSX Shares Sold by Alliancebernstein L.P. http:// ift.tt/2u0SL2m";;;;"883408363773718530";https://twitter.com/IRAMarketReport/status/883408363773718530
WatchlistN;2017-07-07 15:07;0;0;"CSX Corporation $ CSX Upgraded to Strong-Buy by BidaskClub http:// ift.tt/2tqd0oq";;;;"883402014184488963";https://twitter.com/WatchlistN/status/883402014184488963
TPCMG;2017-07-07 14:20;0;0;"$ CSX : 5 open, suited signals indicate continued price increase for about 7 more days. http:// thinkingprofit.com/equity/?s=CSX";;;;"883390355386769408";https://twitter.com/TPCMG/status/883390355386769408
websofttechies;2017-07-07 14:00;0;0;"A bullish Big MAC (Bullish) has occurred at 1:15 PM Jul 07 at $55.10 on CSX Corp (CSX) $ CSX Get Report http://www. websofttec.com /";;;;"883385185932378113";https://twitter.com/websofttechies/status/883385185932378113
TheMarketsDaily;2017-07-07 13:25;0;0;"CSX Corporation $ CSX Shares Sold by InterOcean Capital LLC http:// zpr.io/PdWzE";;;;"883376454603612160";https://twitter.com/TheMarketsDaily/status/883376454603612160
Benzinga;2017-07-07 13:20;2;0;"2 Stocks Up 50% In 2017 That Have Further Room For Upside https:// benzinga.com/z/9752475 $ CSX $ WYNN";;;;"883375058160201728";https://twitter.com/Benzinga/status/883375058160201728
Weeklyoptions;2017-07-07 13:12;0;0;"http:// weeklyoptionplays.com/options/xl-csx -nyse/ … $ XL $ CSX";;;;"883373218324783105";https://twitter.com/Weeklyoptions/status/883373218324783105
ProVesting;2017-07-07 13:11;0;0;"$ CSX : 2 Stocks Up 50% In 2017 That Have Further Room For Upside: http://www. StockNewsWires.com/csx-2-stocks-u p-50-in-2017-that-have-further-room-for-upside/ …";;;;"883372798059569153";https://twitter.com/ProVesting/status/883372798059569153
