username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
moneyandstocks;2017-07-07 19:38;0;0;"http:// bit.ly/2fry3Bj Learn everything you need to know about Microcap Millionaires alerts! $ MBLY $ TWTR $ CTRP $ CDE";;;;"883470242826956801";https://twitter.com/moneyandstocks/status/883470242826956801
Briefingcom;2017-07-07 18:03;1;0;"50 of the most liquid, high #RelativeStrength #stocks for #daytrading #swingtrading $ AAOI $ AMAT $ CTRP $ JD $ LRCX http:// bit.ly/2sifcvj";;;#RelativeStrength #stocks #daytrading #swingtrading;"883446280181219328";https://twitter.com/Briefingcom/status/883446280181219328
MomentumSwings;2017-07-07 14:44;0;0;"http:// smq.tc/1VvJJhE < Jason Bond wants u to try his trading alerts 4 FREE!!! $ PFSW $ FXE $ STMP $ CTRP";;;;"883396284802932737";https://twitter.com/MomentumSwings/status/883396284802932737
WKRBNews;2017-07-07 13:05;0;0;"New Silk Road Investment PTE Ltd. Has $2.27 Million Position in http:// Ctrip.com International, Ltd. $ CTRP http:// ift.tt/2sV9cbr";;;;"883371488275050496";https://twitter.com/WKRBNews/status/883371488275050496
WKRBNews;2017-07-07 13:02;0;0;"New Silk Road Investment PTE Ltd. Has $2.27 Million Position in http:// Ctrip.com International, Ltd. $ CTRP http:// ift.tt/2sy3ZHg";;;;"883370544384573440";https://twitter.com/WKRBNews/status/883370544384573440
pennyomegaCRWE;2017-07-07 11:00;0;0;"Highlights on $ CTRP , $ HLT , $ PK , $ STA http:// crweworld.com/newsroom/prnew swire?rkey=20170707enUK201707077766&filter=10284 …";;;;"883339927773106176";https://twitter.com/pennyomegaCRWE/status/883339927773106176
TradeInTheZone;2017-07-07 10:52;0;0;"China sitting todays tech rally out for most part $ CTRP $ NTES $ MOMO $ SINA $ WB $ JD $ BIDU pic.twitter.com/ixFsWh1M9v";;;;"883337951505260544";https://twitter.com/TradeInTheZone/status/883337951505260544
newswithvalue;2017-07-07 06:14;0;0;"$ CTRP $ HLT : Breakfast Technical Briefing on Lodging Stocks — http:// Ctrip.com , Hilton …: http://www. StockNewsWires.com/ctrp-hlt-break fast-technical-briefing-on-lodging-stocks-ctrip-com-hilton/ …";;;;"883267880531312640";https://twitter.com/newswithvalue/status/883267880531312640
PennystockerPro;2017-07-07 05:02;0;0;"http:// smq.tc/1C0edDC Verified $12,880 profit on $ PLD $ BAA $ ATOS $ NYMX $ CTRP $ AXPW";;;;"883249802888204291";https://twitter.com/PennystockerPro/status/883249802888204291
ZolmaxNews;2017-07-06 21:56;0;0;"http:// Ctrip.com International, Ltd. $ CTRP Receives $55.22 Consensus Price Target from Brokerages http:// ift.tt/2sSLb4H";;;;"883142579218518018";https://twitter.com/ZolmaxNews/status/883142579218518018
chaffeybreeze;2017-07-06 21:54;0;0;"http:// Ctrip.com International, Ltd. $ CTRP Receives $55.22 Consensus Price Target from Brokerages http:// ift.tt/2uwzaUv";;;;"883142079337115649";https://twitter.com/chaffeybreeze/status/883142079337115649
IRAMarketReport;2017-07-06 21:49;0;0;"http:// Ctrip.com International, Ltd. $ CTRP Receives $55.22 Consensus Price Target from Brokerages http:// ift.tt/2uwzaUv";;;;"883140873638334465";https://twitter.com/IRAMarketReport/status/883140873638334465
moneyandstocks;2017-07-06 19:38;0;0;"http:// bit.ly/2fry3Bj Learn everything you need to know about Microcap Millionaires alerts! $ MBLY $ TWTR $ CTRP $ CDE";;;;"883107853833191424";https://twitter.com/moneyandstocks/status/883107853833191424
