username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AMElolzz;2017-07-08 03:10;0;0;"Is $ ELED less than $4k to a 50p% gain? YES. $ VRX $ KR $ CHRO $ BABA $ GOOGL $ CVX $ GE $ XOM $ F $ FRO $ FB $ JNJ $ BP $IBM… https:// twitter.com/i/web/status/8 83340106404438016 …";;;;"883583988580978688";https://twitter.com/AMElolzz/status/883583988580978688
twodtwod;2017-07-08 02:34;1;0;"US sanctions foreign firms on Russia oil/gas. OK. Now stop OUR refiners buying Venezn/PDVSA heavy oil https:// seekingalpha.com/news/3277534-b loomberg-u-s-unlikely-sanction-venezuelan-crude?source=tweet … $ VLO $ PSX $ CVX";;;;"883574982982467584";https://twitter.com/twodtwod/status/883574982982467584
versusstocks;2017-07-08 01:31;0;0;"Customized research for $ BP vs. $ CVX ! http:// speculatingstocks.com/stockcompariso n/versus.php?stock1=5927&stock2=635 …";;;;"883559043737935873";https://twitter.com/versusstocks/status/883559043737935873
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
TickwatcherMF;2017-07-07 21:01;2;0;"Top #money flow today. Free stocks app http://www. mystockstation.com / $ LQD , $ SPY , $ EEM , $ AAPL , $ CVX , $ QQQ , $ TLT , $ GDX , $ HYG , $ JPM , $ DXJ , ... pic.twitter.com/o5xn8k4FWh";;;#money;"883491082700562432";https://twitter.com/TickwatcherMF/status/883491082700562432
ahighelevation;2017-07-07 21:00;1;0;"Chevron Corporation Becomes the Latest Conglomerate to Reconsider the Oil Sands http:// buff.ly/2upLWnT $ CVX pic.twitter.com/8dfx0rkyPW";;;;"883490912726392832";https://twitter.com/ahighelevation/status/883490912726392832
G11Jen;2017-07-07 20:01;1;0;"Aww! wonder how it will effect LNG :) Oil prices plunge 3% signs of oversupplied market persist https:// seekingalpha.com/news/3277491-o il-prices-plunge-3-percent-signs-oversupplied-market-persist?source=tweet … $ XOM $ CVX $ RDS.A $ BP";;;;"883476176374644736";https://twitter.com/G11Jen/status/883476176374644736
TraceyRyniec;2017-07-07 19:50;1;3;"Do you know where the oil insiders are buying? Find out. $ XOM $ CVX $ EOG $ APA $ SM $ SRCI $ WLL $ OXY $ CLR $ PXD https:// soundcloud.com/zacks-investme nt-research/insiders-are-buying-oil-stocks?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …";;;;"883473231780470784";https://twitter.com/TraceyRyniec/status/883473231780470784
goldrush162;2017-07-07 19:35;0;0;"$ CVX See what others are saying! #InvestorsHangout $ PHXHF $ MPJFF $ AAPH $ INOTF $ ZSILF http:// dlvr.it/PT1Fjr";;;#InvestorsHangout;"883469446760742918";https://twitter.com/goldrush162/status/883469446760742918
FinInvTr;2017-07-07 19:17;1;0;"Why Is Half The Dow Struggling? $ INTC $ XOM $ IBM $ JPM $ GS $ CVX $ DIS $ VZ $ PFE $ DIA http:// buff.ly/2uODqyf";;;;"883465058227040256";https://twitter.com/FinInvTr/status/883465058227040256
