username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DailyStockPlays;2017-07-08 03:10;0;0;"Large Call Buyers http://www. dailystockplays.com/Unusual-Call-O ption-Activity-Today-2017-07-07.html … $ KHC $ WFT $ OCUL $ YUMC $ TNA $ SSO $ BUD $ AZN $ UAL $ SLV $ T $ STM $ HES $ AKS $ FEYE $ SWN $ AMAT $ DAL $ APA";;;;"883584113172774912";https://twitter.com/DailyStockPlays/status/883584113172774912
airfrieght_tran;2017-07-08 03:00;0;0;"Redefine sells #Delta stake to women's empowerment consortium. Read more: http:// owler.us/acZBiS $ DAL";;;#Delta;"883581548628332544";https://twitter.com/airfrieght_tran/status/883581548628332544
PipsToDollars;2017-07-07 22:41;0;3;"WL for next week: M: $ APRN options T: $ PEP $ AMZN PRIME DAY TH: $ DAL F: $ JPM $ C $ WFC $ SAVE $ RTN $ BA pic.twitter.com/ZYUkt0Vyps";;;;"883516451461529601";https://twitter.com/PipsToDollars/status/883516451461529601
getvolatility;2017-07-07 22:38;0;0;"Cheap put options and hedges: $ WFM puts cheaper than 100% of history, $ DAL 99%, $ VLO 99%, $ EFA 99%, $ AMZN 99%, $ TBT 99%, $ IWM 98%";;;;"883515630686793728";https://twitter.com/getvolatility/status/883515630686793728
FinInvTr;2017-07-07 22:09;0;0;"Buffett Likes Airlines. Will Low Oil Keep The Tailwinds Going? $ DAL $ UAL $ LUV http:// buff.ly/2u19Bhz";;;;"883508186090786816";https://twitter.com/FinInvTr/status/883508186090786816
RobKellyIdeas;2017-07-07 22:05;0;0;"$ ETH $ DAL $ CRI Next-Generation Stock Selection Tool URL: http:// bit.ly/2uk6w8h pic.twitter.com/Ry9YyPboMA";;;;"883507271581519872";https://twitter.com/RobKellyIdeas/status/883507271581519872
uk_stocktweets;2017-07-07 21:50;0;1;"$ DAL #Stocks #Options #Trading Idea - Analysis #Charts & Setup Ahead of @Delta #Earnings 13 July > http:// ow.ly/mbXx30ds7xO pic.twitter.com/tFEXBMzds3";;@Delta;#Stocks #Options #Trading #Charts #Earnings;"883503430588936192";https://twitter.com/uk_stocktweets/status/883503430588936192
1MinuteStock;2017-07-07 19:42;0;0;"Do you know that #Book Value for $ DAL is $17.78 https:// unicornbay.com/t/DAL.US?utm_m edium=tweet&utm_campaign=bookvalue&utm_source=twitter …";;;#Book;"883471198457167872";https://twitter.com/1MinuteStock/status/883471198457167872
airfrieght_tran;2017-07-07 19:30;0;0;"#Delta Air Lines passenger assaults flight attendant. Read more: http:// owler.us/acZyPg $ DAL";;;#Delta;"883468345684639744";https://twitter.com/airfrieght_tran/status/883468345684639744
airfrieght_tran;2017-07-07 19:30;0;0;"#Delta Plane returns to Seattle after assault on flight attendant. Read more: http:// owler.us/acZyPk $ DAL";;;#Delta;"883468190143045632";https://twitter.com/airfrieght_tran/status/883468190143045632
StockNewsWires;2017-07-07 19:25;0;0;"$ PEP $ AMZN $ GIS $ DAL $ JPM : Employment Drives Friday’s Gains: Cramer’s ‘Mad Money’ Recap …: http://www. StockNewsWires.com/pep-amzn-gis-d al-jpm-employment-drives-fridays-gains-cramers-mad-money-recap/ …";;;;"883466913765916672";https://twitter.com/StockNewsWires/status/883466913765916672
JorelLaraKalel;2017-07-07 18:36;0;0;"Jim Cramer Next Week's Game Plan http:// cnb.cx/2sPX7Jr http:// amzn.to/2tVH6RE $ PEP $ AMZN $ GIS $ DAL $ C $ JPM $ WFC pic.twitter.com/XAbrmI6Lg3";;;;"883454719682916356";https://twitter.com/JorelLaraKalel/status/883454719682916356
CashflowStocks1;2017-07-07 18:29;0;0;"http:// smq.tc/1BFjMXK Pennystocking Silver will teach you THE trading strategy for success! $ DAL $ ESI $ GE $ INTC $ CBSH";;;;"883452889884012544";https://twitter.com/CashflowStocks1/status/883452889884012544
FinInvTr;2017-07-07 18:23;0;0;"Buffett Likes Airlines. Will Low Oil Keep The Tailwinds Going? $ DAL $ UAL $ LUV http:// buff.ly/2urTDKn";;;;"883451396997230592";https://twitter.com/FinInvTr/status/883451396997230592
jetdriverman;2017-07-07 18:14;0;0;"$ DAL Delta Air Lines : Suspect in assault on Delta flight headed to court http://www. 4-traders.com/DELTA-AIR-LINE S-INC-49285/news/Delta-Air-Lines-Suspect-in-assault-on-Delta-flight-headed-to-court-24719124/ …";;;;"883449067937910785";https://twitter.com/jetdriverman/status/883449067937910785
airfrieght_tran;2017-07-07 18:12;0;0;"#Delta flight returns to Seattle after passenger assaults flight attendant. Read more: http:// owler.us/acZwu8 $ DAL";;;#Delta;"883448560217276418";https://twitter.com/airfrieght_tran/status/883448560217276418
OptionsMaxPain;2017-07-07 17:59;0;0;"#Options #maxpain chart for $ DAL . Free options app http://www. mystockstation.com / pic.twitter.com/yRL2LVDF1z";;;#Options #maxpain;"883445284835086336";https://twitter.com/OptionsMaxPain/status/883445284835086336
tvp101;2017-07-07 17:48;0;0;"$ DAL Share your opinions here #InvestorsHangout $ CJTF $ NAOV $ HLLXF $ MJXFF $ PXMFF http:// dlvr.it/PT0N96";;;#InvestorsHangout;"883442520738250752";https://twitter.com/tvp101/status/883442520738250752
JPMGGA;2017-07-07 17:42;0;0;"**UPDATE** $ DAL in a tight bull channel hitting new all time highs. Travel and Leisure is a top Millennial trade $ JETS $ IYT #Trade2017 pic.twitter.com/sK7QMpgr1F";;;#Trade2017;"883441019374624768";https://twitter.com/JPMGGA/status/883441019374624768
Money2Tai;2017-07-07 17:40;0;0;"http:// bit.ly/1VvJJhE < Millionaire traders FREE TRIAL to his stock trading strategy!!!!! $ DAL $ F $ ATVI";;;;"883440699085012992";https://twitter.com/Money2Tai/status/883440699085012992
airfrieght_tran;2017-07-07 17:36;0;0;"Passenger Attacks #Delta Crew. Read more: http:// owler.us/acZwrn $ DAL";;;#Delta;"883439543776550912";https://twitter.com/airfrieght_tran/status/883439543776550912
TranscriptDaily;2017-07-07 17:28;0;0;"Delta Air Lines, Inc. $ DAL Shares Bought by U S Global Investors Inc http:// ift.tt/2tzoKn8";;;;"883437604322070529";https://twitter.com/TranscriptDaily/status/883437604322070529
GreenspudTrades;2017-07-07 16:42;0;0;"Airlines $ LUV $ UAL $ DAL $ AAL also all making 52 week highs - what a turnaround from last year's rout! http:// momentumstockscans.com/reports/fifty_ two_week_high …";;;;"883425908790620161";https://twitter.com/GreenspudTrades/status/883425908790620161
eirik_nordgaard;2017-07-07 16:40;0;0;"#EarningsCalendar for the coming week! $ WDFC $ PEP $ FAST $ DAL $ C $ JPM $ WFC http:// ow.ly/gomc30ds6Gq";;;#EarningsCalendar;"883425453100466177";https://twitter.com/eirik_nordgaard/status/883425453100466177
