username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
khELMontana;2017-07-08 03:47;0;0;"$ DD http://www. entrepreneur.com.ph/news-and-event s/injap-sia-s-doubledragon-is-selling-new-7-year-bonds-that-pay-6-09-p-a-a00200-20170707?utm_source=Facebook-Entrep&utm_medium=Ownshare&utm_campaign=20170707-fbnp-news-and-events-p-a-fbfirst …";;;;"883593459768086528";https://twitter.com/khELMontana/status/883593459768086528
VistaPResearch;2017-07-08 01:58;0;0;"@_backlink_ thanks for RT! See Vista Partners #InvestingForGrowth #Dow30 http://www. vistapglobal.com $ WMT $ DD $ JPM $ GS pic.twitter.com/LmwE9tZGtk";;@_backlink_;#InvestingForGrowth #Dow30;"883565910782496768";https://twitter.com/VistaPResearch/status/883565910782496768
Jheniferffc;2017-07-08 00:00;4;6;"Que $ dd $ de ir ao estádio ver o meu time jogar";;;;"883536225373753344";https://twitter.com/Jheniferffc/status/883536225373753344
dailymailtimes;2017-07-07 21:02;0;0;"E.I. du Pont de Nemours and Company $ DD Given Daily Media Sentiment Rating of 0.18 http:// ift.tt/2uUnUkg";;;;"883491475832676352";https://twitter.com/dailymailtimes/status/883491475832676352
WatchlistN;2017-07-07 21:02;0;0;"E.I. du Pont de Nemours and Company $ DD Given Daily Media Sentiment Rating of 0.18 http:// ift.tt/2u1GWsx";;;;"883491382027067392";https://twitter.com/WatchlistN/status/883491382027067392
SimplyTrades2;2017-07-07 19:42;0;0;"http:// profit.ly/5005Pn Be persistent trading stocks and you will succeed! Free video discusses how!!!!! $ DD $ NUE";;;;"883471252400345088";https://twitter.com/SimplyTrades2/status/883471252400345088
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
DozenStocks;2017-07-07 15:58;0;1;"Dow #Stocks Trend $ MSFT $ CAT $ INTC $ MRK $ DD $ BA $ CSCO $ AAPL $ IBM $ MCD $ JPM $ DIS $ UNH $ V $ HD $ TRV $ MMM $ AXP $ GS @http:// 12Stocks.com/dow";;@http;#Stocks;"883414968242130944";https://twitter.com/DozenStocks/status/883414968242130944
SweetPlatform;2017-07-07 14:08;0;0;"DD Top news - Jul 7th, 2017 $ DD http:// https:// goo.gl/jd4SE1";;;;"883387232685576192";https://twitter.com/SweetPlatform/status/883387232685576192
stock_biotech;2017-07-07 13:30;0;0;"http:// bit.ly/2unEo46 Biotech Breakouts can be spotted using this tool! $ SPLS $ DD $ DOW $ PIR";;;;"883377799951560704";https://twitter.com/stock_biotech/status/883377799951560704
chaffeybreeze;2017-07-07 13:24;0;0;"Boston Family Office LLC Lowers Stake in E.I. du Pont de Nemours and Company $ DD http:// ift.tt/2uzaAm0";;;;"883376176575782917";https://twitter.com/chaffeybreeze/status/883376176575782917
DozenStocks;2017-07-07 11:51;0;0;"S&P100 #Stocks Trend $ GD $ MSFT $ CAT $ FDX $ PCLN $ INTC $ UPS $ FOXA $ MRK $ CMCSA $ HAL $ DOW $ DD $ T $ EMR $ USB $ ALL @http:// 12Stocks.com/sp100";;@http;#Stocks;"883352684039872512";https://twitter.com/DozenStocks/status/883352684039872512
DozenStocks;2017-07-07 11:50;0;1;"Dow #Stocks Trend $ MSFT $ CAT $ INTC $ MRK $ DD $ BA $ CSCO $ AAPL $ IBM $ MCD $ JPM $ DIS $ UNH $ V $ HD $ TRV $ MMM $ AXP $ GS @http:// 12Stocks.com/dow";;@http;#Stocks;"883352551571075072";https://twitter.com/DozenStocks/status/883352551571075072
MarketRealist;2017-07-07 10:40;0;0;"An insight into Eastman Chemical's Current Debt Situation http://marketrealist.com?p=2188974 marketrealist.com/?p=2188974 $ LYB $ DOW $ DD $ SPY";;;;"883335016054444033";https://twitter.com/MarketRealist/status/883335016054444033
Benzinga;2017-07-07 08:16;0;0;"Watch These 5 Huge Put Purchases In Friday Trade https:// benzinga.com/z/9749337 $ CAR $ DD $ LPL $ VFC $ TSLA";;;;"883298555154374656";https://twitter.com/Benzinga/status/883298555154374656
InvestmentJuan;2017-07-07 07:33;0;1;"$ DD bonds until next week. $ BDO $ RCB and Maybank. http:// fb.me/6VcGN7ihV";;;;"883287922673295360";https://twitter.com/InvestmentJuan/status/883287922673295360
DozenStocks;2017-07-07 06:02;0;1;"Weekly S&P500 #Stocks Trend $ STX $ URI $ WYNN $ PHM $ RCL $ MU $ GLW $ SHW $ VRTX $ FLR $ DOW $ DD $ NSC $ KLAC $ ADI $ FDX @http:// 12Stocks.com/sp500";;@http;#Stocks;"883264963342614533";https://twitter.com/DozenStocks/status/883264963342614533
DozenStocks;2017-07-07 06:01;0;0;"Weekly S&P100 #Stocks Trend $ DOW $ DD $ FDX $ MSFT $ CAT $ FOXA $ GD $ PCLN $ CMCSA $ HAL $ INTC $ UPS $ MRK $ USB $ EMR @http:// 12Stocks.com/sp100";;@http;#Stocks;"883264693598527489";https://twitter.com/DozenStocks/status/883264693598527489
