username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
platapepe70;2017-07-07 21:56;0;0;"Call/Put Highest % volume changes: Calls: $ DLTR , $ LYB , $ DUK , $ LPI , $ CAR . Puts: $ PNK , $ PHM , $ CCL , $ PAA , $ AU .";;;;"883504992082153472";https://twitter.com/platapepe70/status/883504992082153472
pennyomegaCRWE;2017-07-07 20:18;0;0;"$ DUK Time to Reward Shareholders http:// crweworld.com/newsroom/prnew swire?rkey=20170707CL34490&filter=10284 …";;;;"883480302047289345";https://twitter.com/pennyomegaCRWE/status/883480302047289345
IRAMarketReport;2017-07-07 17:17;0;0;"Duke Energy Corporation $ DUK Downgraded by BidaskClub to “Sell” http:// ift.tt/2sz2Grv";;;;"883434754623852546";https://twitter.com/IRAMarketReport/status/883434754623852546
chaffeybreeze;2017-07-07 17:14;0;0;"Duke Energy Corporation $ DUK Downgraded by BidaskClub to “Sell” http:// ift.tt/2sz2Grv";;;;"883434024265551872";https://twitter.com/chaffeybreeze/status/883434024265551872
StockNewsWires;2017-07-07 16:24;0;0;"$ NEE $ D $ SO $ DUK : Dominion: Strong Growth Outlook: http://www. StockNewsWires.com/nee-d-so-duk-d ominion-strong-growth-outlook/ …";;;;"883421384705048576";https://twitter.com/StockNewsWires/status/883421384705048576
SEEKINGALPHA_FS;2017-07-07 16:21;0;0;"Dominion: Strong Growth Outlook https:// seekingalpha.com/article/408637 5-dominion-strong-growth-outlook?source=twitter_sa_factset … $ AMZN $ DUK $ ED $ NEE $ PPL $ SCG $ SO $ D";;;;"883420654925631488";https://twitter.com/SEEKINGALPHA_FS/status/883420654925631488
SeekingAlpha;2017-07-07 16:21;0;0;"Dominion: Strong Growth Outlook https:// seekingalpha.com/article/408637 5-dominion-strong-growth-outlook?source=feed_f … $ AMZN $ DUK $ ED $ NEE $ PPL $ SCG $ SO $ D";;;;"883420652027301889";https://twitter.com/SeekingAlpha/status/883420652027301889
ZolmaxNews;2017-07-07 14:56;0;0;"Duke Energy Corporation $ DUK Downgraded by BidaskClub to “Sell” http:// ift.tt/2syroZ8";;;;"883399321445584897";https://twitter.com/ZolmaxNews/status/883399321445584897
dividendhike;2017-07-07 13:11;1;0;"Duke Energy hikes dividend by 4.1 percent to $0.89 quarterly. The new dividend yield is 4.3%. $ DUK #dividends @DukeEnergy";;@DukeEnergy;#dividends;"883372968793042944";https://twitter.com/dividendhike/status/883372968793042944
Briefingcom;2017-07-07 13:09;0;0;"$ DUK : Duke Energy increases quarterly dividend to $0.89/share from $0.855/share http:// bit.ly/2sOHJNw";;;;"883372523152330756";https://twitter.com/Briefingcom/status/883372523152330756
SweetPlatform;2017-07-07 12:48;0;0;"DUK Top news - Jul 7th, 2017 $ DUK http:// https:// goo.gl/aeBvGU";;;;"883367128115662850";https://twitter.com/SweetPlatform/status/883367128115662850
