username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
emq_news;2017-07-08 04:19;0;0;"eBay Target of Unusually High Options Trading $ EBAY http:// ift.tt/2uVj1HU";;;;"883601425447735297";https://twitter.com/emq_news/status/883601425447735297
TickerReport;2017-07-08 04:17;0;0;"eBay Target of Unusually High Options Trading $ EBAY http:// ift.tt/2uVj1HU";;;;"883600865894027265";https://twitter.com/TickerReport/status/883600865894027265
TickerReport;2017-07-08 04:17;0;0;"eBay Target of Unusually High Options Trading $ EBAY http:// ift.tt/2u2zTzP";;;;"883600865382330368";https://twitter.com/TickerReport/status/883600865382330368
Pennystocker1;2017-07-08 02:33;0;0;"http:// smq.tc/1L9EqiE Tim Sykes produces MILLIONAIRE STUDENTS! Make his next one YOU in 2015! $ EBAY $ RPRX $ SNN $ XLU";;;;"883574717512204289";https://twitter.com/Pennystocker1/status/883574717512204289
midetimes;2017-07-08 02:11;0;0;"eBay Target of Unusually Large Options Trading $ EBAY http:// ift.tt/2tSSQEL";;;;"883569116564647936";https://twitter.com/midetimes/status/883569116564647936
FinInvTr;2017-07-08 01:24;0;0;"The 364 Stocks Representing The "Tech" Market $ CRM $ AMAT $ ADP $ ATVI $ CTSH $ EBAY $ EA $ INTU $ MU $ HPQ $ ADI $ TEL $ FIS http:// buff.ly/2tayoPI";;;;"883557276329668609";https://twitter.com/FinInvTr/status/883557276329668609
StockMoneyAlert;2017-07-08 01:07;0;0;"http:// bit.ly/2fry3Bj [Review] Thinking about Microcap millionaires stock alerts? MUST READ! $ PGNX $ EBAY $ NTAP";;;;"883553058864504832";https://twitter.com/StockMoneyAlert/status/883553058864504832
StockSuccess83;2017-07-07 22:16;0;0;"http:// smq.tc/1K6iVAD Learn from this MULTIMILLIONAIRE TRADER $ IBKR $ PTX $ CY $ CVTI $ EBAY";;;;"883510034239377408";https://twitter.com/StockSuccess83/status/883510034239377408
Investing_Books;2017-07-07 21:18;0;0;"Flash Boys by Michael Lewis: http:// amzn.to/29wY8ss $ SPY $ ES_F $ VIX $ VXX $ INTC $ EBAY $ SPY";;;;"883495578038087680";https://twitter.com/Investing_Books/status/883495578038087680
DavidMichigami;2017-07-07 19:30;0;0;"I wouldn't be shocked to see $ EBAY as a strategic buyout/platform to battle $ AMZN . Personally, I'd love to see $ BRK make a move w/partner.";;;;"883468340668358656";https://twitter.com/DavidMichigami/status/883468340668358656
dakotafinancial;2017-07-07 18:41;0;0;"eBay Inc. $ EBAY Given a $36.00 Price Target at Jefferies Group LLC http:// ift.tt/2uAAJBc";;;;"883455886806614016";https://twitter.com/dakotafinancial/status/883455886806614016
StockSuccess83;2017-07-07 17:16;0;0;"http:// smq.tc/1C0edTT $238,448 profit on $ VISN trade - insane! $ IBKR $ PTX $ CY $ CVTI $ EBAY";;;;"883434532057120768";https://twitter.com/StockSuccess83/status/883434532057120768
storminvestor;2017-07-07 16:42;0;0;"KCG Holdings Inc. Acquires Shares of 29,969 eBay Inc. $ EBAY http:// ift.tt/2uzvMsj";;;;"883426044648329217";https://twitter.com/storminvestor/status/883426044648329217
