username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Fodaroalerts2;2017-07-07 21:50;0;0;"$ ENB Share your opinions here #InvestorsHangout $ LPHM $ ECVTF $ QRSRF $ GEQU $ ITTOY http:// dlvr.it/PT2D7m";;;#InvestorsHangout;"883503421029883904";https://twitter.com/Fodaroalerts2/status/883503421029883904
SA_CAPITAL_MGT;2017-07-07 17:18;0;0;"$ ETH $ ENB $ DNR Simply the best tool available for day traders URL: http:// bit.ly/2tmjsgI pic.twitter.com/GSTS51lgrR";;;;"883435070253662208";https://twitter.com/SA_CAPITAL_MGT/status/883435070253662208
intercooleronli;2017-07-07 17:11;0;0;"Enbridge Inc $ ENB Insider Sells C$169,272.12 in Stock http:// ift.tt/2sVQKPO";;;;"883433337649594369";https://twitter.com/intercooleronli/status/883433337649594369
midetimes;2017-07-07 17:01;0;0;"Enbridge Inc $ ENB Insider Sells C$169,272.12 in Stock http:// ift.tt/2sWduPN";;;;"883430847826808832";https://twitter.com/midetimes/status/883430847826808832
RatingsNetwork;2017-07-07 14:57;0;0;"Want automatic email alerts for $ DCTH $ DHT $ DRIV $ DXYN $ ENB ? Subscribe to MarketBeat Daily http:// bit.ly/arndailyw";;;;"883399602149261313";https://twitter.com/RatingsNetwork/status/883399602149261313
oilgas_stortran;2017-07-07 11:10;0;0;"#Enbridge Announces Expiration and Results of Offer by Spectra Energy Capital, LLC to Purcha... Read more: http:// owler.us/acZsun $ ENB";;;#Enbridge;"883342376197996545";https://twitter.com/oilgas_stortran/status/883342376197996545
chaffeybreeze;2017-07-07 11:05;0;0;"Enbridge Inc $ ENB Position Boosted by Geode Capital Management LLC http:// ift.tt/2tZz9LS";;;;"883341274581008385";https://twitter.com/chaffeybreeze/status/883341274581008385
IRAMarketReport;2017-07-07 11:03;0;0;"Enbridge Inc $ ENB Position Boosted by Geode Capital Management LLC http:// ift.tt/2tZz9LS";;;;"883340602468859905";https://twitter.com/IRAMarketReport/status/883340602468859905
dakotafinancial;2017-07-07 11:01;0;0;"Bluestein R H & Co. Acquires 196 Shares of Enbridge Inc $ ENB http:// ift.tt/2tUb2NW";;;;"883340303373041665";https://twitter.com/dakotafinancial/status/883340303373041665
TheMarketsDaily;2017-07-07 11:01;0;0;"Enbridge Inc $ ENB Shares Bought by Liberty Mutual Group Asset Management Inc. http:// zpr.io/PdBfw";;;;"883340148519432192";https://twitter.com/TheMarketsDaily/status/883340148519432192
storminvestor;2017-07-07 10:57;0;1;"Azimuth Capital Management LLC Buys New Stake in Enbridge Inc $ ENB http:// ift.tt/2tZXFg4";;;;"883339304709312512";https://twitter.com/storminvestor/status/883339304709312512
oilgas_stortran;2017-07-07 09:18;0;0;"BRIEF- #Enbridge announces expiration and results of offer by Spectra Energy Capital LLC to p... Read more: http:// owler.us/acZrkD $ ENB";;;#Enbridge;"883314316685959168";https://twitter.com/oilgas_stortran/status/883314316685959168
oilgas_stortran;2017-07-07 09:18;0;0;"#Enbridge Announces Expiration and Results of Offer by Spectra Energy Capital, LLC to Purcha... Read more: http:// owler.us/acZrkE $ ENB";;;#Enbridge;"883314160741658625";https://twitter.com/oilgas_stortran/status/883314160741658625
emq_news;2017-07-07 07:24;0;0;"RiverPoint Capital Management LLC Takes Position in Enbridge Inc $ ENB http:// ift.tt/2tPOpuz";;;;"883285562869899265";https://twitter.com/emq_news/status/883285562869899265
