username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Stock_Huntress;2017-07-07 19:30;0;0;"http:// bit.ly/2dBEKjo Want Free Biotech Stock Updates from Kyle Dennis? $ EPD $ SIRI $ GOGO $ BMRN";;;;"883468379159318528";https://twitter.com/Stock_Huntress/status/883468379159318528
MidstreamNews;2017-07-07 19:23;0;0;"Magellan, Plains launch BridgeTex open season, consider capacity expansion $ MMP $ PAA $ EPD http://www. seekingalpha.com/news/3277582";;;;"883466451302174724";https://twitter.com/MidstreamNews/status/883466451302174724
sitifatimahnet;2017-07-07 18:32;0;0;"Magellan, Plains launch BridgeTex open season, consider capacity expansion https:// seekingalpha.com/news/3277582-m agellan-plains-launch-bridgetex-open-season-consider-capacity-expansion?source=feed_f … $ MMP $ PAA $ EPD #sitifatimah #malaysia #…";;;#sitifatimah #malaysia #;"883453607902945280";https://twitter.com/sitifatimahnet/status/883453607902945280
SEEKINGALPHA_FS;2017-07-07 18:23;0;0;"Magellan, Plains launch BridgeTex open season, consider capacity expansion https:// seekingalpha.com/news/3277582-m agellan-plains-launch-bridgetex-open-season-consider-capacity-expansion?source=twitter_sa_factset … $ MMP $ PAA $ EPD";;;;"883451539431464961";https://twitter.com/SEEKINGALPHA_FS/status/883451539431464961
MarketCurrents;2017-07-07 18:23;0;0;"Magellan, Plains launch BridgeTex open season, consider capacity expansion https:// seekingalpha.com/news/3277582-m agellan-plains-launch-bridgetex-open-season-consider-capacity-expansion?source=feed_f … $ MMP $ PAA $ EPD";;;;"883451537854418944";https://twitter.com/MarketCurrents/status/883451537854418944
SPNewsAnalysis;2017-07-07 17:47;0;0;"Enterprise Products Partners L.P. $ EPD Upgraded to “Hold” at BidaskClub http:// ift.tt/2sWhSOG";;;;"883442310742147072";https://twitter.com/SPNewsAnalysis/status/883442310742147072
storminvestor;2017-07-07 17:42;0;0;"Enterprise Products Partners L.P. $ EPD Upgraded to “Hold” at BidaskClub http:// ift.tt/2tRS0bl";;;;"883441128120471552";https://twitter.com/storminvestor/status/883441128120471552
ZolmaxNews;2017-07-07 14:56;0;0;"Enterprise Products Partners L.P. $ EPD Upgraded to “Hold” at BidaskClub http:// ift.tt/2sygFhn";;;;"883399328269717506";https://twitter.com/ZolmaxNews/status/883399328269717506
newswelldone;2017-07-07 14:27;0;0;"$ EPD : This Pipeline MLP Will Provide Sustainable Income Growth For …: http://www. StockNewsWires.com/epd-this-pipel ine-mlp-will-provide-sustainable-income-growth-for/ …";;;;"883391944868548613";https://twitter.com/newswelldone/status/883391944868548613
SEEKINGALPHA_FS;2017-07-07 14:23;0;0;"This Pipeline MLP Will Provide Sustainable Income Growth For Many Years https:// seekingalpha.com/article/408634 6-pipeline-mlp-will-provide-sustainable-income-growth-many-years?source=twitter_sa_factset … $ EPD";;;;"883390951686684672";https://twitter.com/SEEKINGALPHA_FS/status/883390951686684672
SeekingAlpha;2017-07-07 14:23;0;0;"This Pipeline MLP Will Provide Sustainable Income Growth For Many Years https:// seekingalpha.com/article/408634 6-pipeline-mlp-will-provide-sustainable-income-growth-many-years?source=feed_f … $ EPD";;;;"883390948058685440";https://twitter.com/SeekingAlpha/status/883390948058685440
trading_large;2017-07-07 13:35;0;0;"http:// bit.ly/1Vf79KJ [review]Super Trades alerts are simple to replicate and have changed my life forever $ EPD $ PBYI $ WDAY";;;;"883378978337075200";https://twitter.com/trading_large/status/883378978337075200
MarketRealist;2017-07-07 13:12;0;0;"What’s Making Targa Resources So Interesting? http://marketrealist.com?p=2189473 marketrealist.com/?p=2189473 $ TRGP $ EPD $ XLE $ SPY";;;;"883373198439591940";https://twitter.com/MarketRealist/status/883373198439591940
SweetPlatform;2017-07-07 12:12;0;0;"EPD Top news - Jul 7th, 2017 $ EPD http:// https:// goo.gl/pybxtB";;;;"883358143446757376";https://twitter.com/SweetPlatform/status/883358143446757376
bostontrending;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349947562807297";https://twitter.com/bostontrending/status/883349947562807297
DenverTrend;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349946501615616";https://twitter.com/DenverTrend/status/883349946501615616
Dallas_Trending;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349945306230784";https://twitter.com/Dallas_Trending/status/883349945306230784
SanDiegoTrend;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349940948414464";https://twitter.com/SanDiegoTrend/status/883349940948414464
LasVegasTrend;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349935344807936";https://twitter.com/LasVegasTrend/status/883349935344807936
PhoenixTrend;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349935273517056";https://twitter.com/PhoenixTrend/status/883349935273517056
ChicagoTrend;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349932815548417";https://twitter.com/ChicagoTrend/status/883349932815548417
PhillyTrend215;2017-07-07 11:40;0;0;"Will $ cop $ intc $ ete $ cat $ pru $ pfe $ dis $ hum $ epd $ csco be the next big #globalbrand ? http://www. ironbcg.com #CES2018 #AI";;;#globalbrand #CES2018 #AI;"883349932412895232";https://twitter.com/PhillyTrend215/status/883349932412895232
