username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
intercooleronli;2017-07-08 00:21;0;0;"Head to Head Comparison: FedEx Corporation $ FDX and Expeditors International of Washington $ EXPD http:// ift.tt/2uUDWuJ";;;;"883541487463616513";https://twitter.com/intercooleronli/status/883541487463616513
WatchlistN;2017-07-08 00:17;0;0;"Head to Head Comparison: FedEx Corporation $ FDX and Expeditors International of Washington $ EXPD http:// ift.tt/2tSM1TN";;;;"883540478418984962";https://twitter.com/WatchlistN/status/883540478418984962
RossPork;2017-07-07 19:47;0;0;"http:// bit.ly/1VvJJhE < I learned so much from this top stock trader! Free Trial!! $ MXIM $ FDX $ AMAT";;;;"883472515539935232";https://twitter.com/RossPork/status/883472515539935232
Sandro_power;2017-07-07 19:10;1;2;"$ FDX https:// youtu.be/mvZaGjgyn_M";;;;"883463188221759489";https://twitter.com/Sandro_power/status/883463188221759489
PennyStockZone2;2017-07-07 18:17;0;0;"http:// smq.tc/2kgqkrm << Read my review of PennyStock Egghead stock picks!! $ RACE $ FDX $ CDNS";;;;"883449874737373185";https://twitter.com/PennyStockZone2/status/883449874737373185
Stroppy_Trader;2017-07-07 16:48;0;0;"http:// smq.tc/1VvJJhE << self-made multi-millionaire teaches small cap stocks alerts FREE TRIAL!!! $ FDX $ TSLA $ FB";;;;"883427491582402562";https://twitter.com/Stroppy_Trader/status/883427491582402562
TheMarketsDaily;2017-07-07 16:34;0;0;"Northwestern Mutual Wealth Management Co. Boosts Stake in FedEx Corporation $ FDX http:// zpr.io/PdQNP";;;;"883423985802805250";https://twitter.com/TheMarketsDaily/status/883423985802805250
Couzin_Vinny;2017-07-07 15:46;0;1;"$ IYT weekly - one word #fuggetaboutit https:// theclosingprint.com daily looks #awesome $ DAL $ JBHT $ FDX $ CSX #favorites pic.twitter.com/uTAW6aNr2Q";;;#fuggetaboutit #awesome #favorites;"883411950004318209";https://twitter.com/Couzin_Vinny/status/883411950004318209
CHItraders;2017-07-07 15:46;0;0;"$ FDX still chugging along.";;;;"883411814595399681";https://twitter.com/CHItraders/status/883411814595399681
EatSleepNTrade;2017-07-07 15:38;0;0;"peep my posts in $ APRN i have insider intel from a $ FDX driver";;;;"883409905864110080";https://twitter.com/EatSleepNTrade/status/883409905864110080
Stock_Huntress;2017-07-07 15:21;0;0;"Fous4x2 #daytrading DVD review: http:// smq.tc/1GEVxLj $ UAL $ NFLX $ FDX $ LUK $ MU $ MAS";;;#daytrading;"883405576671158273";https://twitter.com/Stock_Huntress/status/883405576671158273
QTRResearch;2017-07-07 15:12;0;0;"$ FDX new highs";;;;"883403400192434176";https://twitter.com/QTRResearch/status/883403400192434176
tradingplays;2017-07-07 15:09;0;0;"$ FDX above/prev/m/high test, final hr... pic.twitter.com/IvYWm2l5KR";;;;"883402516729274370";https://twitter.com/tradingplays/status/883402516729274370
QTRResearch;2017-07-07 15:08;0;0;"$ FDX rips back to highs";;;;"883402270456467457";https://twitter.com/QTRResearch/status/883402270456467457
TheMarketsDaily;2017-07-07 14:59;0;0;"FedEx Corporation $ FDX Earning Somewhat Critical Media Coverage, Study Finds http:// zpr.io/PdWLW";;;;"883400176341209088";https://twitter.com/TheMarketsDaily/status/883400176341209088
MarketNewsAlgo;2017-07-07 13:57;0;0;"FedEx Profits Rise 65% http:// transport.newsmovingmarkets.com/2017/07/fedex- profits-rise-65.html … $ FDX";;;;"883384450838671360";https://twitter.com/MarketNewsAlgo/status/883384450838671360
MarketNewsAlgo;2017-07-07 13:57;0;0;"FedEx Makes Civic 50 List of Most Community-Minded Companies http:// transport.newsmovingmarkets.com/2017/07/fedex- makes-civic-50-list-of-most.html … $ FDX";;;;"883384447827156993";https://twitter.com/MarketNewsAlgo/status/883384447827156993
EatSleepNTrade;2017-07-07 13:43;0;0;"Told me it's crazy how many Blue $ APRN packages he delivers and hates it because they are so heavy. $ FDX #InsiderInfo";;;#InsiderInfo;"883381004924334086";https://twitter.com/EatSleepNTrade/status/883381004924334086
EatSleepNTrade;2017-07-07 13:42;1;0;"Since the street isn't reporting it i will, my buddy a $ FDX driver gave me the inside scoop on $ APRN saying he delivers so many it's unreal.";;;;"883380629064339458";https://twitter.com/EatSleepNTrade/status/883380629064339458
CHItraders;2017-07-07 13:07;0;0;"Patiently Waiting for $ FDX news......";;;;"883371913589948416";https://twitter.com/CHItraders/status/883371913589948416
QTRResearch;2017-07-07 13:07;0;0;"$ FDX popping to new highs, still really strong";;;;"883371830333120516";https://twitter.com/QTRResearch/status/883371830333120516
QTRResearch;2017-07-07 12:54;3;15;"$ FDX is just a $58B company - $ AMZN for $ FDX would make so much sense...";;;;"883368673758588928";https://twitter.com/QTRResearch/status/883368673758588928
QTRResearch;2017-07-07 12:49;0;1;"$ FDX beast mode";;;;"883367323171684354";https://twitter.com/QTRResearch/status/883367323171684354
Chilly_Trader;2017-07-07 12:35;0;0;"http:// bit.ly/1VvJJhE < Escape the Job with Jason Bond Stock Picks Free Trial! $ ADBE $ CECO $ FDX";;;;"883363874841305088";https://twitter.com/Chilly_Trader/status/883363874841305088
QTRResearch;2017-07-07 12:35;0;0;"$ FDX rollin";;;;"883363769098928128";https://twitter.com/QTRResearch/status/883363769098928128
QTRResearch;2017-07-07 12:33;0;0;"$ FDX really strong, new highs";;;;"883363261588135936";https://twitter.com/QTRResearch/status/883363261588135936
ProTradersNews;2017-07-07 11:55;0;0;"$ MDLZ $ FDX $ MRK $ WPPGY $ IBM : Mondelez Reports Hit to Results from Ransomware; Here’s Who …: http://www. StockNewsWires.com/mdlz-fdx-mrk-w ppgy-ibm-mondelez-reports-hit-to-results-from-ransomware-heres-who/ …";;;;"883353683043295232";https://twitter.com/ProTradersNews/status/883353683043295232
DozenStocks;2017-07-07 11:51;0;0;"S&P100 #Stocks Trend $ GD $ MSFT $ CAT $ FDX $ PCLN $ INTC $ UPS $ FOXA $ MRK $ CMCSA $ HAL $ DOW $ DD $ T $ EMR $ USB $ ALL @http:// 12Stocks.com/sp100";;@http;#Stocks;"883352684039872512";https://twitter.com/DozenStocks/status/883352684039872512
DozenStocks;2017-07-07 11:50;0;0;"S&P100 #Stocks Performance $ GD $ AMGN $ MSFT $ NEE $ RTN $ BMY $ CELG $ CAT $ FDX $ JNJ $ PCLN $ MDT $ DIS $ AGN $ INTC more@http:// 12Stocks.com/sp100";;@http;#Stocks;"883352617778159616";https://twitter.com/DozenStocks/status/883352617778159616
MarketNewsAlgo;2017-07-07 11:42;0;0;"Why FedEx Corporation (FDX) Stock Might Be A Great Pick http:// transport.newsmovingmarkets.com/2017/07/why-fe dex-corporation-fdx-stock-might.html … $ FDX";;;;"883350560950321154";https://twitter.com/MarketNewsAlgo/status/883350560950321154
nolter;2017-07-07 11:40;1;1;"$ MDLZ feels #PETYA 's pain, but shares don't suffer Friday. http:// bit.ly/2tQpEyk A good sign for $ FDX , $ WPPGY , $ MRK ?";;;#PETYA;"883349994291556353";https://twitter.com/nolter/status/883349994291556353
wind4me;2017-07-07 09:06;2;5;"#Hydrogen is #Electric #EV | Keith Bare | Pulse | LinkedIn $ PLUG $ AMZN $ FDX , #China https://www. linkedin.com/pulse/hydrogen -electric-ev-keith-bare?published=t …";;;#Hydrogen #Electric #EV #China;"883311301987975169";https://twitter.com/wind4me/status/883311301987975169
TheMarketsDaily;2017-07-07 08:01;0;0;"FedEx Corporation $ FDX Given Market Perform Rating at Sanford C. Bernstein http:// zpr.io/Pdvim";;;;"883294791240384514";https://twitter.com/TheMarketsDaily/status/883294791240384514
DozenStocks;2017-07-07 06:02;0;1;"Weekly S&P500 #Stocks Trend $ STX $ URI $ WYNN $ PHM $ RCL $ MU $ GLW $ SHW $ VRTX $ FLR $ DOW $ DD $ NSC $ KLAC $ ADI $ FDX @http:// 12Stocks.com/sp500";;@http;#Stocks;"883264963342614533";https://twitter.com/DozenStocks/status/883264963342614533
DozenStocks;2017-07-07 06:01;0;0;"Weekly S&P100 #Stocks Trend $ DOW $ DD $ FDX $ MSFT $ CAT $ FOXA $ GD $ PCLN $ CMCSA $ HAL $ INTC $ UPS $ MRK $ USB $ EMR @http:// 12Stocks.com/sp100";;@http;#Stocks;"883264693598527489";https://twitter.com/DozenStocks/status/883264693598527489
DozenStocks;2017-07-07 06:01;0;0;"Weekly S&P100 #Stocks Performance $ DOW $ DD $ FDX $ BA $ MSFT $ CAT $ TXN $ FOXA $ FB $ IBM $ JPM $ GD $ PCLN $ USB more@http:// 12Stocks.com/sp100";;@http;#Stocks;"883264627592773633";https://twitter.com/DozenStocks/status/883264627592773633
WatchlistN;2017-07-07 05:32;0;0;"Northwestern Mutual Investment Management Company LLC Has $9.67 Million Position in FedEx Corporation $ FDX http:// ift.tt/2tPK6zn";;;;"883257382612201472";https://twitter.com/WatchlistN/status/883257382612201472
WatchlistN;2017-07-07 05:32;0;0;"First National Trust Co. Has $433,000 Stake in FedEx Corporation $ FDX http:// ift.tt/2tPgAd2";;;;"883257375800643584";https://twitter.com/WatchlistN/status/883257375800643584
TickerReport;2017-07-07 05:30;0;0;"FedEx Corporation $ FDX Position Maintained by Menora Mivtachim Holdings LTD. http:// ift.tt/2tYDLlp";;;;"883256831824605185";https://twitter.com/TickerReport/status/883256831824605185
emq_news;2017-07-07 05:29;0;0;"FedEx Corporation $ FDX Position Maintained by Menora Mivtachim Holdings LTD. http:// ift.tt/2tYDLlp";;;;"883256631634665472";https://twitter.com/emq_news/status/883256631634665472
TickerReport;2017-07-07 05:27;0;0;"FedEx Corporation $ FDX Position Maintained by Menora Mivtachim Holdings LTD. http:// ift.tt/2toadwf";;;;"883256126099382273";https://twitter.com/TickerReport/status/883256126099382273
midetimes;2017-07-07 05:26;0;0;"South State Corp Has $231,000 Position in FedEx Corporation $ FDX http:// ift.tt/2tTfDjo";;;;"883255905684525056";https://twitter.com/midetimes/status/883255905684525056
SleekMoneycom;2017-07-07 05:26;0;0;"Bp Plc Sells 10,000 Shares of FedEx Corporation $ FDX http:// ift.tt/2tPwHqV";;;;"883255870724993024";https://twitter.com/SleekMoneycom/status/883255870724993024
SleekMoneycom;2017-07-07 04:31;0;0;"FedEx Corporation $ FDX Given Market Perform Rating at Sanford C. Bernstein http:// ift.tt/2toxIoT";;;;"883241992876167168";https://twitter.com/SleekMoneycom/status/883241992876167168
MttsTrading;2017-07-07 03:09;2;4;"Daily Watch list for July 7th is posted https:// wp.me/P811no-Ex #MTTS $ AON $ PM $ ADSK $ SWKS $ TER $ FDX $ GILD $ ICE Join our chat 5 days free.";;;#MTTS;"883221499707928576";https://twitter.com/MttsTrading/status/883221499707928576
CollarBlu;2017-07-07 03:02;0;0;"When to Make the Leap to Full Time Day Trading.. > http:// smq.tc/2b3YBqn $ EAT $ FNSR $ FDX";;;;"883219597754630144";https://twitter.com/CollarBlu/status/883219597754630144
LongTermTrading;2017-07-07 02:37;0;0;"Fous4x2 #daytrading DVD review: http:// smq.tc/1GEVxLj $ UAL $ NFLX $ FDX $ LUK $ MU $ MAS";;;#daytrading;"883213314938949632";https://twitter.com/LongTermTrading/status/883213314938949632
Tunaman4u2;2017-07-06 22:18;0;1;"$ IYT remains strong. Deliver the packages $ UPS $ FDX pic.twitter.com/rSeanw0tKl";;;;"883148305622061056";https://twitter.com/Tunaman4u2/status/883148305622061056
btrade101;2017-07-06 22:05;0;0;"$ fdx been ripping thru your tax money I see. Lolol there is always next tax season clown https:// twitter.com/nobullshytrade r/status/882621508283236354 …";;;;"883144995095670785";https://twitter.com/btrade101/status/883144995095670785
trading_large;2017-07-06 20:14;0;0;"http:// bit.ly/1VvJJhE [Free Trial] Jason Bond picks will make you a better trader..try his alerts FREE now!!! $ WMT $ FB $ FDX";;;;"883116943238062080";https://twitter.com/trading_large/status/883116943238062080
nobullshytrader;2017-07-06 19:49;0;0;"$ SPY $ DIA $ QQQ $ AXP $ FDX $ TSLA $ IBB $ LABU $ NFLX $ AMZN $ AAPL $ FB $ ULTA all thu overbloated z sucummin 2 gravity,buyin blind stopped werkin";;;;"883110728697294848";https://twitter.com/nobullshytrader/status/883110728697294848
StockStreamLive;2017-07-06 18:22;1;3;"Lost hundreds today! Doesn't matter though since we got $2.50 in $ FDX dividends! Thanks @FedEx ! pic.twitter.com/9FYlSz0wyE";;@FedEx;;"883088914579210240";https://twitter.com/StockStreamLive/status/883088914579210240
JanineCardle;2017-07-06 17:55;0;0;"Looks like FedEx is getting back on track - $ FDX - http:// alph.st/bda1447f";;;;"883082088781463552";https://twitter.com/JanineCardle/status/883082088781463552
TradeInTheZone;2017-07-06 17:38;0;0;"$ FDX now Oreos. https:// twitter.com/cnbcnow/status /883076659905273856 …";;;;"883077800638521345";https://twitter.com/TradeInTheZone/status/883077800638521345
