username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DailyStockPlays;2017-07-08 03:57;0;0;"Upgrades http://www. dailystockplays.com/Upgrades-2017- 06-06.html … $ ADS $ AKR $ ANF $ BEL $ BFb $ BLUE $ CALA $ CERN $ CIEN $ COUP $ CTSH $ DNOW $ DRI $ EL $ EV $ FDC $ FIS $ FISV";;;;"883595778073165824";https://twitter.com/DailyStockPlays/status/883595778073165824
1MinuteStock;2017-07-08 02:30;0;0;"Btw, Estimated #Earnings Per Share for $ FIS is $1.13 it's 1.3% of the current price https:// unicornbay.com/t/FIS.US?utm_m edium=tweet&utm_campaign=eps&utm_source=twitter …";;;#Earnings;"883573875900006401";https://twitter.com/1MinuteStock/status/883573875900006401
FinInvTr;2017-07-08 01:24;0;0;"The 364 Stocks Representing The "Tech" Market $ CRM $ AMAT $ ADP $ ATVI $ CTSH $ EBAY $ EA $ INTU $ MU $ HPQ $ ADI $ TEL $ FIS http:// buff.ly/2tayoPI";;;;"883557276329668609";https://twitter.com/FinInvTr/status/883557276329668609
15minofPham;2017-07-08 00:36;0;0;"52 week high & volume above 3-mth avg: $ DHI $ TOL $ ITB $ PHM $ MCD $ CX $ AAL $ SWK $ FIS $ IR $ BA";;;;"883545217898557440";https://twitter.com/15minofPham/status/883545217898557440
WKRBNews;2017-07-07 21:45;0;0;"Fidelity National Information Services $ FIS Earning Positive Media Coverage, Study Shows http:// ift.tt/2sWHkDU";;;;"883502291361435648";https://twitter.com/WKRBNews/status/883502291361435648
TranscriptDaily;2017-07-07 21:43;0;0;"Fidelity National Information Services $ FIS Earning Positive Media Coverage, Study Shows http:// ift.tt/2sQjPBf";;;;"883501738665357312";https://twitter.com/TranscriptDaily/status/883501738665357312
WKRBNews;2017-07-07 21:41;0;0;"Fidelity National Information Services $ FIS Earning Positive Media Coverage, Study Shows http:// ift.tt/2uUr7k1";;;;"883501216122142720";https://twitter.com/WKRBNews/status/883501216122142720
IRAMarketReport;2017-07-07 14:17;0;0;"Fidelity National Information Services, Inc. $ FIS Stake Decreased by Nuveen Asset Management LLC http:// ift.tt/2tRs0gm";;;;"883389645811101696";https://twitter.com/IRAMarketReport/status/883389645811101696
TPCMG;2017-07-07 12:18;0;0;"$ FIS : 3 open, suited signals indicate continued price increase for about 4 more days. http:// thinkingprofit.com/equity/?s=FIS";;;;"883359666763444225";https://twitter.com/TPCMG/status/883359666763444225
SleekMoneycom;2017-07-07 09:56;0;0;"Park National Corp OH Maintains Position in Fidelity National Information Services, Inc. $ FIS http:// ift.tt/2ty3wpU";;;;"883323829694734338";https://twitter.com/SleekMoneycom/status/883323829694734338
emq_news;2017-07-07 09:44;0;0;"Fidelity National Information Services, Inc. $ FIS Stake Decreased by Nuveen Asset Management LLC http:// ift.tt/2sUMMXS";;;;"883320800564187137";https://twitter.com/emq_news/status/883320800564187137
emq_news;2017-07-07 09:44;0;0;"Fidelity National Information Services, Inc. $ FIS Position Held by Aldebaran Financial Inc. http:// ift.tt/2sUzNp5";;;;"883320796885782528";https://twitter.com/emq_news/status/883320796885782528
TickerReport;2017-07-07 09:37;0;0;"Fidelity National Information Services, Inc. $ FIS Stake Decreased by Nuveen Asset Management LLC http:// ift.tt/2sUMMXS";;;;"883319024788045826";https://twitter.com/TickerReport/status/883319024788045826
TickerReport;2017-07-07 09:37;0;0;"Fidelity National Information Services, Inc. $ FIS Position Held by Aldebaran Financial Inc. http:// ift.tt/2sUzNp5";;;;"883319020128227328";https://twitter.com/TickerReport/status/883319020128227328
TickerReport;2017-07-07 09:32;0;0;"Fidelity National Information Services, Inc. $ FIS Stake Decreased by Nuveen Asset Management LLC http:// ift.tt/2uScwFs";;;;"883317798696517632";https://twitter.com/TickerReport/status/883317798696517632
TickerReport;2017-07-07 09:32;0;0;"Fidelity National Information Services, Inc. $ FIS Position Held by Aldebaran Financial Inc. http:// ift.tt/2uRPSgv";;;;"883317794439389184";https://twitter.com/TickerReport/status/883317794439389184
WatchlistN;2017-07-07 09:17;0;0;"Point72 Asset Management L.P. Raises Stake in Fidelity National Information Services, Inc. $ FIS http:// ift.tt/2tTDejV";;;;"883314016055169025";https://twitter.com/WatchlistN/status/883314016055169025
IRAMarketReport;2017-07-06 14:59;0;0;"Fidelity National Information Services, Inc. $ FIS Stake Increased by Laurel Wealth Advisors Inc. http:// ift.tt/2uP0CfB";;;;"883037718263074821";https://twitter.com/IRAMarketReport/status/883037718263074821
chaffeybreeze;2017-07-06 14:59;0;0;"Fidelity National Information Services, Inc. $ FIS Stake Increased by Laurel Wealth Advisors Inc. http:// ift.tt/2uP0CfB";;;;"883037687242010624";https://twitter.com/chaffeybreeze/status/883037687242010624
SPNewsAnalysis;2017-07-06 14:14;0;0;"Fidelity National Information Services, Inc. $ FIS Position Maintained by Teachers Retirement System of The State o… http:// ift.tt/2uP4iOp";;;;"883026443407589376";https://twitter.com/SPNewsAnalysis/status/883026443407589376
midetimes;2017-07-06 10:21;0;0;"Fidelity National Information Services, Inc. $ FIS Position Maintained by Teachers Retirement System of The State o… http:// ift.tt/2utEPej";;;;"882967707326590978";https://twitter.com/midetimes/status/882967707326590978
ZolmaxNews;2017-07-06 09:53;0;0;"Skandinaviska Enskilda Banken AB publ Increases Stake in Fidelity National Information Services, Inc. $ FIS http:// ift.tt/2tl5nzP";;;;"882960635549634565";https://twitter.com/ZolmaxNews/status/882960635549634565
ZolmaxNews;2017-07-06 09:49;0;0;"Skandinaviska Enskilda Banken AB publ Increases Stake in Fidelity National Information Services, Inc. $ FIS http:// ift.tt/2tl5nzP";;;;"882959683358662656";https://twitter.com/ZolmaxNews/status/882959683358662656
ZolmaxNews;2017-07-06 09:18;0;0;"North Star Asset Management Inc. Acquires 3,651 Shares of Fidelity National Information Services, Inc. $ FIS http:// ift.tt/2sJMQOQ";;;;"882951995321176065";https://twitter.com/ZolmaxNews/status/882951995321176065
rickkystocks1;2017-07-06 01:47;0;0;"$ FIS Share your opinions here #InvestorsHangout $ GGRN $ CKYI $ CUSI $ CWNR $ CRYT http:// dlvr.it/PSYg8z";;;#InvestorsHangout;"882838289459200000";https://twitter.com/rickkystocks1/status/882838289459200000
dakotafinancial;2017-07-05 14:37;0;0;"Summit Global Investments Has $1.40 Million Position in Fidelity National Information Services, Inc. $ FIS http:// ift.tt/2thl4b4";;;;"882669791118602240";https://twitter.com/dakotafinancial/status/882669791118602240
