username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FinInvTr;2017-07-07 23:17;0;0;"Dan Loeb's Stock Holdings $ SHW $ DHR $ CRM $ GD $ MHK $ QCOM $ ZAYO $ HUM http:// buff.ly/2tVZNVW";;;;"883525520599764992";https://twitter.com/FinInvTr/status/883525520599764992
FinInvTr;2017-07-07 21:53;0;0;"Top Dividend Stocks That Beat The Market $ ADM $ ADP $ AFL $ APD $ BCR $ BDX $ BEN $ CINF $ CTAS $ ECL $ ED $ GD http:// buff.ly/2uU8SLo #stocks pic.twitter.com/HtQcjEMhfp";;;#stocks;"883504191293009921";https://twitter.com/FinInvTr/status/883504191293009921
MomentumSwings;2017-07-07 21:12;0;0;"http:// smq.tc/1VvJJhE < Jason Bond wants u to try his trading alerts 4 FREE! $ FOSL $ NLNK $ GD $ RSG";;;;"883493912467316736";https://twitter.com/MomentumSwings/status/883493912467316736
StockNewsWires;2017-07-07 20:35;0;0;"$ NVCR $ AVAV $ GD $ PETS $ ON : NovoCure, NextEra, O’Reilly: ‘Mad Money’ Lightning Round (7/7/17): http://www. StockNewsWires.com/nvcr-avav-gd-p ets-on-novocure-nextera-oreilly-mad-money-lightning-round-7717/ …";;;;"883484555327414273";https://twitter.com/StockNewsWires/status/883484555327414273
PipsToDollars;2017-07-07 19:44;1;10;"$ RTN Raytheon’s kill vehicle and Boeing’s shield work together to pulverize enemy ICBMs. $ BA $ NOC $ LMT $ RTN $ GD pic.twitter.com/30PPW4Ghud";;;;"883471934469488640";https://twitter.com/PipsToDollars/status/883471934469488640
FinInvTr;2017-07-07 18:12;0;0;"Top Dividend Stocks That Beat The Market $ ADM $ ADP $ AFL $ APD $ BCR $ BDX $ BEN $ CINF $ CTAS $ ECL $ ED $ GD http:// buff.ly/2tjaFeW";;;;"883448698612666368";https://twitter.com/FinInvTr/status/883448698612666368
brandonheasman1;2017-07-07 18:05;0;0;"Marco Rubio Vs. John Kasich: Who Is Better for Defense? @themotleyfool #stocks $ LMT , $ GD , $ HII https://www. fool.com/investing/gene ral/2016/02/27/marco-rubio-vs-john-kasich-who-is-better-for-defen.aspx …";;@themotleyfool;#stocks;"883446952880250880";https://twitter.com/brandonheasman1/status/883446952880250880
DozenStocks;2017-07-07 16:00;0;0;"S&P500 #Stocks Trend $ WYNN $ BCR $ GD $ ADI $ KLAC $ LRCX $ AMAT $ NFLX $ BDX $ CHRW $ VRTX $ MSFT $ ETFC $ MU $ CAT $ EA @http:// 12Stocks.com/sp500";;@http;#Stocks;"883415368529616896";https://twitter.com/DozenStocks/status/883415368529616896
JorelLaraKalel;2017-07-07 15:09;0;1;"The 10 Safest Blue-Chip Dividends on Wall Street http:// bit.ly/2tqfuU2 $ JNJ $ TJX $ HD $ DIS $ MMM $ UTX $ UNP $ LMT $ TXN $ GD @investorplace";;@investorplace;;"883402705560944640";https://twitter.com/JorelLaraKalel/status/883402705560944640
FASTGraphs;2017-07-07 15:07;0;0;"Will You Profit From Market Folly? https:// seekingalpha.com/article/408179 6-will-profit-market-folly?source=tweet … $ BBL $ GD $ HMN $ MSFT $ SCHD $ SPHD $ SPY";;;;"883402148477665280";https://twitter.com/FASTGraphs/status/883402148477665280
sautterlas65;2017-07-07 14:54;0;0;"Trump is all about #defense . He wants to spend a lot and sell a lot to the scared world. $ LMT $ RTN $ HEI $ GD $ LLL $ BA http:// fingfx.thomsonreuters.com/gfx/rngs/USA-T RUMP-BUDGET/0100405W0DC/ …";;;#defense;"883398892494110721";https://twitter.com/sautterlas65/status/883398892494110721
WUMoneyClub;2017-07-07 14:18;0;0;"The 10 Safest Blue-Chip Dividends on Wall Street $ GD $ TXN $ JNJ ... http:// investorplace.com/2017/07/safest -blue-chip-dividend-stocks-wall-street/ …";;;;"883389826074005504";https://twitter.com/WUMoneyClub/status/883389826074005504
InvestorPlace;2017-07-07 14:16;1;0;"The 10 Safest Blue-Chip Dividends on Wall Street $ GD $ TXN $ JNJ ... http:// investorplace.com/2017/07/safest -blue-chip-dividend-stocks-wall-street/ …";;;;"883389247712935937";https://twitter.com/InvestorPlace/status/883389247712935937
