username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AMElolzz;2017-07-08 03:10;0;0;"Is $ ELED less than $4k to a 50p% gain? YES. $ VRX $ KR $ CHRO $ BABA $ GOOGL $ CVX $ GE $ XOM $ F $ FRO $ FB $ JNJ $ BP $IBM… https:// twitter.com/i/web/status/8 83340106404438016 …";;;;"883583988580978688";https://twitter.com/AMElolzz/status/883583988580978688
ZolmaxNews;2017-07-08 03:06;0;0;"Investors Purchase High Volume of Call Options on General Electric Company $ GE http:// ift.tt/2sAbsp0";;;;"883583045386862592";https://twitter.com/ZolmaxNews/status/883583045386862592
dailypoliticaln;2017-07-08 03:06;0;0;"Investors Buy High Volume of Put Options on General Electric Company $ GE http:// ift.tt/2uUQEtt";;;;"883582984410062848";https://twitter.com/dailypoliticaln/status/883582984410062848
VistaPResearch;2017-07-08 02:49;0;0;"@kainelso thanks for follow! See Vista Partners #investingForGrowth #tech http://www. vistapglobal.com $ GE $ IBM pic.twitter.com/ulY44UaCFY";;@kainelso;#investingForGrowth #tech;"883578671927140352";https://twitter.com/VistaPResearch/status/883578671927140352
usnews;2017-07-08 01:52;1;0;"An analyst has expressed doubts about @GeneralElectric 's earnings outlook. http:// trib.al/iUspCAg $ GE";;@GeneralElectric;;"883564322684796928";https://twitter.com/usnews/status/883564322684796928
RatingsNetwork;2017-07-08 01:51;0;0;"General Electric Company upgraded by Vetr Inc. to strong-buy. $30.48 PT. http:// ift.tt/2tWXpgK $ GE #GE";;;#GE;"883564169542455297";https://twitter.com/RatingsNetwork/status/883564169542455297
TrackerLed;2017-07-08 01:38;0;0;"http:// smq.tc/1VvJJhE << Stock Trading Watch List/Chat/Educational Alerts FREE TRIAL!!! $ MU $ GE $ AKS";;;;"883560892171862016";https://twitter.com/TrackerLed/status/883560892171862016
15minofPham;2017-07-08 00:50;0;0;"52 week low & volume above 3-mth avg: $ HCLP $ SLCA $ TAHO $ RDC $ NBR $ SLV $ DVN $ ORLY $ CAG $ QEP $ CLR $ CRZO $ AAP $ TSCO $ GE $ NFX $ K";;;;"883548851956838401";https://twitter.com/15minofPham/status/883548851956838401
Investing_Books;2017-07-08 00:48;0;0;"Fundamental Analysis For Dummies: http:// amzn.to/2a99Qdv $ KO $ PEP $ DG $ PG $ GE $ AAPL $ WMT";;;;"883548427375833088";https://twitter.com/Investing_Books/status/883548427375833088
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
KerGlobal;2017-07-07 23:28;0;0;"A shortear $ GE !!!!";;;;"883528241390202880";https://twitter.com/KerGlobal/status/883528241390202880
muathe;2017-07-07 23:22;0;0;"[Wkend] U.S. Market Technical Analysis July 8, 2017 $ AMD $ BAC $ RAD $ GE $ CHK $ WFT $ ABEV $ WLL $ VALE $ MU $ AKS $ ESV $ F https:// youtu.be/qAuL1WpW9qk";;;;"883526639254163457";https://twitter.com/muathe/status/883526639254163457
pennyomegaCRWE;2017-07-07 20:33;0;0;"Report Sees Vibration Monitoring Market Reaching $1.85B by 2023 - $ NATI , $ EMR , $ GE , $ ROK , $ ADI http:// crweworld.com/newsroom/prnew swire?rkey=20170707enUK201707077799&filter=10284 …";;;;"883484214972137473";https://twitter.com/pennyomegaCRWE/status/883484214972137473
NewsToDesk;2017-07-07 20:12;0;0;"$ GE $ MSM $ FAST : 3 Top Stocks on Sale This Quarter: http://www. StockNewsWires.com/ge-msm-fast-3- top-stocks-on-sale-this-quarter/ …";;;;"883478761139720192";https://twitter.com/NewsToDesk/status/883478761139720192
Barchart;2017-07-07 20:00;0;1;"Today's Most Active #Options $ AAPL $ TSLA $ AMD $ BAC $ FB $ MSFT $ NVDA $ CHK $ GE $ T See Full List https://www. barchart.com/options/most-a ctive … pic.twitter.com/weJek8gzxs";;;#Options;"883475726284017664";https://twitter.com/Barchart/status/883475726284017664
pennyomegaCRWE;2017-07-07 19:58;0;0;"Report Sees Ind. Control Systems Sec. Market Reaching $13.88B by 2022 - $ SYMC , $ ROK , $ CSCO , $ GE , $ HON , $ IBM , $ INTC http:// crweworld.com/newsroom/prnew swire?rkey=20170707enUK201707077798&filter=10284 …";;;;"883475289526771712";https://twitter.com/pennyomegaCRWE/status/883475289526771712
permabear_uk;2017-07-07 19:52;0;2;"$ GE settled lower for a third day, -0.6% at $26.15. Near/mid term outlook is bearish. Its a problem for the broader equity bullish outlook. pic.twitter.com/5Dt5Vxn6FJ";;;;"883473925216325636";https://twitter.com/permabear_uk/status/883473925216325636
optioncharts;2017-07-07 19:01;0;0;"$ GE high open interest range is 27.00 to 29.50 for option expiration 07/14/2017. http:// bit.ly/2uAiOKU pic.twitter.com/UYbb717eCC";;;;"883460958483599361";https://twitter.com/optioncharts/status/883460958483599361
SPNewsAnalysis;2017-07-07 18:47;0;0;"Somewhat Positive Media Coverage Likely to Affect General Electric Company $ GE Stock Price http:// ift.tt/2tyYvxb";;;;"883457412971339777";https://twitter.com/SPNewsAnalysis/status/883457412971339777
passthepuck;2017-07-07 18:35;0;0;"CBD from @HempMedsPx could very well become the "Fountain of Youth!" $ MJNA $ EAPH $ CBICF $ HEMP $ MINE $ EFFI $ LATF $ RFMK $ CBIS $ MDIN $ POTN $ GE";;@HempMedsPx;;"883454530490322945";https://twitter.com/passthepuck/status/883454530490322945
SleekMoneycom;2017-07-07 18:31;0;0;"Somewhat Positive Media Coverage Likely to Affect General Electric Company $ GE Stock Price http:// ift.tt/2sWjNTs";;;;"883453478936481793";https://twitter.com/SleekMoneycom/status/883453478936481793
CashflowStocks1;2017-07-07 18:29;0;0;"http:// smq.tc/1BFjMXK Pennystocking Silver will teach you THE trading strategy for success! $ DAL $ ESI $ GE $ INTC $ CBSH";;;;"883452889884012544";https://twitter.com/CashflowStocks1/status/883452889884012544
SM1llionaires;2017-07-07 18:16;0;0;"http:// bit.ly/2frwTWo JasonBonds chatroom for stocks is a VERY valuable resource! $ OCLR $ GE $ SMH";;;;"883449617475551232";https://twitter.com/SM1llionaires/status/883449617475551232
LBICase;2017-07-07 18:12;0;0;"$ GE";;;;"883448614244282370";https://twitter.com/LBICase/status/883448614244282370
FinInvTr;2017-07-07 18:07;0;0;"Bridgewater Keeps Faith In "Old Economy" Names $ INTC $ GE $ DVN $ SWN $ M $ BBBY http:// buff.ly/2sW6gv6";;;;"883447281667772417";https://twitter.com/FinInvTr/status/883447281667772417
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
FinInvTr;2017-07-07 17:22;0;0;"Bridgewater Keeps Faith In "Old Economy" Names $ INTC $ GE $ DVN $ SWN $ M $ BBBY http:// buff.ly/2uA57eO";;;;"883436196587855873";https://twitter.com/FinInvTr/status/883436196587855873
JorelLaraKalel;2017-07-07 17:15;1;0;"3 Dow Jones Stocks at Risk Right Now http:// bit.ly/2tSiOrU $ CVX $ GE $ IBM @investorplace";;@investorplace;;"883434371872673794";https://twitter.com/JorelLaraKalel/status/883434371872673794
ConfluenceCptl;2017-07-07 16:55;0;0;"$ GE No Man's Land pic.twitter.com/Q3CqPfiisO";;;;"883429356101677056";https://twitter.com/ConfluenceCptl/status/883429356101677056
PortfolioGuru;2017-07-07 16:49;0;0;"My RM column on $ GE and oil prices. With $ BHGE deal is done, $ GE longs need higher crude prices to recoup '17 losses https:// lnkd.in/dyfm68R";;;;"883427695840944132";https://twitter.com/PortfolioGuru/status/883427695840944132
IRAMarketReport;2017-07-07 16:43;0;0;"Hartford Investment Management Co. Has $60.72 Million Position in General Electric Company $ GE http:// ift.tt/2tVIpA5";;;;"883426175451791360";https://twitter.com/IRAMarketReport/status/883426175451791360
chaffeybreeze;2017-07-07 16:39;0;0;"Hartford Investment Management Co. Has $60.72 Million Position in General Electric Company $ GE http:// ift.tt/2tVIpA5";;;;"883425231951585280";https://twitter.com/chaffeybreeze/status/883425231951585280
ProVesting;2017-07-07 16:35;0;0;"$ BHI $ BHGE $ GE : Does GE-Baker Hughes Merger Come at the Wrong Time?: http://www. StockNewsWires.com/bhi-bhge-ge-do es-ge-baker-hughes-merger-come-at-the-wrong-time/ …";;;;"883424148969607168";https://twitter.com/ProVesting/status/883424148969607168
MarketNewsAlgo;2017-07-07 16:34;0;0;"Why GE's Stock Has Underperformed in 2017 http:// industrial.newsmovingmarkets.com/2017/07/why-ge s-stock-has-underperformed-in-2017.html … $ GE";;;;"883424066836803584";https://twitter.com/MarketNewsAlgo/status/883424066836803584
Mkt5Challenge;2017-07-07 16:31;0;0;"The top five most active stocks today were $ AMD , $ BAC , $ GE , $ CHK , and $ MU .";;;;"883423216324276224";https://twitter.com/Mkt5Challenge/status/883423216324276224
ITRADEVOL;2017-07-07 16:25;0;0;"Most Active After Hours Trading $ GDX $ LQD $ EEM $ BAC $ SPY $ GE $ ITB $ FCX $ EFA $ PFE $ EQT $ WFC $ MSFT $ INTC $ AAPL $ TWTR https:// marketchameleon.com/Reports/AfterH oursTrading …";;;;"883421758103179265";https://twitter.com/ITRADEVOL/status/883421758103179265
ITRADEVOL;2017-07-07 16:22;0;0;"Buy Side Closing Order Imbalances $ EQT $ GE $ CF $ VZ $ JPM $ XOM $ EXC $ EGN $ TGNA $ K $ KO $ DNR $ SLB $ AWH $ DOW $ FDC $ OKE https:// marketchameleon.com/Reports/StockO rderImbalanceReport …";;;;"883421007461187589";https://twitter.com/ITRADEVOL/status/883421007461187589
retiredtennis;2017-07-07 16:10;0;0;"A seeking alpha bull on $ GE . https:// seekingalpha.com/article/408622 6-general-electric-buy-dip-will-last?app=1&uprof=46&isDirectRoadblock=false …";;;;"883417994285776897";https://twitter.com/retiredtennis/status/883417994285776897
FalconStocks;2017-07-07 16:05;0;1;". NYSE Quadruple! 94% Avg Gain Unbiased http:// FalconStocks.com . . $ AMD $ EEM $ VXX $ RAD $ XLF $ USO $ DCTH $ BAC $ GDX $ CHK $ SPY $ QQQ $ GE $ FTR pic.twitter.com/G2DfVeZjUx";;;;"883416797747269632";https://twitter.com/FalconStocks/status/883416797747269632
MITickWatcher;2017-07-07 16:05;0;0;"Top #moneyflow for #sp500 today $ GE $ INTC $ GOOG $ CSCO $ AMZN $ LOW $ MA $ CAG $ T $ JNJ ... https:// appsto.re/i6hH3LG";;;#moneyflow #sp500;"883416596751974400";https://twitter.com/MITickWatcher/status/883416596751974400
MITickWatcher;2017-07-07 16:05;0;0;"Top #moneyflow for whole #market today $ EEM $ DXJ $ LQD $ GLD $ HYG $ SPY $ GE $ LVS $ WBA $ VRSN ... https:// appsto.re/i6hH3LG";;;#moneyflow #market;"883416581375750144";https://twitter.com/MITickWatcher/status/883416581375750144
Investing_Books;2017-07-07 16:03;1;0;"Book of Value: The Fine Art of Investing Wisely by Anurag Sharma: http:// amzn.to/2a1g2IL $ KO $ GE $ WDC $ PEP $ T $ VZ";;;;"883416310553747456";https://twitter.com/Investing_Books/status/883416310553747456
finzine;2017-07-07 16:03;0;0;"$ GE Why GE's Stock Has Underperformed in 2017 http:// finance.yahoo.com/r/ad229dd0-542 4-3112-87b2-080b771d49bd/why-ges-stock-has-underperformed-in-2017 …";;;;"883416214076260353";https://twitter.com/finzine/status/883416214076260353
usnews;2017-07-07 15:51;1;0;"An analyst has expressed doubts about @GeneralElectric 's earnings outlook. http:// trib.al/Wzdc66E $ GE";;@GeneralElectric;;"883413198254288900";https://twitter.com/usnews/status/883413198254288900
ProVesting;2017-07-07 15:50;0;0;"$ GE : Why GE’s Stock Has Underperformed in 2017: http://www. StockNewsWires.com/ge-why-ges-sto ck-has-underperformed-in-2017/ …";;;;"883412812583755780";https://twitter.com/ProVesting/status/883412812583755780
WUMoneyClub;2017-07-07 15:33;0;0;"3 Dow Jones Stocks at Risk Right Now $ CVX $ GE $ IBM - http:// investorplace.com/2017/07/3-dow- jones-stocks-at-risk-right-now-cvx-ge-ibm …";;;;"883408633903665152";https://twitter.com/WUMoneyClub/status/883408633903665152
InvestorPlace;2017-07-07 15:30;1;0;"3 Dow Jones Stocks at Risk Right Now $ CVX $ GE $ IBM - http:// investorplace.com/2017/07/3-dow- jones-stocks-at-risk-right-now-cvx-ge-ibm …";;;;"883407905717981186";https://twitter.com/InvestorPlace/status/883407905717981186
reemwiththestok;2017-07-07 15:22;0;1;"Took some $ GE July 21 27.50 C's avg .07";;;;"883405988904259584";https://twitter.com/reemwiththestok/status/883405988904259584
outperforming_U;2017-07-07 15:18;0;0;"$ GS $ GE $ EXPR Find the best stocks to trade URL: http:// bit.ly/2ujNr6h pic.twitter.com/jMuZysU0GO";;;;"883404866764234752";https://twitter.com/outperforming_U/status/883404866764234752
TheMarketsDaily;2017-07-07 15:08;0;0;"General Electric Company $ GE PT Set at $29.00 by Goldman Sachs Group, Inc. $ The http:// zpr.io/PdWdG";;;;"883402411766710275";https://twitter.com/TheMarketsDaily/status/883402411766710275
dailypoliticaln;2017-07-07 15:01;0;0;"General Electric Company’s $ GE “Underweight” Rating Reaffirmed at J P Morgan Chase & Co http:// ift.tt/2sVIkrI";;;;"883400675039641607";https://twitter.com/dailypoliticaln/status/883400675039641607
TickwatcherMF;2017-07-07 15:01;0;0;"Top #money flow today. Free stocks app http://www. mystockstation.com / $ EEM , $ AAPL , $ SPY , $ QQQ , $ LQD , $ AGG , $ HYG , $ EUFN , $ GLD , $ BND , $ GE , ... pic.twitter.com/rKV3ojVr9G";;;#money;"883400490997784577";https://twitter.com/TickwatcherMF/status/883400490997784577
