username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NewsToDesk;2017-07-08 03:03;0;0;"$ GM : China’s FAW to recall 680000 more Mazda cars over faulty Takata …: http://www. StockNewsWires.com/gm-chinas-faw- to-recall-680000-more-mazda-cars-over-faulty-takata/ …";;;;"883582220081913856";https://twitter.com/NewsToDesk/status/883582220081913856
TimmyTrader1;2017-07-08 02:48;0;0;"http:// smq.tc/1VvJJhE < FREE TRIAL stock alerts, Jason Bond has created a millionaire trader. $ gdx $ gld $ gm $ gs";;;;"883578493103095808";https://twitter.com/TimmyTrader1/status/883578493103095808
ProVesting;2017-07-08 00:58;0;0;"$ GM $ F $ FCAU $ RICE : When Cheap Thrills Are Too Cheap: http://www. StockNewsWires.com/gm-f-fcau-rice -when-cheap-thrills-are-too-cheap/ …";;;;"883550716299591680";https://twitter.com/ProVesting/status/883550716299591680
Investing_Books;2017-07-08 00:18;0;0;"Dividend Stocks For Dummies: http:// amzn.to/29JKbds $ WMB $ CTL $ HCP $ NOV $ OKE $ GM $ VLO $ HST $ MAT $ T";;;;"883540878299627521";https://twitter.com/Investing_Books/status/883540878299627521
newswelldone;2017-07-07 22:07;0;0;"$ TSLA $ GM $ F : Tesla April registrations drop in key California market: http://www. StockNewsWires.com/tsla-gm-f-tesl a-april-registrations-drop-in-key-california-market/ …";;;;"883507707843461120";https://twitter.com/newswelldone/status/883507707843461120
TeslaNY;2017-07-07 22:01;0;1;"#SmartCharge New York: Get Paid To Charge Your #EV http:// insideevs.com/smartcharge-ne w-york-get-paid-to-charge-your-ev/ … #Tesla $ F $ GM $ NSANY $ TM $ TSLA $ VLKAY #ConEdison #FleetCarma pic.twitter.com/CyLEi9gNzU";;;#SmartCharge #EV #Tesla #ConEdison #FleetCarma;"883506270854107136";https://twitter.com/TeslaNY/status/883506270854107136
iSlaptheAsk;2017-07-07 21:09;0;1;"Tesla building 'world's biggest' lithium-ion battery in Australia https://www. cnet.com/news/tesla-bui lding-worlds-biggest-lithium-ion-battery-in-south-australia/ … $ TSLA $ F $ GM $ DDAIF $ BAMXF $ NAV $ URRE $ ALB";;;;"883493329169731584";https://twitter.com/iSlaptheAsk/status/883493329169731584
FinInvTr;2017-07-07 20:17;1;0;"Looking At The Top Contenders For #Tesla M&A Deal - $ F $ GM $ AAPL $ GOOG $ AMZN ? http:// buff.ly/2tl7SSM";;;#Tesla;"883480010149048320";https://twitter.com/FinInvTr/status/883480010149048320
TranscriptDaily;2017-07-07 19:38;0;0;"Edgar Lomax Co. VA Has $9.82 Million Stake in General Motors Company $ GM http:// ift.tt/2sQ23xY";;;;"883470359516909572";https://twitter.com/TranscriptDaily/status/883470359516909572
FinInvTr;2017-07-07 18:07;0;0;"Greenlight Capital: Top Stock Holdings $ GM $ AAPL $ AER $ PRGO $ MU http:// buff.ly/2sW4Fpg";;;;"883447304795168769";https://twitter.com/FinInvTr/status/883447304795168769
FinInvTr;2017-07-07 17:43;0;1;"Greenlight Capital: Top Stock Holdings $ GM $ AAPL $ AER $ PRGO $ MU http:// buff.ly/2uTRd6J";;;;"883441281359335424";https://twitter.com/FinInvTr/status/883441281359335424
dakotafinancial;2017-07-07 17:31;0;0;"General Motors Company $ GM Position Increased by Thrivent Financial For Lutherans http:// ift.tt/2syX00K";;;;"883438372181733376";https://twitter.com/dakotafinancial/status/883438372181733376
bluff_capital;2017-07-07 17:23;0;0;"$ GM $ F http://www. barrons.com/articles/s-p-s ees-continued-weak-demand-for-cars-1499460316?mod=BOL_da_rta …";;;;"883436213876793344";https://twitter.com/bluff_capital/status/883436213876793344
vliscony;2017-07-07 17:03;1;0;"Commented on How The Chevrolet Bolt Strangled Tesla's U.S. Growth Rate Down To Only 6% https:// seekingalpha.com/article/408634 7-chevrolet-bolt-strangled-teslas-u-s-growth-rate-6-percent?source=tweet … $ GM $ TTM $ TSLA";;;;"883431243186135040";https://twitter.com/vliscony/status/883431243186135040
ChadTrading;2017-07-07 16:57;0;0;"http:// smq.tc/2aDA08m << Preview TextBook Trading DVD from Investors Live! $ GM $ EXAS $ F $ BMY";;;;"883429743038578688";https://twitter.com/ChadTrading/status/883429743038578688
SFBusinessTimes;2017-07-07 16:56;2;0;"Why $ GM 's #selfdrivingcars may be first to hit the road for consumers http:// bizj.us/1p8bq4 pic.twitter.com/8Yrw2audjL";;;#selfdrivingcars;"883429424946962432";https://twitter.com/SFBusinessTimes/status/883429424946962432
