username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pennyomegaCRWE;2017-07-07 19:58;0;0;"Report Sees Ind. Control Systems Sec. Market Reaching $13.88B by 2022 - $ SYMC , $ ROK , $ CSCO , $ GE , $ HON , $ IBM , $ INTC http:// crweworld.com/newsroom/prnew swire?rkey=20170707enUK201707077798&filter=10284 …";;;;"883475289526771712";https://twitter.com/pennyomegaCRWE/status/883475289526771712
WatchlistN;2017-07-07 18:57;0;0;"Analysts Set Honeywell International Inc. $ HON Price Target at $135.25 http:// ift.tt/2sWuBkq";;;;"883459946582597632";https://twitter.com/WatchlistN/status/883459946582597632
ZolmaxNews;2017-07-07 17:41;0;0;"Honeywell International $ HON Getting Favorable News Coverage, Analysis Shows http:// ift.tt/2tqGMth";;;;"883440841766907905";https://twitter.com/ZolmaxNews/status/883440841766907905
TV_TradingIdeas;2017-07-07 13:39;0;0;"Buy HON here...stop loss at 133.82\u2026 $ HON http://www. tradingview.com/chart/HON/4phK yjVc-Buy-HON-here-stop-loss-at-133-82-RR-is-4-5-to-1/ …";;;;"883379916779118593";https://twitter.com/TV_TradingIdeas/status/883379916779118593
ProfileScanner;2017-07-07 13:39;0;0;"Buy HON here...stop loss at 133.82...RR is 4.5 to 1 - $ HON chart http://www. tradingview.com/chart/HON/4phK yjVc-Buy-HON-here-stop-loss-at-133-82-RR-is-4-5-to-1/ …";;;;"883379916586209280";https://twitter.com/ProfileScanner/status/883379916586209280
IRAMarketReport;2017-07-07 12:27;0;0;"Honeywell International $ HON vs. Trinity Industries $ TRN Financial Contrast http:// ift.tt/2sOHe67";;;;"883361846039859201";https://twitter.com/IRAMarketReport/status/883361846039859201
chaffeybreeze;2017-07-07 12:24;0;0;"Honeywell International $ HON vs. Trinity Industries $ TRN Financial Contrast http:// ift.tt/2sOHe67";;;;"883361147709214720";https://twitter.com/chaffeybreeze/status/883361147709214720
itsDINGY;2017-07-07 11:30;0;1;"Listen to $ wangin ' (ft. 32nd Khalif) [Prod. By $ hon 's Town] by Tommie D #np on #SoundCloud https:// soundcloud.com/tommie-d/wangi n-ft-32nd-khalif-prod-by-hons-town …";;;#np #SoundCloud;"883347542532124673";https://twitter.com/itsDINGY/status/883347542532124673
pennyomegaCRWE;2017-07-07 11:24;0;0;"Highlights on $ GE , $ ABB , $ DHR , $ HON http:// crweworld.com/newsroom/prnew swire?rkey=20170707enUK201707077767&filter=10284 …";;;;"883346091382460416";https://twitter.com/pennyomegaCRWE/status/883346091382460416
MarketNewsAlgo;2017-07-07 10:06;0;0;"Honeywell Boosts Its Shanghai Avionics Repair Capabilities http:// industrial.newsmovingmarkets.com/2017/07/honeyw ell-boosts-its-shanghai-avionics.html … $ HON";;;;"883326359287853056";https://twitter.com/MarketNewsAlgo/status/883326359287853056
