username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VistaPResearch;2017-07-08 01:53;0;0;"@Foodpowergroup thanks for follow! See Vista Partners #InvestingForLife #Dow30 #healthcare http://www. vistapglobal.com $ HIIQ $ IBB $ JNJ $ PFE pic.twitter.com/7vn4cWknVp";;@Foodpowergroup;#InvestingForLife #Dow30 #healthcare;"883564640445136896";https://twitter.com/VistaPResearch/status/883564640445136896
Investing_Books;2017-07-08 00:33;0;0;"The Defensive Value Investor by John Kingham: http:// amzn.to/29FW9SY $ KO $ PEP $ DG $ JNJ $ PG $ MCD $ ADM";;;;"883544652447719425";https://twitter.com/Investing_Books/status/883544652447719425
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
MelaynaLokosky;2017-07-07 22:45;0;0;"#CleanUpYourMesh $ JNJ https:// twitter.com/MeshAwareness/ status/883511385749159936 …";;;#CleanUpYourMesh;"883517344303112192";https://twitter.com/MelaynaLokosky/status/883517344303112192
SwingingForward;2017-07-07 22:20;1;1;"LONG TERM HOLDS $ LMT $ AMD $ BA $ JNJ $ CSCO $ WMT $ BRK.B $ GS $ HAS $ BABA $ NAK $ DIS $ TSLA $ AMZN $ SHOP $ AAPL #stocks pic.twitter.com/tZ43G54LIb";;;#stocks;"883511010526724096";https://twitter.com/SwingingForward/status/883511010526724096
midetimes;2017-07-07 22:01;0;0;"Johnson & Johnson $ JNJ Receives $131.01 Average Price Target from Analysts http:// ift.tt/2sWVgO2";;;;"883506282560446464";https://twitter.com/midetimes/status/883506282560446464
TheMarketsDaily;2017-07-07 21:56;0;0;"Johnson & Johnson $ JNJ Receives $131.01 Average Price Target from Analysts http:// zpr.io/PeU54";;;;"883504960108994561";https://twitter.com/TheMarketsDaily/status/883504960108994561
TradeCNBC;2017-07-07 21:00;0;0;"Just watching @MadMoneyOnCNBC Heard @jimcramer use the "Brothers Johnson" reference $ JNJ No "Strawberry 13," mention? Go @Eagles !";;@MadMoneyOnCNBC @jimcramer @Eagles;;"883491017659494400";https://twitter.com/TradeCNBC/status/883491017659494400
TheMarketsDaily;2017-07-07 19:52;0;0;"Johnson & Johnson $ JNJ Earning Somewhat Positive Press Coverage, Report Finds http:// zpr.io/PeUjT";;;;"883473799005470721";https://twitter.com/TheMarketsDaily/status/883473799005470721
SleekMoneycom;2017-07-07 19:51;0;0;"Johnson & Johnson $ JNJ Earning Somewhat Positive Press Coverage, Report Finds http:// ift.tt/2szhdDE";;;;"883473503978213376";https://twitter.com/SleekMoneycom/status/883473503978213376
pharma_sector;2017-07-07 19:18;0;0;"Here's Why #JohnsonJohnson Is Valued at Its Highest P/E in a Decade. Read more: http:// owler.us/acZyAp $ JNJ";;;#JohnsonJohnson;"883465232785448961";https://twitter.com/pharma_sector/status/883465232785448961
pharma_sector;2017-07-07 18:33;0;0;"Here's Why #JohnsonJohnson Is Valued at Its Highest P/E in a Decade. Read more: http:// owler.us/acZwCY $ JNJ";;;#JohnsonJohnson;"883453846541828097";https://twitter.com/pharma_sector/status/883453846541828097
JorelLaraKalel;2017-07-07 18:27;0;0;"Are These 7 Stocks Worthy Of Further Research? http:// bit.ly/2uU24NO $ CHD $ GIS $ JNJ $ MKC $ NKE $ NVDA $ WBA pic.twitter.com/4jdTYyVxAz";;;;"883452463822635010";https://twitter.com/JorelLaraKalel/status/883452463822635010
finzine;2017-07-07 18:19;0;0;"$ JNJ Here&apos;s Why Johnson & Johnson Is Valued at Its Highest P/E in a Decade http:// finance.yahoo.com/r/4e05c9ce-189 0-379f-9bc6-9119654babbf/heres-why-johnson-johnson-is-valued-at-its-highest.aspx …";;;;"883450351650787328";https://twitter.com/finzine/status/883450351650787328
newswithvalue;2017-07-07 18:06;0;0;"$ JNJ $ GERN : Here’s Why Johnson & Johnson Is Valued at Its Highest P/E in a …: http://www. StockNewsWires.com/jnj-gern-heres -why-johnson-johnson-is-valued-at-its-highest-pe-in-a/ …";;;;"883447051853287424";https://twitter.com/newswithvalue/status/883447051853287424
finzine;2017-07-07 17:49;0;0;"$ JNJ How Johnson & Johnson Has Performed in 2Q17 http:// finance.yahoo.com/r/a722ad2d-d45 f-3564-b299-4253747704fa/how-johnson-johnson-has-performed-in-2q17 …";;;;"883442909533655040";https://twitter.com/finzine/status/883442909533655040
TradePerfection;2017-07-07 17:29;0;0;"http:// smq.tc/29VyxKa < Forex Mentor Pro 1 dollar risk FREE TRIAL! $ SAND $ JNJ $ XLY";;;;"883437793267011585";https://twitter.com/TradePerfection/status/883437793267011585
mr_env_dev;2017-07-07 16:37;0;0;"A Look at US Pharmaceutical and Healthcare Companies in 2Q17 http://localhost?p=2189886 $ JNJ $ BIIB $ AGN $ ZTS";;;;"883424753230499844";https://twitter.com/mr_env_dev/status/883424753230499844
Investing_Books;2017-07-07 16:33;0;0;"The Single Best Investment: Creating Wealth with Dividend Growth by Lowell Miller: http:// amzn.to/2douqID $ JNJ $ PG $ HD $ T $ VZ";;;;"883423860795871237";https://twitter.com/Investing_Books/status/883423860795871237
MarketRealist;2017-07-07 16:22;0;0;"A Look at US Pharmaceutical and Healthcare Companies in 2Q17 http://marketrealist.com?p=2189886 marketrealist.com/?p=2189886 $ JNJ $ BIIB $ AGN $ ZTS";;;;"883421093696024576";https://twitter.com/MarketRealist/status/883421093696024576
MITickWatcher;2017-07-07 16:05;0;0;"Top #moneyflow for #sp500 today $ GE $ INTC $ GOOG $ CSCO $ AMZN $ LOW $ MA $ CAG $ T $ JNJ ... https:// appsto.re/i6hH3LG";;;#moneyflow #sp500;"883416596751974400";https://twitter.com/MITickWatcher/status/883416596751974400
SAlphaTrending;2017-07-07 16:00;0;0;"Does Dividend Growth Investing Have A Place In Your Portfolio? https:// seekingalpha.com/article/408637 0-dividend-growth-investing-place-portfolio?source=feed_t … $ ABT $ CL $ CVX $ INTC $ JNJ $ KMB $ KO $ MCD $ MO $ MSFT";;;;"883415331523313664";https://twitter.com/SAlphaTrending/status/883415331523313664
fezziwig2008;2017-07-07 15:54;0;2;"Interesting $ JNJ threatens $ CELG 's hold on MMyeloma w Darzalex SC a $ HALO partnered Rx - another reason for CELG to buy Halo";;;;"883414012519751680";https://twitter.com/fezziwig2008/status/883414012519751680
SEEKINGALPHA_FS;2017-07-07 15:37;0;1;"Does Dividend Growth Investing Have A Place In Your Portfolio? https:// seekingalpha.com/article/408637 0-dividend-growth-investing-place-portfolio?source=twitter_sa_factset … $ ABT $ CL $ CVX $ INTC $ JNJ $ KMB $ KO $ MCD $ MO $ MSFT";;;;"883409727404646402";https://twitter.com/SEEKINGALPHA_FS/status/883409727404646402
SeekingAlpha;2017-07-07 15:37;1;2;"Does Dividend Growth Investing Have A Place In Your Portfolio? https:// seekingalpha.com/article/408637 0-dividend-growth-investing-place-portfolio?source=feed_f … $ ABT $ CL $ CVX $ INTC $ JNJ $ KMB $ KO $ MCD $ MO $ MSFT";;;;"883409725555056640";https://twitter.com/SeekingAlpha/status/883409725555056640
JorelLaraKalel;2017-07-07 15:09;0;1;"The 10 Safest Blue-Chip Dividends on Wall Street http:// bit.ly/2tqfuU2 $ JNJ $ TJX $ HD $ DIS $ MMM $ UTX $ UNP $ LMT $ TXN $ GD @investorplace";;@investorplace;;"883402705560944640";https://twitter.com/JorelLaraKalel/status/883402705560944640
WatchlistN;2017-07-07 14:53;0;0;"Johnson & Johnson’s $ JNJ “Market Perform” Rating Reaffirmed at Wells Fargo & Company http:// ift.tt/2u0Ezq0";;;;"883398469632655363";https://twitter.com/WatchlistN/status/883398469632655363
iferkong;2017-07-07 14:50;0;0;"$ DXTR CAN'T AFFORD TO MAKE THESE KINDS OF MISTAKES THEY AIN'T NO $ JNJ JESUS FUCK. I'm holding my 20K shares .77 average tho lol";;;;"883397733884715010";https://twitter.com/iferkong/status/883397733884715010
TrustedBinary;2017-07-07 14:20;0;0;"ALERT: New Trending Signal signal created on $ JNJ - Low at 132.17 - Time: 18:20 - Strength: 7. Powered by http:// t.trustedmarkets.com/b2";;;;"883390156358557697";https://twitter.com/TrustedBinary/status/883390156358557697
WUMoneyClub;2017-07-07 14:18;0;0;"The 10 Safest Blue-Chip Dividends on Wall Street $ GD $ TXN $ JNJ ... http:// investorplace.com/2017/07/safest -blue-chip-dividend-stocks-wall-street/ …";;;;"883389826074005504";https://twitter.com/WUMoneyClub/status/883389826074005504
InvestorPlace;2017-07-07 14:16;1;0;"The 10 Safest Blue-Chip Dividends on Wall Street $ GD $ TXN $ JNJ ... http:// investorplace.com/2017/07/safest -blue-chip-dividend-stocks-wall-street/ …";;;;"883389247712935937";https://twitter.com/InvestorPlace/status/883389247712935937
Options_Experts;2017-07-07 14:14;0;1;"We are #1 in options trading and spread investing. http://www. Optionspreadstrategies.com Results driven! $ GE $ BABA $ SPY $ QQQ $ FB $ JNJ";;;#1;"883388823895396353";https://twitter.com/Options_Experts/status/883388823895396353
