username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dailypoliticaln;2017-07-08 04:16;0;0;"James Investment Research Inc. Cuts Stake in J P Morgan Chase & Co $ JPM http:// ift.tt/2u2PVK2";;;;"883600646737416193";https://twitter.com/dailypoliticaln/status/883600646737416193
WKRBNews;2017-07-08 04:15;0;0;"Diversified Trust Co Sells 744 Shares of J P Morgan Chase & Co $ JPM http:// ift.tt/2sQR33c";;;;"883600446396538880";https://twitter.com/WKRBNews/status/883600446396538880
ZolmaxNews;2017-07-08 04:11;0;0;"Clark Estates Inc. NY Sells 725 Shares of J P Morgan Chase & Co $ JPM http:// ift.tt/2tXdVxg";;;;"883599435263029248";https://twitter.com/ZolmaxNews/status/883599435263029248
SleekMoneycom;2017-07-08 04:11;0;0;"Monarch Capital Management Inc. Sells 716 Shares of J P Morgan Chase & Co $ JPM http:// ift.tt/2tSBGam";;;;"883599328731959296";https://twitter.com/SleekMoneycom/status/883599328731959296
WKRBNews;2017-07-08 04:11;0;0;"Diversified Trust Co Sells 744 Shares of J P Morgan Chase & Co $ JPM http:// ift.tt/2tzZbT4";;;;"883599324168499200";https://twitter.com/WKRBNews/status/883599324168499200
newswithvalue;2017-07-08 02:45;0;0;"$ VNTV $ WPYGY $ JPM : Here Are The 5 Stories Europe Was Talking About This Week: http://www. StockNewsWires.com/vntv-wpygy-jpm -here-are-the-5-stories-europe-was-talking-about-this-week/ …";;;;"883577645891436544";https://twitter.com/newswithvalue/status/883577645891436544
VistaPResearch;2017-07-08 01:58;0;0;"@_backlink_ thanks for RT! See Vista Partners #InvestingForGrowth #Dow30 http://www. vistapglobal.com $ WMT $ DD $ JPM $ GS pic.twitter.com/LmwE9tZGtk";;@_backlink_;#InvestingForGrowth #Dow30;"883565910782496768";https://twitter.com/VistaPResearch/status/883565910782496768
SiriusTrader;2017-07-08 01:26;0;0;"http:// smq.tc/1VvJJhE *FREE TRIAL* trade alerts, Get educated on how to stock trade. $ YUM $ STMP $ JPM";;;;"883557839595225088";https://twitter.com/SiriusTrader/status/883557839595225088
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
PipsToDollars;2017-07-07 22:41;0;4;"WL for next week: M: $ APRN options T: $ PEP $ AMZN PRIME DAY TH: $ DAL F: $ JPM $ C $ WFC $ SAVE $ RTN $ BA pic.twitter.com/ZYUkt0Vyps";;;;"883516451461529601";https://twitter.com/PipsToDollars/status/883516451461529601
tybarto1;2017-07-07 21:51;0;0;"$ Db trades at a discount to $ JPM because of wall street's lack of confidence in db's book of loans that include trump.";;;;"883503681144008704";https://twitter.com/tybarto1/status/883503681144008704
CashflowStocks1;2017-07-07 21:29;0;0;"http:// smq.tc/1BFjMXK Purchase Pennystocking Silver so you can learn to be a self sufficient trader! $ JPM $ PTCT $ SDRL $ XLF";;;;"883498184470691840";https://twitter.com/CashflowStocks1/status/883498184470691840
FinInvTr;2017-07-07 21:01;0;0;"M&A League Tables http:// buff.ly/2tlB24e $ GS $ MS $ JPM $ C $ BAC";;;;"883491239223599104";https://twitter.com/FinInvTr/status/883491239223599104
TickwatcherMF;2017-07-07 21:01;2;0;"Top #money flow today. Free stocks app http://www. mystockstation.com / $ LQD , $ SPY , $ EEM , $ AAPL , $ CVX , $ QQQ , $ TLT , $ GDX , $ HYG , $ JPM , $ DXJ , ... pic.twitter.com/o5xn8k4FWh";;;#money;"883491082700562432";https://twitter.com/TickwatcherMF/status/883491082700562432
noshortre;2017-07-07 20:35;0;0;"Thx! Much longer data set (from '98). Way better evidence against the perpetrators! @federalreserve $ JPM $ DB";;@federalreserve;;"883484572113027072";https://twitter.com/noshortre/status/883484572113027072
ExactOptionPick;2017-07-07 20:00;0;0;"Don't miss our next FREE OPTION TRADE. Sign up for our Daily Free Trades at http:// ow.ly/B21m30dqfA3 $ NVDA $ TSLA $ GS $ JPM $ BAC $ GOOGL $ FB";;;;"883475836971741184";https://twitter.com/ExactOptionPick/status/883475836971741184
briancyork;2017-07-07 19:41;0;0;"@chase $ jpm will close your accounts (indirectly) for leaving a @yelp or @google review about a branch";;@chase @yelp @google;;"883471168300359681";https://twitter.com/briancyork/status/883471168300359681
briancyork;2017-07-07 19:38;0;0;"A regional manager @chase also attempted to deny me a right to free speech and also was given a fabricated story $ jpm";;@chase;;"883470404878204929";https://twitter.com/briancyork/status/883470404878204929
briancyork;2017-07-07 19:36;0;0;"@chase corporate refused to hear my story. The customer is always wrong at $ jpm so enabling employee lies and hurting share holders";;@chase;;"883469817734455296";https://twitter.com/briancyork/status/883469817734455296
briancyork;2017-07-07 19:34;0;0;"You can't give honest reviews of @chase on @yelp as the manager fabricated a story to get my accounts closed and no one at $ jpm cares";;@chase @yelp;;"883469243207098368";https://twitter.com/briancyork/status/883469243207098368
briancyork;2017-07-07 19:32;0;0;"@chase branch manager's employee messsed up a large 5 didget check and the next day Ellen shrugged it off with "mistakes happen" $ jpm";;@chase;;"883468869381349383";https://twitter.com/briancyork/status/883468869381349383
briancyork;2017-07-07 19:30;0;0;"@chase branch manager made up a slanderous lie about me to get my accounts close to cover up her poorly ran branch. Lots of mistakes $ jpm";;@chase;;"883468332095213569";https://twitter.com/briancyork/status/883468332095213569
StockNewsWires;2017-07-07 19:25;0;0;"$ PEP $ AMZN $ GIS $ DAL $ JPM : Employment Drives Friday’s Gains: Cramer’s ‘Mad Money’ Recap …: http://www. StockNewsWires.com/pep-amzn-gis-d al-jpm-employment-drives-fridays-gains-cramers-mad-money-recap/ …";;;;"883466913765916672";https://twitter.com/StockNewsWires/status/883466913765916672
FinInvTr;2017-07-07 19:17;1;0;"Why Is Half The Dow Struggling? $ INTC $ XOM $ IBM $ JPM $ GS $ CVX $ DIS $ VZ $ PFE $ DIA http:// buff.ly/2uODqyf";;;;"883465058227040256";https://twitter.com/FinInvTr/status/883465058227040256
outperforming_U;2017-07-07 19:11;0;0;"$ MCK $ KMPR $ JPM Algorithmic Long/Short Signals URL: http:// bit.ly/2ujQdZc pic.twitter.com/xHfB52axfx";;;;"883463537280135168";https://twitter.com/outperforming_U/status/883463537280135168
WallStCritic;2017-07-07 19:10;0;0;"I don't think $ JPM has his back anymore so things are getting serious quickly, but the move still surprised me. I'm further surprised the";;;;"883463282149007364";https://twitter.com/WallStCritic/status/883463282149007364
JorelLaraKalel;2017-07-07 18:36;0;0;"Jim Cramer Next Week's Game Plan http:// cnb.cx/2sPX7Jr http:// amzn.to/2tVH6RE $ PEP $ AMZN $ GIS $ DAL $ C $ JPM $ WFC pic.twitter.com/XAbrmI6Lg3";;;;"883454719682916356";https://twitter.com/JorelLaraKalel/status/883454719682916356
