username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DailyStockPlays;2017-07-08 03:10;0;0;"Large Call Buyers http://www. dailystockplays.com/Unusual-Call-O ption-Activity-Today-2017-07-07.html … $ KHC $ WFT $ OCUL $ YUMC $ TNA $ SSO $ BUD $ AZN $ UAL $ SLV $ T $ STM $ HES $ AKS $ FEYE $ SWN $ AMAT $ DAL $ APA";;;;"883584113172774912";https://twitter.com/DailyStockPlays/status/883584113172774912
SleekMoneycom;2017-07-08 02:16;0;0;"The Kraft Heinz Company Sees Unusually Large Options Volume $ KHC http:// ift.tt/2uBdRS0";;;;"883570374700662784";https://twitter.com/SleekMoneycom/status/883570374700662784
WatchlistN;2017-07-08 01:52;0;0;"Stock Traders Purchase Large Volume of Call Options on The Kraft Heinz Company $ KHC http:// ift.tt/2u2tjt4";;;;"883564409368571904";https://twitter.com/WatchlistN/status/883564409368571904
Investing_Books;2017-07-08 01:33;1;1;"The Warren Buffett Way by Robert G. Hagstrom: http:// amzn.to/29LoWYE $ KO $ BRK $ PG $ WMT $ AAPL $ WFC $ KHC";;;;"883559756425723904";https://twitter.com/Investing_Books/status/883559756425723904
TickerReport;2017-07-07 20:37;0;0;"Head-To-Head Survey: Mondelez International $ MDLZ versus The Kraft Heinz Company $ KHC http:// ift.tt/2u1JNBK";;;;"883485045306122240";https://twitter.com/TickerReport/status/883485045306122240
intercooleronli;2017-07-07 20:36;0;0;"Head-To-Head Survey: Mondelez International $ MDLZ versus The Kraft Heinz Company $ KHC http:// ift.tt/2uAaoTJ";;;;"883484864107958277";https://twitter.com/intercooleronli/status/883484864107958277
TickerReport;2017-07-07 20:32;0;0;"Head-To-Head Survey: Mondelez International $ MDLZ versus The Kraft Heinz Company $ KHC http:// ift.tt/2szEJQE";;;;"883483914072977409";https://twitter.com/TickerReport/status/883483914072977409
SPNewsAnalysis;2017-07-07 20:32;0;0;"Head-To-Head Survey: Mondelez International $ MDLZ versus The Kraft Heinz Company $ KHC http:// ift.tt/2sX6jXs";;;;"883483811828420609";https://twitter.com/SPNewsAnalysis/status/883483811828420609
emq_news;2017-07-07 20:29;0;0;"Head-To-Head Survey: Mondelez International $ MDLZ versus The Kraft Heinz Company $ KHC http:// ift.tt/2szEJQE";;;;"883483041292746753";https://twitter.com/emq_news/status/883483041292746753
Trading2Stock;2017-07-07 20:24;0;0;"http:// smq.tc/1L9EsXE MILLIONAIRE TRADER Super_Trades is making alot of money in 2015!! http:// smq.tc/1L9EsXE $ DGLY $ ENV $ KHC";;;;"883481834683629569";https://twitter.com/Trading2Stock/status/883481834683629569
IRAMarketReport;2017-07-07 17:52;0;0;"The Kraft Heinz Company Sees Unusually Large Options Volume $ KHC http:// ift.tt/2tRRLgg";;;;"883443622934433792";https://twitter.com/IRAMarketReport/status/883443622934433792
chaffeybreeze;2017-07-07 17:49;0;0;"The Kraft Heinz Company Sees Unusually Large Options Volume $ KHC http:// ift.tt/2tRRLgg";;;;"883442799856820224";https://twitter.com/chaffeybreeze/status/883442799856820224
TheMarketsDaily;2017-07-07 16:40;0;0;"2,279 Shares in The Kraft Heinz Company $ KHC Acquired by Independence Trust CO http:// zpr.io/PdQXJ";;;;"883425488450048001";https://twitter.com/TheMarketsDaily/status/883425488450048001
1MinuteStock;2017-07-07 16:36;0;0;"Wondering about risks of $ KHC ? The 21-day volatility is 4.12% https:// unicornbay.com/t/KHC.US?utm_m edium=tweet&utm_campaign=volatility&utm_source=twitter …";;;;"883424390418800641";https://twitter.com/1MinuteStock/status/883424390418800641
1MinuteStock;2017-07-07 16:15;0;0;"Do you know that #WallStreet price for $ KHC is $90.29 https:// unicornbay.com/t/KHC.US?utm_m edium=tweet&utm_campaign=wallstreet&utm_source=twitter …";;;#WallStreet;"883419104782057472";https://twitter.com/1MinuteStock/status/883419104782057472
NewsToDesk;2017-07-07 16:15;0;0;"$ KHC : Kraft Heinz May Cause Indigestion: http://www. StockNewsWires.com/khc-kraft-hein z-may-cause-indigestion/ …";;;;"883419099929247744";https://twitter.com/NewsToDesk/status/883419099929247744
