username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SleekMoneycom;2017-07-08 05:06;0;0;"First Foundation Advisors Invests $575,000 in Kimberly-Clark Corporation $ KMB http:// ift.tt/2tXjwUi";;;;"883613198913556481";https://twitter.com/SleekMoneycom/status/883613198913556481
WKRBNews;2017-07-08 05:02;0;0;"Smith Salley & Associates Increases Position in Kimberly-Clark Corporation $ KMB http:// ift.tt/2tTcK2D";;;;"883612210047713280";https://twitter.com/WKRBNews/status/883612210047713280
WKRBNews;2017-07-08 05:02;0;0;"Kimberly-Clark Corporation $ KMB Shares Sold by Thomaspartners Inc. http:// ift.tt/2sAd6aq";;;;"883612200493096960";https://twitter.com/WKRBNews/status/883612200493096960
dailypoliticaln;2017-07-08 05:01;0;0;"Bellecapital International Ltd. Has $234,000 Stake in Kimberly-Clark Corporation $ KMB http:// ift.tt/2tX16TT";;;;"883611997463556096";https://twitter.com/dailypoliticaln/status/883611997463556096
dailypoliticaln;2017-07-08 05:01;0;0;"Karp Capital Management Corp Takes Position in Kimberly-Clark Corporation $ KMB http:// ift.tt/2tX7cnp";;;;"883611984192831488";https://twitter.com/dailypoliticaln/status/883611984192831488
WKRBNews;2017-07-08 05:00;0;0;"Smith Salley & Associates Increases Position in Kimberly-Clark Corporation $ KMB http:// ift.tt/2sQIe9V";;;;"883611798200569857";https://twitter.com/WKRBNews/status/883611798200569857
WKRBNews;2017-07-08 05:00;0;0;"Kimberly-Clark Corporation $ KMB Shares Sold by Thomaspartners Inc. http:// ift.tt/2tAszbC";;;;"883611788905992192";https://twitter.com/WKRBNews/status/883611788905992192
dailypoliticaln;2017-07-08 02:21;0;0;"Kimberly-Clark Corporation $ KMB to Post Q2 2017 Earnings of $1.50 Per Share, Jefferies Group Forecasts http:// ift.tt/2u2v2Po";;;;"883571644089937920";https://twitter.com/dailypoliticaln/status/883571644089937920
chaffeybreeze;2017-07-07 23:15;0;0;"Analysts Set Kimberly-Clark Corporation $ KMB Target Price at $133.50 http:// ift.tt/2uAVe0q";;;;"883524906432024576";https://twitter.com/chaffeybreeze/status/883524906432024576
IRAMarketReport;2017-07-07 23:12;0;0;"Analysts Set Kimberly-Clark Corporation $ KMB Target Price at $133.50 http:// ift.tt/2uAVe0q";;;;"883524124169187330";https://twitter.com/IRAMarketReport/status/883524124169187330
intercooleronli;2017-07-07 23:11;0;0;"Kimberly-Clark Corporation $ KMB Rating Lowered to Sell at Zacks Investment Research http:// ift.tt/2truUaC";;;;"883523849991720960";https://twitter.com/intercooleronli/status/883523849991720960
WKRBNews;2017-07-07 23:11;0;0;"Analysts Set Kimberly-Clark Corporation $ KMB Target Price at $133.50 http:// ift.tt/2sXnQis";;;;"883523816626036738";https://twitter.com/WKRBNews/status/883523816626036738
