username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WatchlistN;2017-07-08 04:12;0;0;"Everett Harris & Co. CA Has $9 Million Position in Coca-Cola Company $ The $ KO http:// ift.tt/2tWQqEK";;;;"883599609498664960";https://twitter.com/WatchlistN/status/883599609498664960
ZolmaxNews;2017-07-08 04:11;0;0;"Northeast Investment Management Sells 808 Shares of Coca-Cola Company $ The $ KO http:// ift.tt/2tWQnsy";;;;"883599445987909632";https://twitter.com/ZolmaxNews/status/883599445987909632
SleekMoneycom;2017-07-08 04:11;0;0;"Nikko Asset Management Americas Inc. Decreases Position in Coca-Cola Company $ The $ KO http:// ift.tt/2tT2ze4";;;;"883599338848505856";https://twitter.com/SleekMoneycom/status/883599338848505856
SleekMoneycom;2017-07-08 04:11;0;0;"Stonebridge Capital Management Inc. Increases Stake in Coca-Cola Company $ The $ KO http:// ift.tt/2tTbvjF";;;;"883599335140622337";https://twitter.com/SleekMoneycom/status/883599335140622337
dreamasmith2836;2017-07-08 03:16;0;0;"$ NGCG IT'S GO TIME local and national retail chains ~ … $ TILE $ NXPI $ KO $ PEP $ MWW $ COST";;;;"883585504872214528";https://twitter.com/dreamasmith2836/status/883585504872214528
ElixiumCrypto;2017-07-08 03:15;2;2;"Are you Bullish or Bearish on #CocaCola ? Start #Trading $ KO with #Bitcoin #Stocks #Blockchain #Cryptocurrency #BTC http://www. elixiumcapital.com/BTC-KO/ pic.twitter.com/Aj5lkC2J12";;;#CocaCola #Trading #Bitcoin #Stocks #Blockchain #Cryptocurrency #BTC;"883585232435392512";https://twitter.com/ElixiumCrypto/status/883585232435392512
Investing_Books;2017-07-08 01:33;1;1;"The Warren Buffett Way by Robert G. Hagstrom: http:// amzn.to/29LoWYE $ KO $ BRK $ PG $ WMT $ AAPL $ WFC $ KHC";;;;"883559756425723904";https://twitter.com/Investing_Books/status/883559756425723904
Monny_Trader;2017-07-08 01:24;0;0;"http:// smq.tc/1VvJJhE Want to be rich? A millionaire trader? Try a FREE TRIAL to JB alerts! $ KO $ ADBE $ DIA";;;;"883557326396903425";https://twitter.com/Monny_Trader/status/883557326396903425
Investing_Books;2017-07-08 00:48;0;0;"Fundamental Analysis For Dummies: http:// amzn.to/2a99Qdv $ KO $ PEP $ DG $ PG $ GE $ AAPL $ WMT";;;;"883548427375833088";https://twitter.com/Investing_Books/status/883548427375833088
Investing_Books;2017-07-08 00:33;0;0;"The Defensive Value Investor by John Kingham: http:// amzn.to/29FW9SY $ KO $ PEP $ DG $ JNJ $ PG $ MCD $ ADM";;;;"883544652447719425";https://twitter.com/Investing_Books/status/883544652447719425
StocksRuss;2017-07-08 00:29;0;0;"http:// goo.gl/SyzlcL We have had many SuperTrade alerts give us >50% gain in just 2 weeks! $ UNXL $ AIG $ KO $ MNST $ S $ WTW $ MDU";;;;"883543479174823937";https://twitter.com/StocksRuss/status/883543479174823937
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
ElixiumCrypto;2017-07-07 23:26;0;1;"Are you Bullish or Bearish on #CocaCola ? Start #Trading $ KO with #Bitcoin #Stocks #Blockchain #Cryptocurrency #BTC http://www. elixiumcapital.com/BTC-KO/ pic.twitter.com/neTOWtYmXU";;;#CocaCola #Trading #Bitcoin #Stocks #Blockchain #Cryptocurrency #BTC;"883527581936623616";https://twitter.com/ElixiumCrypto/status/883527581936623616
Dallas_Trending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502172020895746";https://twitter.com/Dallas_Trending/status/883502172020895746
DenverTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502171853135872";https://twitter.com/DenverTrend/status/883502171853135872
LAtrend90210;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502171718897666";https://twitter.com/LAtrend90210/status/883502171718897666
SanDiegoTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502170716463104";https://twitter.com/SanDiegoTrend/status/883502170716463104
PhoenixTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502170125062145";https://twitter.com/PhoenixTrend/status/883502170125062145
PhillyTrend215;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502168136978434";https://twitter.com/PhillyTrend215/status/883502168136978434
LasVegasTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502167394578433";https://twitter.com/LasVegasTrend/status/883502167394578433
ChicagoTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502166345994241";https://twitter.com/ChicagoTrend/status/883502166345994241
bostontrending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502165494464512";https://twitter.com/bostontrending/status/883502165494464512
SanJoseTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502163812634625";https://twitter.com/SanJoseTrend/status/883502163812634625
SanAntonioTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502163401596928";https://twitter.com/SanAntonioTrend/status/883502163401596928
AustinTrending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502162684366849";https://twitter.com/AustinTrending/status/883502162684366849
CharlesNance415;2017-07-07 21:40;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883500906595135489";https://twitter.com/CharlesNance415/status/883500906595135489
AmyDaniel212;2017-07-07 21:35;2;1;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883499643375628288";https://twitter.com/AmyDaniel212/status/883499643375628288
StocksRuss;2017-07-07 21:32;0;0;"http:// goo.gl/SyzlcL <<-- We have had many SuperTrade alerts give us >50% gain injust 2 weeks! $ UNXL $ AIG $ KO $ MNST $ S $ WTW $ MDU";;;;"883498931585302528";https://twitter.com/StocksRuss/status/883498931585302528
TheMarketsDaily;2017-07-07 19:37;0;0;"Analyzing Coca-Cola Company $ The $ KO and Dr Pepper Snapple Group $ DPS http:// zpr.io/PeUzY";;;;"883469954380693504";https://twitter.com/TheMarketsDaily/status/883469954380693504
intercooleronli;2017-07-07 18:31;0;0;"Analyzing Coca-Cola Company $ The $ KO and Dr Pepper Snapple Group $ DPS http:// ift.tt/2u1AulF";;;;"883453483311128576";https://twitter.com/intercooleronli/status/883453483311128576
WatchlistN;2017-07-07 18:27;0;0;"Analyzing Coca-Cola Company $ The $ KO and Dr Pepper Snapple Group $ DPS http:// ift.tt/2uU6eW1";;;;"883452437276786688";https://twitter.com/WatchlistN/status/883452437276786688
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
SwingTradeBot;2017-07-07 17:21;0;0;"Scan results - Fell Below 50 DMA today: $ SCSS $ TLRD $ CNSL $ PUMP $ BKU $ NRG $ KO $ EXC $ LCI $ GIII ... https:// swingtradebot.com/events/2/equit ies?selected_date=2017-07-07 …";;;;"883435721318699008";https://twitter.com/SwingTradeBot/status/883435721318699008
WKRBNews;2017-07-07 17:15;0;0;"Coca-Cola Company $The’s $ KO Neutral Rating Reaffirmed at Jefferies Group LLC http:// ift.tt/2tz7wq7";;;;"883434325680816128";https://twitter.com/WKRBNews/status/883434325680816128
WKRBNews;2017-07-07 17:12;0;0;"Coca-Cola Company $The’s $ KO Neutral Rating Reaffirmed at Jefferies Group LLC http:// ift.tt/2tVPMaI";;;;"883433651572232193";https://twitter.com/WKRBNews/status/883433651572232193
futuresoption;2017-07-07 16:45;5;2;"Magnum opus: Humanity at crossroads http://www. futuresandoptions.gr/en/magnum-opus -humanity-at-crossroads/ … $ SPY $ SPX #nyse #nasdaq #economy $ AAPL $ bac $ ko";;;#nyse #nasdaq #economy;"883426672569192448";https://twitter.com/futuresoption/status/883426672569192448
ITRADEVOL;2017-07-07 16:22;0;0;"Buy Side Closing Order Imbalances $ EQT $ GE $ CF $ VZ $ JPM $ XOM $ EXC $ EGN $ TGNA $ K $ KO $ DNR $ SLB $ AWH $ DOW $ FDC $ OKE https:// marketchameleon.com/Reports/StockO rderImbalanceReport …";;;;"883421007461187589";https://twitter.com/ITRADEVOL/status/883421007461187589
Investing_Books;2017-07-07 16:03;1;0;"Book of Value: The Fine Art of Investing Wisely by Anurag Sharma: http:// amzn.to/2a1g2IL $ KO $ GE $ WDC $ PEP $ T $ VZ";;;;"883416310553747456";https://twitter.com/Investing_Books/status/883416310553747456
SAlphaTrending;2017-07-07 16:00;0;0;"Does Dividend Growth Investing Have A Place In Your Portfolio? https:// seekingalpha.com/article/408637 0-dividend-growth-investing-place-portfolio?source=feed_t … $ ABT $ CL $ CVX $ INTC $ JNJ $ KMB $ KO $ MCD $ MO $ MSFT";;;;"883415331523313664";https://twitter.com/SAlphaTrending/status/883415331523313664
SEEKINGALPHA_FS;2017-07-07 15:37;0;1;"Does Dividend Growth Investing Have A Place In Your Portfolio? https:// seekingalpha.com/article/408637 0-dividend-growth-investing-place-portfolio?source=twitter_sa_factset … $ ABT $ CL $ CVX $ INTC $ JNJ $ KMB $ KO $ MCD $ MO $ MSFT";;;;"883409727404646402";https://twitter.com/SEEKINGALPHA_FS/status/883409727404646402
SeekingAlpha;2017-07-07 15:37;1;2;"Does Dividend Growth Investing Have A Place In Your Portfolio? https:// seekingalpha.com/article/408637 0-dividend-growth-investing-place-portfolio?source=feed_f … $ ABT $ CL $ CVX $ INTC $ JNJ $ KMB $ KO $ MCD $ MO $ MSFT";;;;"883409725555056640";https://twitter.com/SeekingAlpha/status/883409725555056640
SeekingAlpha;2017-07-07 14:29;0;0;"PepsiCo: The Goldilocks Among The Beverage Stocks https:// seekingalpha.com/article/408634 8-pepsico-goldilocks-among-beverage-stocks?source=feed_f … $ KHC $ DPS $ KO $ PEP";;;;"883392500609593345";https://twitter.com/SeekingAlpha/status/883392500609593345
WKRBNews;2017-07-07 14:16;0;0;"FY2018 Earnings Forecast for Coca-Cola Company $ The $ KO Issued By Jefferies Group http:// ift.tt/2uTpByq";;;;"883389325798285312";https://twitter.com/WKRBNews/status/883389325798285312
ElixiumCrypto;2017-07-07 14:11;0;0;"Are you Bullish or Bearish on #CocaCola ? Start #Trading $ KO with #Bitcoin #Stocks #Blockchain #Cryptocurrency #BTC http://www. elixiumcapital.com/BTC-KO/ pic.twitter.com/ODoZ2NPpZn";;;#CocaCola #Trading #Bitcoin #Stocks #Blockchain #Cryptocurrency #BTC;"883387942894534657";https://twitter.com/ElixiumCrypto/status/883387942894534657
WKRBNews;2017-07-07 14:10;0;0;"FY2018 Earnings Forecast for Coca-Cola Company $ The $ KO Issued By Jefferies Group http:// ift.tt/2tRdbtY";;;;"883387719707242497";https://twitter.com/WKRBNews/status/883387719707242497
intercooleronli;2017-07-07 14:06;0;0;"FY2018 Earnings Forecast for Coca-Cola Company $ The $ KO Issued By Jefferies Group http:// ift.tt/2u0yE48";;;;"883386828665102336";https://twitter.com/intercooleronli/status/883386828665102336
JorelLaraKalel;2017-07-07 13:32;0;1;"How Far Could LaCroix Drive National Beverage? $ FIZZ $ MNST $ KO $ PEP http:// bit.ly/2synpMc http:// bit.ly/FIZZTTS pic.twitter.com/UrYvshwgmp";;;;"883378160221515777";https://twitter.com/JorelLaraKalel/status/883378160221515777
mathman6577;2017-07-07 13:28;0;0;"#Dividend growth #investors : Beware of the risks in your portfolio. http:// bit.ly/2syrSP1 $ AAPL $ JNJ $ CVX $ AFL $ KO $ PG $ EMR $ RTN $ UTX";;;#Dividend #investors;"883377102233513984";https://twitter.com/mathman6577/status/883377102233513984
MillionProfiles;2017-07-07 13:27;0;0;"http:// smq.tc/2tIs41k Stock Millionaire Jason Bond Revealed! $ BORN $ KOF $ KO $ CCE";;;;"883376903356170240";https://twitter.com/MillionProfiles/status/883376903356170240
iECONOMICS;2017-07-07 13:26;0;0;"Coca-Cola $ KO market alert: 6-week low @44.28 https:// ieconomics.com/coca-cola";;@44;;"883376698829533185";https://twitter.com/iECONOMICS/status/883376698829533185
mathman6577;2017-07-07 13:26;1;1;"#Dividend growth investors: beware of the risks in your portfolio : http:// bit.ly/2syrSP1 $ AAPL $ JNJ $ UTX $ PG $ KO $ CVX $ AFL";;;#Dividend;"883376670404640768";https://twitter.com/mathman6577/status/883376670404640768
Investing_Books;2017-07-07 12:48;0;0;"Streetsmart Guide to Valuing a Stock: http:// amzn.to/29CU5Kh $ MO $ KO $ PEP $ CAG $ INGR $ ADM $ DE $ M $ TIF";;;;"883367239377879040";https://twitter.com/Investing_Books/status/883367239377879040
Recognia;2017-07-07 12:30;0;0;"Coca-Cola Co ( $ KO :NYSE) forms bearish "Double Top" chart pattern. http:// ow.ly/gz9530dlYQS pic.twitter.com/Zi2qGQE50c";;;;"883362656643690496";https://twitter.com/Recognia/status/883362656643690496
TheMarketsDaily;2017-07-07 12:21;0;0;"Kanawha Capital Management LLC Has $7.11 Million Stake in Coca-Cola Company $ The $ KO http:// zpr.io/PdBJj";;;;"883360433255706624";https://twitter.com/TheMarketsDaily/status/883360433255706624
shloglow;2017-07-07 12:17;0;0;"@petenajarian @jimcramer why is $ ko hovering near 52 week highs? PE is >30x and its core business is under durress. What am I missing?";;@petenajarian @jimcramer;;"883359448630263809";https://twitter.com/shloglow/status/883359448630263809
SpeedyCalls;2017-07-07 11:59;1;0;"$ KO 42 Puts SELLING Activity expiring on 15th Jun, Vol 2500";;;;"883354743971696643";https://twitter.com/SpeedyCalls/status/883354743971696643
JohnLBair1;2017-07-07 11:27;0;3;"$ NBEV rumors of a $ KO BO isn't why I'm bullish";;;;"883346636772134913";https://twitter.com/JohnLBair1/status/883346636772134913
Stocks_Live;2017-07-07 11:13;1;1;"Warren Buffett via @Stocks_Live #stocks #stockmarket $ KHC $ WFC $ AAPL $ KO $ AXP $ IBM $ PSX $ USB $ CHTR $ MCO $ DVA $ LUV $ GS $ DAL $ AAL $ UAL $ GM pic.twitter.com/cxzyFLvmMj";;@Stocks_Live;#stocks #stockmarket;"883343105872744448";https://twitter.com/Stocks_Live/status/883343105872744448
1BestTrader;2017-07-07 10:36;0;3;"The case for bond investors $ TLT to sit this one out. $121.59 #Selflove $ TLT $ TBF $ V $ PRU $ KO $ QQQ $ AA $ BAC $ BBT $ SLV $ GLD $ HIG @dastrader pic.twitter.com/jHDC8yLgnt";;@dastrader;#Selflove;"883333833214525442";https://twitter.com/1BestTrader/status/883333833214525442
SEEKINGALPHA_FS;2017-07-07 10:16;0;0;"Buying Stocks In Steps: The Pros And The Cons https:// seekingalpha.com/article/408628 3-buying-stocks-steps-pros-cons?source=twitter_sa_factset … $ SPY $ GIS $ KO $ PG $ MCD $ WMT $ LLL";;;;"883328924033236997";https://twitter.com/SEEKINGALPHA_FS/status/883328924033236997
SeekingAlpha;2017-07-07 10:16;1;2;"Buying Stocks In Steps: The Pros And The Cons https:// seekingalpha.com/article/408628 3-buying-stocks-steps-pros-cons?source=feed_f … $ SPY $ GIS $ KO $ PG $ MCD $ WMT $ LLL";;;;"883328922322034689";https://twitter.com/SeekingAlpha/status/883328922322034689
newswelldone;2017-07-07 10:05;0;0;"$ MNST $ KO : You Are About to Watch Monster Beverage’s Stock Explode Higher: http://www. StockNewsWires.com/mnst-ko-you-ar e-about-to-watch-monster-beverages-stock-explode-higher/ …";;;;"883326001517740033";https://twitter.com/newswelldone/status/883326001517740033
Investing_Books;2017-07-07 09:48;1;1;"Buffett: The Making of an American Capitalist: http:// amzn.to/29HqYJX $ SPY $ PG $ KO $ PEP $ DG $ AAPL";;;;"883321938063609856";https://twitter.com/Investing_Books/status/883321938063609856
IRAMarketReport;2017-07-07 09:47;0;0;"Investment Counsel Inc. Reduces Stake in Coca-Cola Company $ The $ KO http:// ift.tt/2uyiJHm";;;;"883321576053248000";https://twitter.com/IRAMarketReport/status/883321576053248000
chaffeybreeze;2017-07-07 09:44;0;0;"Investment Counsel Inc. Reduces Stake in Coca-Cola Company $ The $ KO http:// ift.tt/2uyiJHm";;;;"883320757190832128";https://twitter.com/chaffeybreeze/status/883320757190832128
SweetPlatform;2017-07-07 09:24;0;0;"KO Top news - Jul 7th, 2017 $ KO http:// https:// goo.gl/gqc7YT";;;;"883315869471866880";https://twitter.com/SweetPlatform/status/883315869471866880
TradeAcademyCo;2017-07-07 08:50;0;0;"7/7 High IV Watch List: $ AZN $ HOG $ PYPL $ TSLA $ UA $ AMD $ VIAB $ JNPR $ XLNX $ DDD $ DHI $ KO $ TWTR $ TSCO $ MAR $ IBM $ URI $ YUM #trading #options";;;#trading #options;"883307195328335872";https://twitter.com/TradeAcademyCo/status/883307195328335872
stockmonitorapp;2017-07-07 08:11;0;0;"$ KO Momentum has fallen for last 3 days and price crossed below the 50MA. Bearish sign? http:// dlvr.it/PStStR #stocks pic.twitter.com/UB3tBar4EF";;;#stocks;"883297336385970177";https://twitter.com/stockmonitorapp/status/883297336385970177
TranscriptDaily;2017-07-07 07:58;0;0;"Physicians Financial Services Inc. Has $2.87 Million Position in Coca-Cola Company $ The $ KO http:// ift.tt/2tZeBDs";;;;"883294096256901122";https://twitter.com/TranscriptDaily/status/883294096256901122
IRAMarketReport;2017-07-07 07:49;0;0;"K.J. Harrison & Partners Inc Takes Position in Coca-Cola Company $ The $ KO http:// ift.tt/2tPYojz";;;;"883291901046161408";https://twitter.com/IRAMarketReport/status/883291901046161408
chaffeybreeze;2017-07-07 07:49;0;0;"K.J. Harrison & Partners Inc Takes Position in Coca-Cola Company $ The $ KO http:// ift.tt/2tPYojz";;;;"883291881702117376";https://twitter.com/chaffeybreeze/status/883291881702117376
Sw1ng_Trader;2017-07-07 06:15;0;0;"http:// goo.gl/SyzlcL <<-- We have had many SuperTrade alerts give us >50% gain injust 2 weeks! $ UNXL $ AIG $ KO $ MNST $ S $ WTW $ MDU";;;;"883268267086815232";https://twitter.com/Sw1ng_Trader/status/883268267086815232
StocksRuss;2017-07-07 05:30;0;0;"http:// goo.gl/SyzlcL My mentor supertrades does it again! Good stock picks! $ UNXL $ AIG $ KO $ MNST $ S $ WTW $ MDU";;;;"883256984853663744";https://twitter.com/StocksRuss/status/883256984853663744
