username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tickerws;2017-07-08 00:58;0;0;"$ LMT awarded $5.58B government contract modification http:// reut.rs/2uBadY2";;;;"883550791314931712";https://twitter.com/tickerws/status/883550791314931712
John_Gardi;2017-07-07 23:06;0;4;"Airbus Promises to Build a Reusable Rocket -- but #SpaceX Has a 15-Year Head Start #stocks $ BA , $ LMT , $ EADSY , $ SAFRY https://www. fool.com/investing/2017 /07/06/airbus-promises-reusable-rocket-spacex-head-start.aspx …";;;#SpaceX #stocks;"883522734646603776";https://twitter.com/John_Gardi/status/883522734646603776
SwingingForward;2017-07-07 22:20;1;1;"LONG TERM HOLDS $ LMT $ AMD $ BA $ JNJ $ CSCO $ WMT $ BRK.B $ GS $ HAS $ BABA $ NAK $ DIS $ TSLA $ AMZN $ SHOP $ AAPL #stocks pic.twitter.com/tZ43G54LIb";;;#stocks;"883511010526724096";https://twitter.com/SwingingForward/status/883511010526724096
Dallas_Trending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502172020895746";https://twitter.com/Dallas_Trending/status/883502172020895746
DenverTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502171853135872";https://twitter.com/DenverTrend/status/883502171853135872
LAtrend90210;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502171718897666";https://twitter.com/LAtrend90210/status/883502171718897666
SanDiegoTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502170716463104";https://twitter.com/SanDiegoTrend/status/883502170716463104
PhoenixTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502170125062145";https://twitter.com/PhoenixTrend/status/883502170125062145
PhillyTrend215;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502168136978434";https://twitter.com/PhillyTrend215/status/883502168136978434
LasVegasTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502167394578433";https://twitter.com/LasVegasTrend/status/883502167394578433
ChicagoTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502166345994241";https://twitter.com/ChicagoTrend/status/883502166345994241
bostontrending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502165494464512";https://twitter.com/bostontrending/status/883502165494464512
SanJoseTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502163812634625";https://twitter.com/SanJoseTrend/status/883502163812634625
SanAntonioTrend;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502163401596928";https://twitter.com/SanAntonioTrend/status/883502163401596928
AustinTrending;2017-07-07 21:45;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883502162684366849";https://twitter.com/AustinTrending/status/883502162684366849
CharlesNance415;2017-07-07 21:40;0;0;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883500906595135489";https://twitter.com/CharlesNance415/status/883500906595135489
PipsToDollars;2017-07-07 21:39;0;2;"$ lmt Lockheed awarded $5.6 billion interim payment for F-35 jets: Pentagon http:// reut.rs/2tqCIJN via @Reuters";;@Reuters;;"883500773027438593";https://twitter.com/PipsToDollars/status/883500773027438593
1MinuteStock;2017-07-07 21:36;0;0;"We calculated 63-day Expected Return of $ LMT for you: 5.86% https:// unicornbay.com/t/LMT.US?utm_m edium=tweet&utm_campaign=expreturn&utm_source=twitter …";;;;"883499886980734976";https://twitter.com/1MinuteStock/status/883499886980734976
AmyDaniel212;2017-07-07 21:35;2;1;"Can $ syy $ im $ ko $ lmt $ fox $ jci $ pagp $ int $ chscp $ aal become #Fortune50 ? http://www. ironbcg.com $ aapl $ googl #FridayFeeling";;;#Fortune50 #FridayFeeling;"883499643375628288";https://twitter.com/AmyDaniel212/status/883499643375628288
MarketNewsAlgo;2017-07-07 20:54;0;0;"Lockheed awarded $5.6 billion interim payment for F-35 jets: Pentagon http:// industrial.newsmovingmarkets.com/2017/07/lockhe ed-awarded-56-billion-interim.html … $ LMT";;;;"883489424251781120";https://twitter.com/MarketNewsAlgo/status/883489424251781120
MarketNewsAlgo;2017-07-07 20:54;0;0;"Lockheed Receives Another $4.5 Billion F-35 Down Payment http:// industrial.newsmovingmarkets.com/2017/07/lockhe ed-receives-another-45-billion-f.html … $ LMT";;;;"883489420044886016";https://twitter.com/MarketNewsAlgo/status/883489420044886016
msfried315;2017-07-07 20:29;0;0;"Lockheed Martin gets $5.6B payment to finance F-35 batch $ LMT http://www. seekingalpha.com/news/3277577";;;;"883483255764205568";https://twitter.com/msfried315/status/883483255764205568
PipsToDollars;2017-07-07 19:44;1;10;"$ RTN Raytheon’s kill vehicle and Boeing’s shield work together to pulverize enemy ICBMs. $ BA $ NOC $ LMT $ RTN $ GD pic.twitter.com/30PPW4Ghud";;;;"883471934469488640";https://twitter.com/PipsToDollars/status/883471934469488640
pennyomegaCRWE;2017-07-07 19:37;0;0;"Report Sees Anti-Drone Market Reaching $1.57B by 2023 - $ LMT , $ RTN , $ NOC http:// crweworld.com/newsroom/prnew swire?rkey=20170707enUK201707077797&filter=10284 …";;;;"883470158676738048";https://twitter.com/pennyomegaCRWE/status/883470158676738048
brandonheasman1;2017-07-07 18:05;0;0;"Marco Rubio Vs. John Kasich: Who Is Better for Defense? @themotleyfool #stocks $ LMT , $ GD , $ HII https://www. fool.com/investing/gene ral/2016/02/27/marco-rubio-vs-john-kasich-who-is-better-for-defen.aspx …";;@themotleyfool;#stocks;"883446952880250880";https://twitter.com/brandonheasman1/status/883446952880250880
1MinuteStock;2017-07-07 18:04;0;0;"Wondering about risks of $ LMT ? The 63-day volatility is 5.56% https:// unicornbay.com/t/LMT.US?utm_m edium=tweet&utm_campaign=volatility&utm_source=twitter …";;;;"883446535203151872";https://twitter.com/1MinuteStock/status/883446535203151872
sitifatimahnet;2017-07-07 17:42;0;0;"Lockheed Martin gets $5.6B payment to finance F-35 batch https:// seekingalpha.com/news/3277577-l ockheed-martin-gets-5_6b-payment-finance-fminus-35-batch?source=feed_f … $ LMT #sitifatimah #malaysia #financialplanning";;;#sitifatimah #malaysia #financialplanning;"883441060864831488";https://twitter.com/sitifatimahnet/status/883441060864831488
MarketCurrents;2017-07-07 17:37;0;0;"Lockheed Martin gets $5.6B payment to finance F-35 batch https:// seekingalpha.com/news/3277577-l ockheed-martin-gets-5_6b-payment-finance-fminus-35-batch?source=feed_f … $ LMT";;;;"883439802300772352";https://twitter.com/MarketCurrents/status/883439802300772352
SwingTradeBot;2017-07-07 17:27;0;0;"Scan results - Expansion Breakout today: $ LGIH $ DHI $ PHM $ CUDA $ ESNT $ FIZZ $ LMT $ TOL $ PBPB $ MCD ... https:// swingtradebot.com/events/45/equi ties?selected_date=2017-07-07 …";;;;"883437273051799554";https://twitter.com/SwingTradeBot/status/883437273051799554
SwingTradeBot;2017-07-07 17:25;0;0;"Scan results - MACD Bullish Signal Line Cross today: $ RMBS $ CLB $ MPG $ SAVE $ LMT $ TOL $ DLX $ UAL $ AAOI $ FRC ... https:// swingtradebot.com/events/64/equi ties?selected_date=2017-07-07 …";;;;"883436887523897345";https://twitter.com/SwingTradeBot/status/883436887523897345
MarketNewsAlgo;2017-07-07 17:24;0;0;"House Appropriators Urge USAF To Stick With Lockheed For GPS III http:// industrial.newsmovingmarkets.com/2017/07/house- appropriators-urge-usaf-to-stick.html … $ LMT";;;;"883436489761316864";https://twitter.com/MarketNewsAlgo/status/883436489761316864
