username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FinInvTr;2017-07-07 22:09;0;0;"Buffett Likes Airlines. Will Low Oil Keep The Tailwinds Going? $ DAL $ UAL $ LUV http:// buff.ly/2u19Bhz";;;;"883508186090786816";https://twitter.com/FinInvTr/status/883508186090786816
WKRBNews;2017-07-07 21:25;0;0;"Southwest Airlines Company $ LUV Getting Favorable News Coverage, Analysis Finds http:// ift.tt/2tSsNO7";;;;"883497183340883969";https://twitter.com/WKRBNews/status/883497183340883969
SPNewsAnalysis;2017-07-07 21:22;0;0;"Southwest Airlines Company $ LUV Getting Favorable News Coverage, Analysis Finds http:// ift.tt/2sQiLgQ";;;;"883496397131186177";https://twitter.com/SPNewsAnalysis/status/883496397131186177
storminvestor;2017-07-07 21:22;0;0;"Southwest Airlines Company $ LUV Getting Favorable News Coverage, Analysis Finds http:// ift.tt/2uUk7Ul";;;;"883496396602716160";https://twitter.com/storminvestor/status/883496396602716160
WKRBNews;2017-07-07 21:16;0;0;"Southwest Airlines Company $ LUV Getting Favorable News Coverage, Analysis Finds http:// ift.tt/2sWIiQo";;;;"883494937106534402";https://twitter.com/WKRBNews/status/883494937106534402
platapepe70;2017-07-07 21:10;0;0;"Mid-day TOP of range: $ LOW 99, $ CC 97, $ TWX 88, $ DHI $ PHM 86, $ FE 84, $ NKE 80, $ SYY 79, $ LUV 77, $ AU $ KBH 73, $ HUN 71, $ CAT $ TJX 69";;;;"883493480013672449";https://twitter.com/platapepe70/status/883493480013672449
StockConsultant;2017-07-07 21:08;0;1;"$ IR (IR) Ingersoll-rand stock nice breakout, also $ AAL $ ETN $ GWRE $ HRC $ JBLU $ LUV $ PHM $ ROG $ WD from today's StocksToWatch pic.twitter.com/5QLfQkq4mH";;;;"883492941557321728";https://twitter.com/StockConsultant/status/883492941557321728
AlexCena_TX;2017-07-07 20:46;1;0;"DallasBizNews: Among big carriers, American Airlines and Southwest had more delayed flights in June: http:// bizj.us/1p8e4b $ LUV $ AAL";;;;"883487363141435392";https://twitter.com/AlexCena_TX/status/883487363141435392
DallasBizNews;2017-07-07 20:45;2;1;"Among big carriers, American Airlines and Southwest had more delayed flights in June: http:// bizj.us/1p8e4b $ LUV $ AAL";;;;"883487048937635842";https://twitter.com/DallasBizNews/status/883487048937635842
FinInvTr;2017-07-07 18:23;0;0;"Buffett Likes Airlines. Will Low Oil Keep The Tailwinds Going? $ DAL $ UAL $ LUV http:// buff.ly/2urTDKn";;;;"883451396997230592";https://twitter.com/FinInvTr/status/883451396997230592
CashflowStocks1;2017-07-07 18:04;0;0;"http:// smq.tc/1HZzRnE 4 concepts To Mastering Short Selling by timothysykes $ OHRP $ GOOG $ TASR $ XON $ LUV";;;;"883446611455746049";https://twitter.com/CashflowStocks1/status/883446611455746049
chaffeybreeze;2017-07-07 17:29;0;0;"Head-To-Head Comparison: Republic Airways Holdings $ RJET & Southwest Airlines Company $ LUV http:// ift.tt/2tqH57n";;;;"883437826645348353";https://twitter.com/chaffeybreeze/status/883437826645348353
IRAMarketReport;2017-07-07 17:27;0;0;"Head-To-Head Comparison: Republic Airways Holdings $ RJET & Southwest Airlines Company $ LUV http:// ift.tt/2tqH57n";;;;"883437337010728961";https://twitter.com/IRAMarketReport/status/883437337010728961
midetimes;2017-07-07 17:26;0;0;"Head-To-Head Comparison: Republic Airways Holdings $ RJET & Southwest Airlines Company $ LUV http:// ift.tt/2sz34Gl";;;;"883437061398810624";https://twitter.com/midetimes/status/883437061398810624
GreenspudTrades;2017-07-07 16:42;0;0;"Airlines $ LUV $ UAL $ DAL $ AAL also all making 52 week highs - what a turnaround from last year's rout! http:// momentumstockscans.com/reports/fifty_ two_week_high …";;;;"883425908790620161";https://twitter.com/GreenspudTrades/status/883425908790620161
MarketRealist;2017-07-07 16:22;0;0;"Your Alaska Air 2Q17 Preview: What’s in Store for Investors http://marketrealist.com?p=2189689 marketrealist.com/?p=2189689 $ ALK $ LUV $ SAVE $ JBLU";;;;"883421096279760896";https://twitter.com/MarketRealist/status/883421096279760896
SalmanAziz1234;2017-07-07 15:59;0;0;"$ LUV heading up higher and higher. This is a great swing play. I can see this hitting 70 bucks in a month.";;;;"883415121099460611";https://twitter.com/SalmanAziz1234/status/883415121099460611
storminvestor;2017-07-07 15:27;0;0;"9,967 Shares in Southwest Airlines Company $ LUV Acquired by Two Sigma Securities LLC http:// ift.tt/2uTcZr1";;;;"883407223946444801";https://twitter.com/storminvestor/status/883407223946444801
SPNewsAnalysis;2017-07-07 15:27;0;0;"9,967 Shares in Southwest Airlines Company $ LUV Acquired by Two Sigma Securities LLC http:// ift.tt/2synKOZ";;;;"883407104043868161";https://twitter.com/SPNewsAnalysis/status/883407104043868161
Schust737;2017-07-07 15:07;0;0;"Airline stocks on the move. $ AAL $ ALK $ HA $ LUV and $ UA . Own them all.";;;;"883402102478786561";https://twitter.com/Schust737/status/883402102478786561
StocksThatDoubl;2017-07-07 15:03;0;0;"http:// BiloSelhi.com alerted another winner. MUST SEE TRACK RECORD & SUBSCRIBE pic.twitter.com/7uWekI8Rdq $ LUV $ CTL $ WY $ DOW $ JAH $ CLR";;;;"883401189647237124";https://twitter.com/StocksThatDoubl/status/883401189647237124
StocksThatDoubl;2017-07-07 14:52;0;0;"http:// BiloSelhi.com members have an advantage. SEE TRACK RECORD pic.twitter.com/7MJOSawfOB $ TMUS $ LUV $ CTL $ WY $ DOW $ JAH";;;;"883398448824832001";https://twitter.com/StocksThatDoubl/status/883398448824832001
BVZ_Investools;2017-07-07 14:41;5;9;"Click the image and scroll down to the bottom of the blog to leave your thoughts on $ BEN , $ LUV or $ STT . #investools https:// blog.investools.com/index.php/2017 /07/07/stock-investing-tr-friday-at-1200pm-est-brandon-van-zee-7-7-17/ …";;;#investools;"883395609910104066";https://twitter.com/BVZ_Investools/status/883395609910104066
