username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ZolmaxNews;2017-07-08 04:36;0;0;"Jennison Associates LLC Sells 551,831 Shares of McDonald’s Corporation $ MCD http:// ift.tt/2sQT1ko";;;;"883605732263948288";https://twitter.com/ZolmaxNews/status/883605732263948288
WKRBNews;2017-07-08 04:31;0;0;"McDonald’s Corporation $ MCD Stake Decreased by Ariel Capital Advisors LLC http:// ift.tt/2sQFaKX";;;;"883604397028147200";https://twitter.com/WKRBNews/status/883604397028147200
WKRBNews;2017-07-08 04:30;0;0;"McDonald’s Corporation $ MCD Stake Decreased by Ariel Capital Advisors LLC http:// ift.tt/2sQyc8K";;;;"883604234910011392";https://twitter.com/WKRBNews/status/883604234910011392
SleekMoneycom;2017-07-08 04:26;0;0;"McDonald’s Corporation $ MCD Shares Sold by Weatherly Asset Management L. P. http:// ift.tt/2sAmk6h";;;;"883603214465216513";https://twitter.com/SleekMoneycom/status/883603214465216513
dailypoliticaln;2017-07-08 04:26;0;0;"Tocqueville Asset Management L.P. Has $50.71 Million Stake in McDonald’s Corporation $ MCD http:// ift.tt/2sXwptF";;;;"883603188468809728";https://twitter.com/dailypoliticaln/status/883603188468809728
midetimes;2017-07-08 04:26;0;0;"Atwood & Palmer Inc. Decreases Position in McDonald’s Corporation $ MCD http:// ift.tt/2uVahS5";;;;"883603172970942464";https://twitter.com/midetimes/status/883603172970942464
Investing_Books;2017-07-08 01:03;0;0;"The Single Best Investment: Creating Wealth with Dividend Growth: http:// amzn.to/29CEIBg $ MCD $ IBM $ INTC $ AAPL $ BBY $ PG";;;;"883552202341666816";https://twitter.com/Investing_Books/status/883552202341666816
15minofPham;2017-07-08 00:36;0;0;"52 week high & volume above 3-mth avg: $ DHI $ TOL $ ITB $ PHM $ MCD $ CX $ AAL $ SWK $ FIS $ IR $ BA";;;;"883545217898557440";https://twitter.com/15minofPham/status/883545217898557440
Investing_Books;2017-07-08 00:33;0;0;"The Defensive Value Investor by John Kingham: http:// amzn.to/29FW9SY $ KO $ PEP $ DG $ JNJ $ PG $ MCD $ ADM";;;;"883544652447719425";https://twitter.com/Investing_Books/status/883544652447719425
Sw1ng_Trader;2017-07-07 23:56;0;0;"http:// goo.gl/SyzlcL <<-- Checkout Super Trades service it is truly amazing!! $ CAPN $ KBIO $ CRM $ MCD";;;;"883535180081659905";https://twitter.com/Sw1ng_Trader/status/883535180081659905
sharptraders;2017-07-07 22:48;0;1;"Today's ALL TIME NEW HIGHS, Over $1.00, Closed Up on at least 1.10x ADV(50) ►►► http:// sharptraders.com/AllTimeNewHigh s.html … including $ SWK $ IR $ MCD etc";;;;"883518166063652864";https://twitter.com/sharptraders/status/883518166063652864
amyhalutao;2017-07-07 21:52;0;0;"$ MCD Share your thoughts here #InvestorsHangout $ CGCO $ BERY $ GRX -A $ APWL $ MRPHF http:// dlvr.it/PT2F6T";;;#InvestorsHangout;"883503920848318465";https://twitter.com/amyhalutao/status/883503920848318465
FinInvTr;2017-07-07 20:31;0;0;"Consumer Stocks: Are Large Caps The Best Options? $ AMZN $ DIS $ MCD $ SBUX $ NKE http:// buff.ly/2uA8r9Q";;;;"883483538129080320";https://twitter.com/FinInvTr/status/883483538129080320
brandonvanzee;2017-07-07 19:38;1;3;"$ MCD : still kicking out the "essentials" https:// twitter.com/historyinpix/s tatus/883302503684689922 …";;;;"883470326658588672";https://twitter.com/brandonvanzee/status/883470326658588672
JFAtweets;2017-07-07 19:20;0;0;"Kiosk ordering and standalone McCafes in Paris...a preview of McDonald's future in the US? $ mcd pic.twitter.com/8ufurf9qiD";;;;"883465859804561408";https://twitter.com/JFAtweets/status/883465859804561408
