username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TradinResources;2017-07-07 19:02;0;0;"http:// bit.ly/1VvJJhE < Free Trial for stock alerts! Want to win a PORSCHE by trading well? $ EXPE $ EURN $ MDT $ MCHP";;;;"883461222124867584";https://twitter.com/TradinResources/status/883461222124867584
MarketRealist;2017-07-07 18:05;0;0;"Key Insights into BD's Recent Developments http://marketrealist.com?p=2189062 marketrealist.com/?p=2189062 $ MDT $ TMO $ ABT $ IVV";;;;"883446817815494657";https://twitter.com/MarketRealist/status/883446817815494657
TheMarketsDaily;2017-07-07 17:52;0;0;"Equities Analysts Set Expectations for Medtronic PLC’s Q1 2019 Earnings $ MDT http:// zpr.io/PdQ2J";;;;"883443593276510208";https://twitter.com/TheMarketsDaily/status/883443593276510208
chaffeybreeze;2017-07-07 17:04;0;0;"Medtronic PLC’s $ MDT Outperform Rating Reaffirmed at William Blair http:// ift.tt/2sPB9pS";;;;"883431647978369026";https://twitter.com/chaffeybreeze/status/883431647978369026
IRAMarketReport;2017-07-07 17:02;0;0;"Medtronic PLC’s $ MDT Outperform Rating Reaffirmed at William Blair http:// ift.tt/2sPB9pS";;;;"883431070020116480";https://twitter.com/IRAMarketReport/status/883431070020116480
midetimes;2017-07-07 16:51;0;0;"Medtronic PLC’s $ MDT Outperform Rating Reaffirmed at William Blair http:// ift.tt/2tVIKCw";;;;"883428240722886658";https://twitter.com/midetimes/status/883428240722886658
chaffeybreeze;2017-07-07 15:34;0;0;"Medtronic PLC Sees Unusually High Options Volume $ MDT http:// ift.tt/2u0zmOW";;;;"883408843048439809";https://twitter.com/chaffeybreeze/status/883408843048439809
IRAMarketReport;2017-07-07 15:32;0;0;"Medtronic PLC Sees Unusually High Options Volume $ MDT http:// ift.tt/2u0zmOW";;;;"883408382329278466";https://twitter.com/IRAMarketReport/status/883408382329278466
TheMarketsDaily;2017-07-07 14:43;0;0;"Norinchukin Bank The Buys 6,076 Shares of Medtronic PLC $ MDT http:// zpr.io/PdWSG";;;;"883396090468245504";https://twitter.com/TheMarketsDaily/status/883396090468245504
DrugDeliveryNow;2017-07-07 13:56;0;0;"Resolute Onyx drug-eluting #stent launches in Japan. $ MDT http://www. drugdeliverybusiness.com/resolute-onyx- drug-eluting-stent-launches-japan/ …";;;#stent;"883384129202655232";https://twitter.com/DrugDeliveryNow/status/883384129202655232
DrSManian;2017-07-07 13:29;0;1;"EVAR Update: Competitors Stake Their Ground In A High-Growth Space $ TRIV $ EVAR $ MDT $ ELGX http://www. nea.com/uploads/files/ employee/TriVascular.pdf …";;;;"883377489942151168";https://twitter.com/DrSManian/status/883377489942151168
beach_trades;2017-07-07 13:25;0;0;"$ TNDM just got patent published http://www. freepatentsonline.com/y2017/0182248. html … let me know when $ MDT buys us out #diabetes";;;#diabetes;"883376453647257600";https://twitter.com/beach_trades/status/883376453647257600
DrSManian;2017-07-07 13:23;0;2;"$ EVAR Has been exploring a buyout for some time - could be close. Best in class tech in a 1.5 billion endovascular repair market $ MDT https:// twitter.com/drsmanian/stat us/883373801840365568 …";;;;"883375894219206656";https://twitter.com/DrSManian/status/883375894219206656
beach_trades;2017-07-07 13:20;2;2;"$ TNDM Continuous Glucose Monitoring Devices Market Size Is Projected To Be Around $1.1 Billion By 2025: https://www. medgadget.com/2017/07/contin uous-glucose-monitoring-devices-market-size-is-projected-to-be-around-1-1-billion-by-2025.html … $ MDT";;;;"883375190218088451";https://twitter.com/beach_trades/status/883375190218088451
SM1llionaires;2017-07-07 13:16;0;1;"http:// bit.ly/2frwTWo *Review* Must read review of Jason Bond Picks! !! $ MDT $ BBRY $ EDIT";;;;"883374120267796482";https://twitter.com/SM1llionaires/status/883374120267796482
intercooleronli;2017-07-07 13:01;0;0;"Equities Analysts Set Expectations for Medtronic PLC’s Q1 2019 Earnings $ MDT http:// ift.tt/2tRf5ep";;;;"883370522737876992";https://twitter.com/intercooleronli/status/883370522737876992
ZolmaxNews;2017-07-07 13:01;0;0;"Equities Analysts Set Expectations for Medtronic PLC’s Q1 2019 Earnings $ MDT http:// ift.tt/2uSTsa9";;;;"883370508896567297";https://twitter.com/ZolmaxNews/status/883370508896567297
RatingsNetwork;2017-07-07 12:52;0;0;"William Blair Sets Medtronic PLC Q1 2019 Earnings Estimates at $1.21 Per Share. $ MDT http:// zpr.io/PdWU2 #MDT";;;#MDT;"883368219226099712";https://twitter.com/RatingsNetwork/status/883368219226099712
DozenStocks;2017-07-07 11:50;0;0;"S&P100 #Stocks Performance $ GD $ AMGN $ MSFT $ NEE $ RTN $ BMY $ CELG $ CAT $ FDX $ JNJ $ PCLN $ MDT $ DIS $ AGN $ INTC more@http:// 12Stocks.com/sp100";;@http;#Stocks;"883352617778159616";https://twitter.com/DozenStocks/status/883352617778159616
QuantchaIdeas;2017-07-07 11:17;0;0;"Price Target Alert: Trading the Zacks price target change for MEDTRONIC PLC $ MDT http:// ideas.quantcha.com/2017/07/07/pri ce-target-alert-trading-the-zacks-price-target-change-for-medtronic-plc-mdt-3/ … pic.twitter.com/SGcQ9b87Ly";;;;"883344207884288000";https://twitter.com/QuantchaIdeas/status/883344207884288000
SPNewsAnalysis;2017-07-07 11:08;0;0;"Heritage Trust Co Invests $436,000 in Medtronic PLC $ MDT http:// ift.tt/2sxUJTe";;;;"883341992520015872";https://twitter.com/SPNewsAnalysis/status/883341992520015872
storminvestor;2017-07-07 11:03;0;0;"Heritage Trust Co Invests $436,000 in Medtronic PLC $ MDT http:// ift.tt/2sxygpx";;;;"883340695431467009";https://twitter.com/storminvestor/status/883340695431467009
SeekingAlpha;2017-07-07 10:57;0;0;"The New Philips: Sustainable Growth? https:// seekingalpha.com/article/408629 9-new-philips-sustainable-growth?source=feed_f … $ GE $ SIEGY $ MDT $ PHG";;;;"883339123611680768";https://twitter.com/SeekingAlpha/status/883339123611680768
Samantha_JFoley;2017-07-07 09:57;0;1;"2017 Top Investment Picks - Q2 Update https:// shar.es/1BUS2L $ UL $ MDT $ AAPL $ UHT $ NVO $ AQN $ VOD $ JNJ $ HON $ DEO $ NKE $ WMT $ GDXJ";;;;"883324129369366528";https://twitter.com/Samantha_JFoley/status/883324129369366528
TheMarketsDaily;2017-07-07 07:31;0;0;"Stock Traders Purchase High Volume of Call Options on Medtronic PLC $ MDT http:// zpr.io/PdvDY";;;;"883287276310147074";https://twitter.com/TheMarketsDaily/status/883287276310147074
intercooleronli;2017-07-07 07:16;0;0;"Stock Traders Purchase High Volume of Call Options on Medtronic PLC $ MDT http:// ift.tt/2sTVUvF";;;;"883283512471818240";https://twitter.com/intercooleronli/status/883283512471818240
ITRADEVOL;2017-07-07 07:07;0;0;"$ MDT Latest Press Releases https:// marketchameleon.com/Overview/MDT/";;;;"883281310713876481";https://twitter.com/ITRADEVOL/status/883281310713876481
1MinuteStock;2017-07-07 06:21;0;0;"Unicorn Bay rating for $ MDT is 2.88 out of 5. https:// unicornbay.com/t/MDT.US?utm_m edium=tweet&utm_campaign=rank&utm_source=twitter …";;;;"883269625336680448";https://twitter.com/1MinuteStock/status/883269625336680448
StockflareUS;2017-07-07 05:23;0;0;"$ MDT : Medtronic PLC has gained a star, now a 4 star stock. ( https:// stockflare.com/stock/MDT )";;;;"883255254372024320";https://twitter.com/StockflareUS/status/883255254372024320
dailypoliticaln;2017-07-07 05:16;0;0;"Medtronic PLC Sees Unusually High Options Volume $ MDT http:// ift.tt/2sTIn7D";;;;"883253374812082176";https://twitter.com/dailypoliticaln/status/883253374812082176
ZolmaxNews;2017-07-07 05:11;0;0;"Sprott Inc. Has $846,000 Stake in Medtronic PLC $ MDT http:// ift.tt/2tPrAHa";;;;"883252105385054208";https://twitter.com/ZolmaxNews/status/883252105385054208
WKRBNews;2017-07-07 05:11;0;0;"40,514 Shares in Medtronic PLC $ MDT Acquired by Ffcm LLC http:// ift.tt/2sMSnnH";;;;"883252045926608897";https://twitter.com/WKRBNews/status/883252045926608897
WKRBNews;2017-07-07 05:10;0;0;"40,514 Shares in Medtronic PLC $ MDT Acquired by Ffcm LLC http:// ift.tt/2tPt5Fx";;;;"883251781584777216";https://twitter.com/WKRBNews/status/883251781584777216
dailypoliticaln;2017-07-07 05:06;0;0;"Norinchukin Bank The Buys 6,076 Shares of Medtronic PLC $ MDT http:// ift.tt/2sTy3MN";;;;"883250856992419840";https://twitter.com/dailypoliticaln/status/883250856992419840
WatchlistN;2017-07-07 05:02;0;0;"BerganKDV Wealth Management LLC Continues to Hold Position in Medtronic PLC $ MDT http:// ift.tt/2tTAGSQ";;;;"883249954986315776";https://twitter.com/WatchlistN/status/883249954986315776
MomentumSwings;2017-07-07 04:10;0;0;"http:// smq.tc/1VvJJhE Free Trial stock alerts service! Jason Bond is Top 5 rated on Investimonials!! $ CSIQ $ MO $ MDT";;;;"883236818895814656";https://twitter.com/MomentumSwings/status/883236818895814656
midetimes;2017-07-07 02:56;0;0;"Stock Traders Purchase High Volume of Call Options on Medtronic PLC $ MDT http:// ift.tt/2tnB6QI";;;;"883218139114348544";https://twitter.com/midetimes/status/883218139114348544
AlpacaAlerts;2017-07-07 00:28;0;0;"$ MDT is in Dumpling Top Pattern winning 100.00% in the past. https:// goo.gl/CeQDZ3";;;;"883180775209816065";https://twitter.com/AlpacaAlerts/status/883180775209816065
15minofPham;2017-07-07 00:11;0;0;"Closed below 21 EMA & #of days prev abv: $ Z 60, $ EW 57, $ MCK $ MDT $ PLNT 32, $ BX 31, $ AAN 29, $ ABT $ PDCO $ UPS 28, $ OC 25";;;#of;"883176615265525764";https://twitter.com/15minofPham/status/883176615265525764
MarginHunt;2017-07-06 17:25;0;0;"William Blair reiterated Medtronic $ MDT at Outperform. This 5yr DCF shows nice Upside http:// ow.ly/OCDa30dpoiA pic.twitter.com/BGGym2xFIm";;;;"883074342996889600";https://twitter.com/MarginHunt/status/883074342996889600
Barchart;2017-07-06 16:37;0;0;"US stocks skid on concerns about slow hiring; retailers drop $ AMGN $ MDT https://www. barchart.com/social/share?t =US%20stocks%20skid%20on%20concerns%20about%20slow%20hiring%3B%20retailers%20drop&d=NEW%20YORK%20(AP)%20%E2%80%94%20U.S.%20stocks%20are%20taking%20broad%20losses%20Thursday%20as%20investors%20react%20to%20mounting%20evidence%20that%20hiring%20has%20slowed%20down%20based%20on%20a%20report%20from%20payroll%20processor%20ADP.&i=https%3A%2F%2Fs3.amazonaws.com%2Fbarchart-news-media%2Fap%2F6f736eab4c83494f9371fab853efb5cf%2F7603206f31474790a0888388552fca15_aptopix_financial_markets_wall_street_25064.jpg&r=https%3A%2F%2Fwww.barchart.com%2Fnews%2Ftop-stories%23%2Fnews%2F3109348%2Fstocks-skid-on-worries-about-slower-hiring-and-growth&du=false … via @Barchart";;@Barchart;;"883062459380137984";https://twitter.com/Barchart/status/883062459380137984
KenFaulkenberry;2017-07-06 16:28;0;0;"$ MDT Down 1.8% Today. Medtronic Dividend Analyzer Analysis: http:// dividendvaluebuilder.com/medtronic-mdt- dividend-analyzer-analysis/ … via @KenFaulkenberry #dividend #healthcare #Aristocrat pic.twitter.com/rp9nmQyDiw";;@KenFaulkenberry;#dividend #healthcare #Aristocrat;"883060143717580800";https://twitter.com/KenFaulkenberry/status/883060143717580800
TravelTrader1;2017-07-06 16:08;0;0;"http:// bit.ly/1VvJJhE <<< Limited time FREE TRIAL to world class stock alerts chatroom!!! $ FOLD $ CCE $ MDT";;;;"883055028902125568";https://twitter.com/TravelTrader1/status/883055028902125568
dailymailtimes;2017-07-06 16:06;0;0;"Reviewing Medtronic PLC $ MDT & Sunshine Heart $ SSH http:// ift.tt/2sLbTBi";;;;"883054539276005376";https://twitter.com/dailymailtimes/status/883054539276005376
dakotafinancial;2017-07-06 15:07;0;0;"Medtronic PLC $ MDT Given News Sentiment Score of 0.21 http:// ift.tt/2tlzd78";;;;"883039782061920261";https://twitter.com/dakotafinancial/status/883039782061920261
WKRBNews;2017-07-06 14:26;0;0;"Medtronic PLC $ MDT Given News Sentiment Score of 0.21 http:// ift.tt/2tuLDZ3";;;;"883029480473808898";https://twitter.com/WKRBNews/status/883029480473808898
WKRBNews;2017-07-06 14:25;0;0;"Medtronic PLC $ MDT Given News Sentiment Score of 0.21 http:// ift.tt/2sRyg36";;;;"883029171475279872";https://twitter.com/WKRBNews/status/883029171475279872
SPNewsAnalysis;2017-07-06 14:14;0;0;"Medtronic PLC $ MDT Stake Increased by Telos Capital Management Inc. http:// ift.tt/2uOWWuo";;;;"883026484805414915";https://twitter.com/SPNewsAnalysis/status/883026484805414915
SleekMoneycom;2017-07-06 14:11;0;0;"Reviewing Medtronic PLC $ MDT & Sunshine Heart $ SSH http:// ift.tt/2tW9HXP";;;;"883025584691044352";https://twitter.com/SleekMoneycom/status/883025584691044352
TheMarketsDaily;2017-07-06 13:24;0;0;"Medtronic PLC $ MDT Shares Sold by Buckingham Asset Management LLC http:// zpr.io/PdJmK";;;;"883013808633126913";https://twitter.com/TheMarketsDaily/status/883013808633126913
DozenStocks;2017-07-06 11:51;0;0;"S&P100 #Stocks Performance $ GD $ AMGN $ MSFT $ NEE $ RTN $ BMY $ CELG $ CAT $ FDX $ JNJ $ PCLN $ MDT $ DIS $ AGN $ INTC more@http:// 12Stocks.com/sp100";;@http;#Stocks;"882990394673254400";https://twitter.com/DozenStocks/status/882990394673254400
TheMarketsDaily;2017-07-06 11:29;0;0;"Lipe & Dalton Sells 660 Shares of Medtronic PLC $ MDT http:// zpr.io/PdiaY";;;;"882984913745707009";https://twitter.com/TheMarketsDaily/status/882984913745707009
MarketRealist;2017-07-06 11:28;0;0;"How Johnson &amp; Johnson Is Cashing in on Medical Devices http://marketrealist.com?p=2184381 marketrealist.com/?p=2184381 $ JNJ $ PFE $ MRK $ MDT";;;;"882984655196229633";https://twitter.com/MarketRealist/status/882984655196229633
theflynews;2017-07-06 10:50;0;0;"On The Fly: Top five analyst initiations $ NKE $ JPM $ HOME $ LOGI $ MDT http:// dlvr.it/PSfwBn";;;;"882974948897181696";https://twitter.com/theflynews/status/882974948897181696
TheMarketsDaily;2017-07-06 10:37;0;0;"William Blair Reaffirms Outperform Rating for Medtronic PLC $ MDT http:// zpr.io/Pd54H";;;;"882971856260804614";https://twitter.com/TheMarketsDaily/status/882971856260804614
dakotafinancial;2017-07-06 09:47;0;0;"Intellectus Partners LLC Sells 310 Shares of Medtronic PLC $ MDT http:// ift.tt/2sJCBdA";;;;"882959176967884801";https://twitter.com/dakotafinancial/status/882959176967884801
JorelLaraKalel;2017-07-06 09:06;0;1;"Thursday's Upgrades/Downgrades http:// bit.ly/2uNI2EI $ AZO $ CECE $ IMGN $ LOGI $ MDT $ NKE $ NSC $ ONCS $ ORLY $ PDCO $ SLB $ WFT";;;;"882948830517489665";https://twitter.com/JorelLaraKalel/status/882948830517489665
