username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1MinuteStock;2017-07-08 02:32;0;0;"Wondering about risks of $ MHK ? The 21-day volatility is 4.12% https:// unicornbay.com/t/MHK.US?utm_m edium=tweet&utm_campaign=volatility&utm_source=twitter …";;;;"883574379161964544";https://twitter.com/1MinuteStock/status/883574379161964544
FinInvTr;2017-07-07 23:17;0;0;"Dan Loeb's Stock Holdings $ SHW $ DHR $ CRM $ GD $ MHK $ QCOM $ ZAYO $ HUM http:// buff.ly/2tVZNVW";;;;"883525520599764992";https://twitter.com/FinInvTr/status/883525520599764992
IRAMarketReport;2017-07-07 18:52;0;0;"Mohawk Industries, Inc. $ MHK Shares Sold by Capital Investment Services of America Inc. http:// ift.tt/2syX9RX";;;;"883458663750541312";https://twitter.com/IRAMarketReport/status/883458663750541312
ZolmaxNews;2017-07-07 18:51;0;0;"Mohawk Industries, Inc. $ MHK Shares Sold by Capital Investment Services of America Inc. http:// ift.tt/2sWAG0x";;;;"883458458267332609";https://twitter.com/ZolmaxNews/status/883458458267332609
chaffeybreeze;2017-07-07 18:49;0;0;"Mohawk Industries, Inc. $ MHK Shares Sold by Capital Investment Services of America Inc. http:// ift.tt/2syX9RX";;;;"883458008990322689";https://twitter.com/chaffeybreeze/status/883458008990322689
WiserProfits;2017-07-07 18:37;0;0;"Alert for $ MHK | Impact: Low | Sentiment score: 8 | #free #stocknews #alerts in #realtime #wiserprofits http:// wiserprofits.com/article/?url=h ttp://www.cnbc.com/2017/07/07/pr-newswire-mohawk-industries-inc-invites-you-to-join-the-second-quarter-2017-conference-call-on-the-web.html …";;;#free #stocknews #alerts #realtime #wiserprofits;"883455018787115008";https://twitter.com/WiserProfits/status/883455018787115008
Resd_services;2017-07-07 16:16;0;0;"#MohawkIndustries : Invites You to Join the Second Quarter 2017 Conference Call on the Web. Read more: http:// owler.us/acZvhx $ MHK";;;#MohawkIndustries;"883419471653650433";https://twitter.com/Resd_services/status/883419471653650433
ITRADEVOL;2017-07-07 14:49;0;0;"Recent Company-Issued Press Releases $ THQ $ THW $ MHK $ MCY $ CADE $ CPAC $ TXT $ UNF $ XEL $ DGLY $ FMBI $ TSLA $ GROW $ PCYO https:// marketchameleon.com/PressReleases";;;;"883397473183518722";https://twitter.com/ITRADEVOL/status/883397473183518722
Resd_services;2017-07-07 14:46;0;0;"#MohawkIndustries , Inc. Invites You to Join the Second Quarter 2017 Conference Call on the Web. Read more: http:// owler.us/acZuRH $ MHK";;;#MohawkIndustries;"883396735296352257";https://twitter.com/Resd_services/status/883396735296352257
newswelldone;2017-07-07 14:23;0;0;"$ MHK : Mohawk Industries, Inc. Invites You to Join the Second Quarter 2017 …: http://www. StockNewsWires.com/mhk-mohawk-ind ustries-inc-invites-you-to-join-the-second-quarter-2017/ …";;;;"883390971714482177";https://twitter.com/newswelldone/status/883390971714482177
