username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VistaPResearch;2017-07-08 01:40;2;1;"@boxticker thanks for follow! See Vista Partners #Investing #tech #biotech http://www. vistapglobal.com $ MMM $ UTX $ ATOS $ MRK $ DGLT pic.twitter.com/Gkvq6WXU8l";;@boxticker;#Investing #tech #biotech;"883561400303366144";https://twitter.com/VistaPResearch/status/883561400303366144
stockbard;2017-07-07 23:49;0;0;"$ SWAY $ TEN $ DATA $ TOO $ RAD $ I $ EFF $ MS $ LAD $ MMM !";;;;"883533528557858816";https://twitter.com/stockbard/status/883533528557858816
FinInvTr;2017-07-07 22:38;0;1;"Quality Businesses Likely To Outperform During A Down-Cycle $ AAPL $ AMZN $ PG $ MA $ DIS $ MMM $ FB $ GOOG $ GOOGL $ BABA http:// buff.ly/2sKCYUY";;;;"883515562424496128";https://twitter.com/FinInvTr/status/883515562424496128
stockbard;2017-07-07 21:19;0;0;"$ BAM ! $ IM $ TWO $ MEN $ AGO $ MMM ! $ I $ AM $ ALL $ STAY $ TOO $ ONE";;;;"883495778177732609";https://twitter.com/stockbard/status/883495778177732609
ZolmaxNews;2017-07-07 19:36;0;0;"Somewhat Positive Media Coverage Likely to Affect 3M Company $ MMM Stock Price http:// ift.tt/2sQ8YHw";;;;"883469857622241280";https://twitter.com/ZolmaxNews/status/883469857622241280
dailymailtimes;2017-07-07 19:31;0;0;"Somewhat Positive Media Coverage Likely to Affect 3M Company $ MMM Stock Price http:// ift.tt/2tzmiwS";;;;"883468631258038273";https://twitter.com/dailymailtimes/status/883468631258038273
FinInvTr;2017-07-07 19:15;0;0;"The Dow's Top 5 Stocks This Year $ AAPL $ MCD $ BA $ V $ MMM http:// buff.ly/2sPUhPB";;;;"883464461637517319";https://twitter.com/FinInvTr/status/883464461637517319
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
TheMarketsDaily;2017-07-07 16:40;0;0;"1,970 Shares in 3M Company $ MMM Acquired by PBWM Holdings LLC http:// zpr.io/PdQXr";;;;"883425463334469633";https://twitter.com/TheMarketsDaily/status/883425463334469633
Benzinga;2017-07-07 16:34;0;0;"For The Jobs Number, The Devil Is In The Details https:// benzinga.com/z/9753456 $ SPY $ BA $ JCP $ M $ MMM $ UTX";;;;"883424005574864898";https://twitter.com/Benzinga/status/883424005574864898
