username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
amy_whittlesey;2017-07-07 22:54;0;0;"Wow! Putin has more $ Mo $ than Bill Gates! #PowerOfPutin Awesome! Microsoft sucks-";;;#PowerOfPutin;"883519612339593218";https://twitter.com/amy_whittlesey/status/883519612339593218
Stock_Forecast;2017-07-07 22:01;0;1;"Top 5 forecasted #stocks for Jul, Mon 10: $ GS - Long, $ MRK - Long, $ NTES - Long, $ MO - Long, $ SNY - Short. http:// daily-stock-forecast.com";;;#stocks;"883506333596647424";https://twitter.com/Stock_Forecast/status/883506333596647424
WatchlistN;2017-07-07 19:57;0;0;"Somewhat Positive Press Coverage Somewhat Unlikely to Affect Altria Group $ MO Stock Price http:// ift.tt/2uAqJI2";;;;"883474983758045188";https://twitter.com/WatchlistN/status/883474983758045188
dailymailtimes;2017-07-07 19:51;0;0;"Somewhat Positive Press Coverage Somewhat Unlikely to Affect Altria Group $ MO Stock Price http:// ift.tt/2sPNLx7";;;;"883473595728625665";https://twitter.com/dailymailtimes/status/883473595728625665
StocksThatDoubl;2017-07-07 16:59;0;0;"http:// BiloSelhi.com members have an advantage. SEE TRACK RECORD & SUBSCRIBE pic.twitter.com/7uWekI8Rdq $ MO $ BMY $ POT $ APA $ CNQ $ CCL";;;;"883430296628154368";https://twitter.com/StocksThatDoubl/status/883430296628154368
StocksThatDoubl;2017-07-07 16:49;0;0;"http:// BiloSelhi.com alerted another winner. MUST SEE TRACK RECORD & SUBSCRIBE pic.twitter.com/7MJOSawfOB $ DIS $ MO $ BMY $ POT $ APA $ CNQ";;;;"883427767899082752";https://twitter.com/StocksThatDoubl/status/883427767899082752
StocksThatDoubl;2017-07-07 16:39;0;0;"http:// BiloSelhi.com members have an advantage. SEE TRACK RECORD pic.twitter.com/jJblPPWxLK $ CLR $ DIS $ MO $ BMY $ POT $ APA";;;;"883425244219834369";https://twitter.com/StocksThatDoubl/status/883425244219834369
StocksThatDoubl;2017-07-07 16:29;0;0;"http:// BiloSelhi.com alerted another winner. MUST SEE TRACK RECORD & SUBSCRIBE pic.twitter.com/07CVi8iqIp $ JAH $ CLR $ DIS $ MO $ BMY $ POT";;;;"883422723753619457";https://twitter.com/StocksThatDoubl/status/883422723753619457
SAlphaTrending;2017-07-07 16:00;0;0;"Does Dividend Growth Investing Have A Place In Your Portfolio? https:// seekingalpha.com/article/408637 0-dividend-growth-investing-place-portfolio?source=feed_t … $ ABT $ CL $ CVX $ INTC $ JNJ $ KMB $ KO $ MCD $ MO $ MSFT";;;;"883415331523313664";https://twitter.com/SAlphaTrending/status/883415331523313664
StocksThatDoubl;2017-07-07 15:50;0;0;"http:// BiloSelhi.com alerted another winner. MUST SEE TRACK RECORD & SUBSCRIBE pic.twitter.com/7uWekI8Rdq $ WY $ DOW $ JAH $ CLR $ DIS $ MO";;;;"883412809354227713";https://twitter.com/StocksThatDoubl/status/883412809354227713
