username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ProfectuSystems;2017-07-08 02:12;0;0;"Stock and Options trading system. VolatilityTrader: https:// profectussystems.autotradenow.com/details/100722 273 … $ SVXY $ W $ WYNN $ UVXY $ SRPT $ TIF $ TGT $ LOW $ TWLO $ VIX $ FN $ MON";;;;"883569507222114304";https://twitter.com/ProfectuSystems/status/883569507222114304
LA_Trader1983;2017-07-08 01:56;0;0;"http:// smq.tc/1VvJJhE .FREE TRIAL. JasonBond trade alerts!! $ NVS $ SLB $ MON $ AMBA $ ICPT";;;;"883565381763252224";https://twitter.com/LA_Trader1983/status/883565381763252224
BColwell_ECON;2017-07-08 01:04;0;0;"In 2016 I applied 2 a #writing position w/ @MonsantoCo @climatecorp . Here are reasons 2 love #Monsanto http:// briandcolwell.com/2016/08/brian- colwell-the-climate-corporations-new-writer-and-content-manager-01b5p/.html … $ bayry $ mon pic.twitter.com/ILgbGar9et";;@MonsantoCo @climatecorp;#writing #Monsanto;"883552292624101376";https://twitter.com/BColwell_ECON/status/883552292624101376
FreeTrialStocks;2017-07-07 22:32;0;0;"http:// smq.tc/1VvJJhE Free Porsche u are this traders top trading student!!!! $ CRM $ CSCO $ RPRX $ TNXP $ MON $ SSI";;;;"883514047487852544";https://twitter.com/FreeTrialStocks/status/883514047487852544
TheMarketsDaily;2017-07-07 19:48;0;0;"Monsanto Company $ MON Upgraded to “Buy” by Vetr Inc. http:// zpr.io/PeUZp";;;;"883472817207074817";https://twitter.com/TheMarketsDaily/status/883472817207074817
IRAMarketReport;2017-07-07 18:57;0;0;"Monsanto Company $ MON EVP Steven Mizell Sells 11,300 Shares http:// ift.tt/2tRAggi";;;;"883459970133569537";https://twitter.com/IRAMarketReport/status/883459970133569537
chaffeybreeze;2017-07-07 18:56;0;0;"Monsanto Company $ MON EVP Steven Mizell Sells 11,300 Shares http:// ift.tt/2tRAggi";;;;"883459652331208704";https://twitter.com/chaffeybreeze/status/883459652331208704
TranscriptDaily;2017-07-07 17:28;0;0;"Monsanto Company $ MON Shares Sold by Van ECK Associates Corp http:// ift.tt/2tzeVFL";;;;"883437596889808897";https://twitter.com/TranscriptDaily/status/883437596889808897
ZolmaxNews;2017-07-07 15:31;0;0;"Monsanto Company $ MON Upgraded to “Buy” by Vetr Inc. http:// ift.tt/2tRg91z";;;;"883408266642034690";https://twitter.com/ZolmaxNews/status/883408266642034690
LA_Trader1983;2017-07-07 14:40;0;0;"http:// bit.ly/1Hn6GPq << Tim sykes, millionaire trader, free video lesson! $ QCOM $ MON $ DIA $ UWTI";;;;"883395415231447042";https://twitter.com/LA_Trader1983/status/883395415231447042
