username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CrookHillTrader;2017-07-08 02:22;0;0;"http:// smq.tc/1VvJJhE Get FREE access to Jason Bond Stock Alerts simply click the link…. $ AAPL $ CSCO $ MRK";;;;"883571944502599680";https://twitter.com/CrookHillTrader/status/883571944502599680
herkyleese;2017-07-08 01:45;0;1;"$ mrk $ nwbo heating up pic.twitter.com/mS7TKEAt4Y";;;;"883562629951660032";https://twitter.com/herkyleese/status/883562629951660032
VistaPResearch;2017-07-08 01:40;2;1;"@boxticker thanks for follow! See Vista Partners #Investing #tech #biotech http://www. vistapglobal.com $ MMM $ UTX $ ATOS $ MRK $ DGLT pic.twitter.com/Gkvq6WXU8l";;@boxticker;#Investing #tech #biotech;"883561400303366144";https://twitter.com/VistaPResearch/status/883561400303366144
MakeTrades;2017-07-08 00:01;0;0;"$ MRK looks good here for a bounce off the 200 Day SMA";;;;"883536524419227649";https://twitter.com/MakeTrades/status/883536524419227649
FinInvTr;2017-07-08 00:01;1;0;"Looking Inside The Market's Best Dividend ETF $ MSFT $ JNJ $ XOM $ JPM $ WFC $ GE $ T $ PG $ PFE $ CVX $ VZ $ KO $ PM $ MRK http:// buff.ly/2sKNBah";;;;"883536460238000128";https://twitter.com/FinInvTr/status/883536460238000128
15minofPham;2017-07-07 23:56;0;0;"Highest Call-Put ratio vs OI. CALL: $ EA $ DHI $ WMT $ MEIP $ TLT $ PBR $ MRK . PUT: $ VRX $ GILD $ MRVL $ WYNN $ GDX $ ETH $ WPM http:// tinyurl.com/ls6vzw7 pic.twitter.com/X37CpjzZkO";;;;"883535294947086338";https://twitter.com/15minofPham/status/883535294947086338
Stock_Forecast;2017-07-07 22:01;0;1;"Top 5 forecasted #stocks for Jul, Mon 10: $ GS - Long, $ MRK - Long, $ NTES - Long, $ MO - Long, $ SNY - Short. http:// daily-stock-forecast.com";;;#stocks;"883506333596647424";https://twitter.com/Stock_Forecast/status/883506333596647424
VistaPResearch;2017-07-07 21:45;0;0;"@MarlaHayes thanks for follow! See Vista Partners #InvestingForGrowth #Dow30 http://www. vistapglobal.com $ MRK $ WMT $ HIIQ $ ATOS #Healthcare pic.twitter.com/VDNkbnXsCN";;@MarlaHayes;#InvestingForGrowth #Dow30 #Healthcare;"883502150097055745";https://twitter.com/VistaPResearch/status/883502150097055745
mr_env_dev;2017-07-07 19:54;0;0;"The Major Growth Drivers for AstraZeneca in 2017 http://localhost?p=2187735 $ AZN $ VXUS $ RHHBY $ MRK";;;;"883474432555184128";https://twitter.com/mr_env_dev/status/883474432555184128
BioPharmaDive;2017-07-07 19:44;0;0;"Rx Reading: $ CELG expands oncology pipeline; $ RHHBY , $ PTCT reveal topline results; FDA hits $ MRK with clinical holds http:// bit.ly/2tQS9fi";;;;"883471694404272128";https://twitter.com/BioPharmaDive/status/883471694404272128
finzine;2017-07-07 19:35;0;0;"$ MRK SEC Lets More Companies Ignore Shareholder Proposals in 2017 http:// finance.yahoo.com/r/f9ecef19-1f1 4-3500-97ff-d9919d0285c0/sec-lets-more-companies-ignore-shareholder-proposals-in-2017-1499447145 …";;;;"883469503677509632";https://twitter.com/finzine/status/883469503677509632
tasciccac;2017-07-07 18:00;1;1;"$ DJIA WKLY Best performing $ JPM $ BA $ MCD $ DD $ GS $ UNH $ MSFT $ MMM Worst $ GE $ DIS $ NKE $ MRK $ VZ $ KO $ CVX $ HD $ PFE $ XOM #Ichimoku #Dashboard pic.twitter.com/irDk3fLrsu";;;#Ichimoku #Dashboard;"883445564884619266";https://twitter.com/tasciccac/status/883445564884619266
SPNewsAnalysis;2017-07-07 17:37;0;0;"$9.70 Billion in Sales Expected for Merck & Company, Inc. $ MRK This Quarter http:// ift.tt/2tyYSbe";;;;"883439804209389569";https://twitter.com/SPNewsAnalysis/status/883439804209389569
storminvestor;2017-07-07 17:32;0;0;"$9.70 Billion in Sales Expected for Merck & Company, Inc. $ MRK This Quarter http:// ift.tt/2u1yqtD";;;;"883438583205560321";https://twitter.com/storminvestor/status/883438583205560321
IRAMarketReport;2017-07-07 16:43;0;0;"Mycio Wealth Partners LLC Boosts Stake in Merck & Company, Inc. $ MRK http:// ift.tt/2uTVerU";;;;"883426212235923457";https://twitter.com/IRAMarketReport/status/883426212235923457
chaffeybreeze;2017-07-07 16:39;0;0;"Mycio Wealth Partners LLC Boosts Stake in Merck & Company, Inc. $ MRK http:// ift.tt/2uTVerU";;;;"883425248544251904";https://twitter.com/chaffeybreeze/status/883425248544251904
DozenStocks;2017-07-07 15:58;0;1;"Dow #Stocks Trend $ MSFT $ CAT $ INTC $ MRK $ DD $ BA $ CSCO $ AAPL $ IBM $ MCD $ JPM $ DIS $ UNH $ V $ HD $ TRV $ MMM $ AXP $ GS @http:// 12Stocks.com/dow";;@http;#Stocks;"883414968242130944";https://twitter.com/DozenStocks/status/883414968242130944
