username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MakeItRein83;2017-07-07 22:41;0;0;"$ MSFT $ LBTYA $ LAUR This Watch List tells you about all stocks trading with catalysts and volume URL: http:// bit.ly/2tmw4EM pic.twitter.com/A2midiHOz7";;;;"883516250890149890";https://twitter.com/MakeItRein83/status/883516250890149890
tickerguy;2017-07-07 22:19;4;3;"https:// market-ticker.org/post=232210 To America's Tech Companies: May You ALL Be Astroided $ msft $ goog $ bbry";;;;"883510939093544965";https://twitter.com/tickerguy/status/883510939093544965
News_Screamer;2017-07-07 22:09;0;0;"Grand Theft Auto V - Xbox 360 http:// amzn.to/29Jmxdd $ TTWO $ MSFT #gta #gta5 #gaming";;;#gta #gta5 #gaming;"883508259210088450";https://twitter.com/News_Screamer/status/883508259210088450
TrackerLed;2017-07-07 21:40;0;0;"http:// smq.tc/1VvJJhE < Stock Trading Watch List/Chat/Educational Alerts *FREE TRIAL!!! $ MSFT $ FB $ GOOGL";;;;"883501116108849152";https://twitter.com/TrackerLed/status/883501116108849152
microcapcompany;2017-07-07 21:00;0;0;"Tech Leaders: Steve Jobs & @BillGates Talks Shop In Epic Interview About Internet Of Things $ AAPL $ MSFT http:// ow.ly/aoei30dl6YR";;@BillGates;;"883490982897094656";https://twitter.com/microcapcompany/status/883490982897094656
FinInvTr;2017-07-07 20:20;0;0;"Tech's 4% Drop From Highs Signals Stretched Valuations $ AMZN $ AAPL $ GOOG $ GOOGL $ MSFT $ FB $ BABA http:// buff.ly/2sR0xqx";;;;"883480845448859648";https://twitter.com/FinInvTr/status/883480845448859648
FinInvTr;2017-07-07 20:08;0;0;"$ AAPL Is More A Retail Company Than A Tech Company | $ GOOG $ GOOGL $ MSFT $ FB $ AMZN $ BABA | http:// buff.ly/2u1uBVt";;;;"883477747879870464";https://twitter.com/FinInvTr/status/883477747879870464
ReidMyTweets1;2017-07-07 20:06;0;0;"$ GOLD $ MSFT $ LBTYA If you day trade, you must have this URL: http:// bit.ly/2tmiIbD pic.twitter.com/bJBbt2Ns0i";;;;"883477374364512257";https://twitter.com/ReidMyTweets1/status/883477374364512257
MarketRealist;2017-07-07 20:05;0;0;"Update on the US Internet Industry: Twitter, PayPal, and Alexa http://marketrealist.com?p=2189848 marketrealist.com/?p=2189848 $ GOOGL $ AMZN $ MSFT $ AAPL";;;;"883477062543171586";https://twitter.com/MarketRealist/status/883477062543171586
FinInvTr;2017-07-07 20:04;1;0;"A Small Number Of Stocks Account For 50% Of The S&P's Gains $ SPY $ AAPL $ GOOG $ GOOGL $ AMZN $ MSFT $ FB http:// buff.ly/2tQ39Jc";;;;"883476964262150144";https://twitter.com/FinInvTr/status/883476964262150144
Barchart;2017-07-07 20:00;0;1;"Today's Most Active #Options $ AAPL $ TSLA $ AMD $ BAC $ FB $ MSFT $ NVDA $ CHK $ GE $ T See Full List https://www. barchart.com/options/most-a ctive … pic.twitter.com/weJek8gzxs";;;#Options;"883475726284017664";https://twitter.com/Barchart/status/883475726284017664
FinInvTr;2017-07-07 19:58;0;0;"The Market's Top Monopolies $ MSFT $ ORCL $ CRM $ QCOM $ TSLA http:// buff.ly/2sQRiX8";;;;"883475343587364865";https://twitter.com/FinInvTr/status/883475343587364865
BatmanTradr;2017-07-07 19:43;0;1;"$ AAPL $ FB $ MSFT $ SPY Stop the SPAM you MOFO! Jason Bond is #FRAUD and #SCAM ! https:// twitter.com/MomentumSwings /status/883463710571765760 …";;;#FRAUD #SCAM;"883471489508544512";https://twitter.com/BatmanTradr/status/883471489508544512
EconomicHedge;2017-07-07 19:34;0;0;"#Microsoft 's recent layoffs was due to #TechnologicalUnemployment This will be common in ALL industries. $ MSFT https:// twitter.com/Thomas1774Pain e/status/883463172623126528 …";;;#Microsoft #TechnologicalUnemployment;"883469398106714113";https://twitter.com/EconomicHedge/status/883469398106714113
