username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SleekMoneycom;2017-07-07 19:11;0;0;"Mitsubishi UFJ Financial Group $ MTU Receives Daily Media Sentiment Rating of 0.34 http:// ift.tt/2sz0gJo";;;;"883463491310555136";https://twitter.com/SleekMoneycom/status/883463491310555136
SimplyTrades2;2017-07-07 14:43;0;0;"http:// profit.ly/5005Pn Tim Sykes gives a lecture at Harvard! Let him show you how to succeed trading full time! $ MTU $ EDAP $ MOMO $ S";;;;"883396010201931776";https://twitter.com/SimplyTrades2/status/883396010201931776
dakotafinancial;2017-07-07 09:31;0;0;"Mitsubishi UFJ Financial Group Inc $ MTU Raised to “Buy” at Zacks Investment Research http:// ift.tt/2sx7ddR";;;;"883317577287688193";https://twitter.com/dakotafinancial/status/883317577287688193
WatchlistN;2017-07-07 05:32;0;0;"Mitsubishi UFJ Financial Group Inc $ MTU Raised to “Buy” at Zacks Investment Research http:// ift.tt/2swzjWW";;;;"883257391004999681";https://twitter.com/WatchlistN/status/883257391004999681
StockMoneyAlert;2017-07-07 01:07;0;0;"http:// bit.ly/2frBpo7 < Checkout my article on The Power Of Earnings Season $ gst $ idra $ AVGR $ MTU $ CLD";;;;"883190672244711424";https://twitter.com/StockMoneyAlert/status/883190672244711424
US_proptrader;2017-07-06 12:00;0;0;"Algo $ CARA $ MTU Charts @http:// goo.gl/fJlTyV";;@http;;"882992543012708354";https://twitter.com/US_proptrader/status/882992543012708354
US_proptrader;2017-07-06 11:45;0;0;"Algo $ KTOV $ BGNE $ MTU Charts @http:// goo.gl/fJlTyV";;@http;;"882988769086930945";https://twitter.com/US_proptrader/status/882988769086930945
WKRBNews;2017-07-06 10:41;0;0;"Mitsubishi UFJ Financial Group Inc $ MTU Rating Increased to Buy at Zacks Investment Research http:// ift.tt/2tu9Hen";;;;"882972792710365184";https://twitter.com/WKRBNews/status/882972792710365184
WKRBNews;2017-07-06 10:40;0;0;"Mitsubishi UFJ Financial Group Inc $ MTU Rating Increased to Buy at Zacks Investment Research http:// ift.tt/2tMpzLS";;;;"882972431161405444";https://twitter.com/WKRBNews/status/882972431161405444
TheMarketsDaily;2017-07-06 08:59;0;1;"Mitsubishi UFJ Financial Group Inc $ MTU Shares Sold by SG Americas Securities LLC http:// zpr.io/Pd5nL";;;;"882947039927177217";https://twitter.com/TheMarketsDaily/status/882947039927177217
WatchlistN;2017-07-06 08:22;0;0;"BlueCrest Capital Management Ltd Acquires New Stake in Mitsubishi UFJ Financial Group Inc $ MTU http:// ift.tt/2tLW0dg";;;;"882937836936335361";https://twitter.com/WatchlistN/status/882937836936335361
dailypoliticaln;2017-07-06 06:24;0;0;"Mitsubishi UFJ Financial Group Inc $ MTU Shares Sold by SG Americas Securities LLC http:// ift.tt/2utC7We";;;;"882908052202151936";https://twitter.com/dailypoliticaln/status/882908052202151936
Trade_Alertinto;2017-07-06 05:45;0;0;"http:// stockmillionaires.com/earnings-seaso n-must-know-trader/?utm_source=Twitter&utm_medium=social&utm_campaign=SmarterQueue&utm_content=Articles … < Checkout my article on The Power Of Earnings Season $ gst $ idra $ AVGR $ MTU $ CLD pic.twitter.com/fBod5m1tKR";;;;"882898341520080896";https://twitter.com/Trade_Alertinto/status/882898341520080896
TraderMN1;2017-07-05 22:09;0;0;"Watch list tomorrow: $ CERU , $ CVRS , $ RAD , $ RWLK , $ ACHN , $ IPI , $ MTU , $ PPHM , $ ZN";;;;"882783524704710660";https://twitter.com/TraderMN1/status/882783524704710660
trading_large;2017-07-05 14:36;0;0;"http:// bit.ly/1VvJJhE [Free Trial] Give JasonBond 90 days + he will make you a better trader! $ FDNH $ FES $ MTU";;;;"882669488814018560";https://twitter.com/trading_large/status/882669488814018560
deepxdive;2017-07-05 13:13;0;0;"$ MTU ETFs with exposure to Mitsubishi UFJ Financial Group, Inc. July 5, 2017 https:// online.capitalcube.com/#!/stock/US/ex change/MTU/investment-analysis/ETF%20Alternatives …";;;#;"882648728078823426";https://twitter.com/deepxdive/status/882648728078823426
TradingSysGroup;2017-07-05 11:25;0;0;"$ MTU sell target $6.92 approaching (purchased $6.29). See profile link for free swing trading system and come discuss in the forums!";;;;"882621541749579777";https://twitter.com/TradingSysGroup/status/882621541749579777
DayTradeMachine;2017-07-05 09:24;0;0;"Good Morning : The Machine is watching $ CLSN , $ DRYS , $ MSDI , $ MORE , $ TOPS , $ OPXA , $ BLFS , $ BBL , $ MTU , $ DWT , $ CAB , $ YCS , $ PHI , $";;;;"882591039600513024";https://twitter.com/DayTradeMachine/status/882591039600513024
StockflareUS;2017-07-05 05:37;0;0;"$ MTU : The earnings of Mitsubishi UFJ Financial Group Inc (ADR) are now forecast to grow. ( https:// stockflare.com/stock/MTU )";;;;"882533842170642432";https://twitter.com/StockflareUS/status/882533842170642432
SimplyTrades2;2017-07-04 16:00;0;0;"http:// profit.ly/5005Pn Tim Sykes gives a lecture at Harvard! Let him show you how to succeed trading full time! $ MTU $ EDAP $ MOMO $ S";;;;"882328345437806592";https://twitter.com/SimplyTrades2/status/882328345437806592
ProTradersNews;2017-07-04 14:07;1;0;"$ TM $ MTU : Japan Economy On The Mend? ETFs In Focus: http://www. StockNewsWires.com/tm-mtu-japan-e conomy-on-the-mend-etfs-in-focus/ …";;;;"882299748916445184";https://twitter.com/ProTradersNews/status/882299748916445184
ZolmaxNews;2017-07-04 13:43;0;0;"Mitsubishi UFJ Financial Group $ MTU Earning Positive News Coverage, Accern Reports http:// ift.tt/2uH5x22";;;;"882293813649321984";https://twitter.com/ZolmaxNews/status/882293813649321984
deepxdive;2017-07-04 12:13;0;0;"$ MTU Mitsubishi UFJ Financial Group, Inc. MTU-US Earnings Analysis Q4, 2017 By the Numbers July 4, 2017 https:// online.capitalcube.com/#!/stock/US/ex change/MTU/Earningsreleaseaol … pic.twitter.com/EnbNmyQA7T";;;#;"882271040478597120";https://twitter.com/deepxdive/status/882271040478597120
