username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SPNewsAnalysis;2017-07-07 18:32;0;0;"NextEra Energy, Inc. $ NEE Lowered to “Hold” at BidaskClub http:// ift.tt/2uTYcwn";;;;"883453709556080640";https://twitter.com/SPNewsAnalysis/status/883453709556080640
storminvestor;2017-07-07 18:32;0;0;"NextEra Energy, Inc. $ NEE Lowered to “Hold” at BidaskClub http:// ift.tt/2tSbI6W";;;;"883453638571696129";https://twitter.com/storminvestor/status/883453638571696129
TheMarketsDaily;2017-07-07 17:37;0;0;"NextEra Energy $ NEE Receives Daily Coverage Optimism Score of 0.28 http:// zpr.io/PdQCU";;;;"883439936032186368";https://twitter.com/TheMarketsDaily/status/883439936032186368
WatchlistN;2017-07-07 17:37;0;0;"NextEra Energy $ NEE Receives Daily Coverage Optimism Score of 0.28 http:// ift.tt/2tqxWM8";;;;"883439839353466880";https://twitter.com/WatchlistN/status/883439839353466880
ZolmaxNews;2017-07-07 17:32;0;0;"NextEra Energy, Inc. $ NEE Lowered to “Hold” at BidaskClub http:// ift.tt/2syLm5U";;;;"883438542587908096";https://twitter.com/ZolmaxNews/status/883438542587908096
StockNewsWires;2017-07-07 16:24;0;0;"$ NEE $ D $ SO $ DUK : Dominion: Strong Growth Outlook: http://www. StockNewsWires.com/nee-d-so-duk-d ominion-strong-growth-outlook/ …";;;;"883421384705048576";https://twitter.com/StockNewsWires/status/883421384705048576
deepxdive;2017-07-07 16:22;0;0;"$ NEE NextEra Energy, Inc. – Value Analysis (NYSE NEE) July 7, 2017 https:// online.capitalcube.com/#!/stock/US/ex change/NEE/investment-analysis … pic.twitter.com/J3adAH8DmK";;;#;"883421041246310400";https://twitter.com/deepxdive/status/883421041246310400
SEEKINGALPHA_FS;2017-07-07 16:21;0;0;"Dominion: Strong Growth Outlook https:// seekingalpha.com/article/408637 5-dominion-strong-growth-outlook?source=twitter_sa_factset … $ AMZN $ DUK $ ED $ NEE $ PPL $ SCG $ SO $ D";;;;"883420654925631488";https://twitter.com/SEEKINGALPHA_FS/status/883420654925631488
SeekingAlpha;2017-07-07 16:21;0;0;"Dominion: Strong Growth Outlook https:// seekingalpha.com/article/408637 5-dominion-strong-growth-outlook?source=feed_f … $ AMZN $ DUK $ ED $ NEE $ PPL $ SCG $ SO $ D";;;;"883420652027301889";https://twitter.com/SeekingAlpha/status/883420652027301889
TomTerrarosa;2017-07-07 15:48;0;3;"B/c Singer has to own everything...funny, he's also fighting w/ $ NRG , one of $ NEE 's biggest competitors. ICYMI $ NEE wanted to buy Oncor 1st https:// twitter.com/EmilyStewartM/ status/883404413921972224 …";;;;"883412534392442880";https://twitter.com/TomTerrarosa/status/883412534392442880
ProVesting;2017-07-07 12:28;0;0;"$ STOR $ BRKB $ NEE : Warren Buffett Makes $9 Billion Return To Investment That Cost Him Big: http://www. StockNewsWires.com/stor-brkb-nee- warren-buffett-makes-9-billion-return-to-investment-that-cost-him-big/ …";;;;"883361986737602561";https://twitter.com/ProVesting/status/883361986737602561
DozenStocks;2017-07-07 11:50;0;0;"S&P100 #Stocks Performance $ GD $ AMGN $ MSFT $ NEE $ RTN $ BMY $ CELG $ CAT $ FDX $ JNJ $ PCLN $ MDT $ DIS $ AGN $ INTC more@http:// 12Stocks.com/sp100";;@http;#Stocks;"883352617778159616";https://twitter.com/DozenStocks/status/883352617778159616
StockSpotter;2017-07-07 10:56;0;0;"$ NEE up 0.8% to 140.65 bullish at a cycle bottom #stocks #markets #trading http:// bit.ly/1nbukAd";;;#stocks #markets #trading;"883338959161483266";https://twitter.com/StockSpotter/status/883338959161483266
