username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
stocksr4fun;2017-07-08 01:50;0;0;"$ NKE Check out this site! #InvestorsHangout $ PPRUF $ KLMK $ RLBY $ CALZF $ TMRAY http:// dlvr.it/PT3n7z";;;#InvestorsHangout;"883563819800313857";https://twitter.com/stocksr4fun/status/883563819800313857
OptionAlarm;2017-07-08 00:15;1;1;"It's a stock-pickers market again. Recent winners include $ NFLX $ WMT $ AAPL $ NVDA $ BABA $ NKE Free Trials, hitting swing winners since 2006";;;;"883539921696325633";https://twitter.com/OptionAlarm/status/883539921696325633
ExactOptionPick;2017-07-07 22:30;0;0;"ACTIVE TRADERS choose one of these FREE trading guides: http:// ow.ly/2oPF30dqfA9 $ NFLX $ TSLA $ AAPL $ NKE $ GS $ FB $ AMZN $ GOOGL $ NVDA";;;;"883513504225005568";https://twitter.com/ExactOptionPick/status/883513504225005568
optionalarmchat;2017-07-07 21:50;0;0;"REAL TIME TRADE ALERTS via PRIVATE $ TWTR FEED, perfect for people who have FT jobs and trade part-time! $ AMZN $ NKE $ BABA $ FB";;;;"883503416378576896";https://twitter.com/optionalarmchat/status/883503416378576896
chaffeybreeze;2017-07-07 21:24;0;0;"Nike, Inc. $ NKE Receives New Coverage from Analysts at Raymond James Financial, Inc. http:// ift.tt/2trkUyd";;;;"883496906835595264";https://twitter.com/chaffeybreeze/status/883496906835595264
IRAMarketReport;2017-07-07 21:22;0;0;"Nike, Inc. $ NKE Receives New Coverage from Analysts at Raymond James Financial, Inc. http:// ift.tt/2trkUyd";;;;"883496498243227648";https://twitter.com/IRAMarketReport/status/883496498243227648
OptionAlarm;2017-07-07 21:15;1;1;"It's a stock-pickers market again. Recent winners include $ NKE $ AAPL $ TSLA $ NVDA $ BABA $ GS Free Trials, hitting swing winners since 2006";;;;"883494627327848448";https://twitter.com/OptionAlarm/status/883494627327848448
platapepe70;2017-07-07 21:10;0;0;"Mid-day TOP of range: $ LOW 99, $ CC 97, $ TWX 88, $ DHI $ PHM 86, $ FE 84, $ NKE 80, $ SYY 79, $ LUV 77, $ AU $ KBH 73, $ HUN 71, $ CAT $ TJX 69";;;;"883493480013672449";https://twitter.com/platapepe70/status/883493480013672449
TheMarketsDaily;2017-07-07 20:33;0;0;"Northstar Investment Advisors LLC Has $1.29 Million Stake in Nike, Inc. $ NKE http:// zpr.io/PeUMm";;;;"883484232890429440";https://twitter.com/TheMarketsDaily/status/883484232890429440
FinInvTr;2017-07-07 20:31;0;0;"Consumer Stocks: Are Large Caps The Best Options? $ AMZN $ DIS $ MCD $ SBUX $ NKE http:// buff.ly/2uA8r9Q";;;;"883483538129080320";https://twitter.com/FinInvTr/status/883483538129080320
stanleysuen;2017-07-07 20:05;3;0;"Nike stock went up 10% strong after earning beat! $ NKE , #Invest , #Stock , #US -Stock http:// fincharts.blogspot.com/2017/06/nike-s tock-went-up-10-strong-after.html …";;;#Invest #Stock #US;"883476977914654720";https://twitter.com/stanleysuen/status/883476977914654720
SPNewsAnalysis;2017-07-07 19:47;0;0;"Somewhat Favorable Press Coverage Likely to Affect Nike $ NKE Stock Price http:// ift.tt/2sWVZip";;;;"883472493348040704";https://twitter.com/SPNewsAnalysis/status/883472493348040704
