username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
chaffeybreeze;2017-07-07 17:04;0;0;"Norfolk Souther Corporation $ NSC Downgraded to Sector Perform at Scotiabank http:// ift.tt/2sQ9ZiR";;;;"883431651572940800";https://twitter.com/chaffeybreeze/status/883431651572940800
IRAMarketReport;2017-07-07 17:02;0;0;"Norfolk Souther Corporation $ NSC Downgraded to Sector Perform at Scotiabank http:// ift.tt/2sQ9ZiR";;;;"883431074113744896";https://twitter.com/IRAMarketReport/status/883431074113744896
moneyandstocks;2017-07-07 16:52;0;0;"http:// bit.ly/2fry3Bj < Microcap Millionaires trading service will make you more profitable! $ AMTD $ CARA $ HD $ NSC";;;;"883428463792631808";https://twitter.com/moneyandstocks/status/883428463792631808
dailypoliticaln;2017-07-07 16:51;0;0;"Norfolk Souther Corporation $ NSC Downgraded to Sector Perform at Scotiabank http:// ift.tt/2tVE9jX";;;;"883428337242312704";https://twitter.com/dailypoliticaln/status/883428337242312704
TheMarketsDaily;2017-07-07 14:36;0;0;"Norfolk Souther Corporation $ NSC Shares Sold by Atlantic Trust Group LLC http:// zpr.io/PdWwZ";;;;"883394287941042179";https://twitter.com/TheMarketsDaily/status/883394287941042179
1MinuteStock;2017-07-07 14:26;0;0;"Wondering about #sentiment indicator for $ NSC ? The Short Ratio is 2.38% https:// unicornbay.com/t/NSC.US?utm_m edium=tweet&utm_campaign=shortratio&utm_source=twitter …";;;#sentiment;"883391674998677504";https://twitter.com/1MinuteStock/status/883391674998677504
SwingTradeBot;2017-07-07 14:03;0;0;"Recent $ NSC technical alerts: Stochastic Sell Signal plus 4 more alerts... https:// swingtradebot.com/equities/NSC";;;;"883385960796479488";https://twitter.com/SwingTradeBot/status/883385960796479488
QuantchaIdeas;2017-07-07 12:59;0;0;"Price Target Alert: Trading the Zacks price target change for NORFOLK SOUTHERN $ NSC http:// ideas.quantcha.com/2017/07/07/pri ce-target-alert-trading-the-zacks-price-target-change-for-norfolk-southern-nsc/ … pic.twitter.com/KVAVLNdBOA";;;;"883369889590788096";https://twitter.com/QuantchaIdeas/status/883369889590788096
DKOptions;2017-07-07 12:34;0;1;"$ NSC measured move out of this sideways channel targets 140, earnings in 2 weeks could be the catalyst pic.twitter.com/378S9LJbjY";;;;"883363536864522240";https://twitter.com/DKOptions/status/883363536864522240
SAlphaTrending;2017-07-07 10:00;0;0;"Class I Rail Traffic Midyear 2017 Update - It's Time To Shift Focus On Pricing https:// seekingalpha.com/article/408625 4-class-rail-traffic-midyear-2017-update-time-shift-focus-pricing?source=feed_t … $ BRK.B $ CNI $ CP $ CSX $ KSU $ NSC $ SPY";;;;"883324731675389957";https://twitter.com/SAlphaTrending/status/883324731675389957
chaffeybreeze;2017-07-07 08:54;0;0;"Norfolk Souther Corporation $ NSC Shares Bought by Cipher Capital LP http:// ift.tt/2sxptnA";;;;"883308148718698498";https://twitter.com/chaffeybreeze/status/883308148718698498
IRAMarketReport;2017-07-07 08:49;0;0;"Norfolk Souther Corporation $ NSC Shares Bought by Cipher Capital LP http:// ift.tt/2sxptnA";;;;"883307010149711873";https://twitter.com/IRAMarketReport/status/883307010149711873
SEEKINGALPHA_FS;2017-07-07 08:25;0;0;"Class I Rail Traffic Midyear 2017 Update - It's Time To Shift Focus On Pricing https:// seekingalpha.com/article/408625 4-class-rail-traffic-midyear-2017-update-time-shift-focus-pricing?source=twitter_sa_factset … $ BRK.B $ CNI $ CP $ CSX $ KSU $ NSC $ SPY";;;;"883300994112569347";https://twitter.com/SEEKINGALPHA_FS/status/883300994112569347
SeekingAlpha;2017-07-07 08:25;0;0;"Class I Rail Traffic Midyear 2017 Update - It's Time To Shift Focus On Pricing https:// seekingalpha.com/article/408625 4-class-rail-traffic-midyear-2017-update-time-shift-focus-pricing?source=feed_f … $ BRK.B $ CNI $ CP $ CSX $ KSU $ NSC $ SPY";;;;"883300991692488705";https://twitter.com/SeekingAlpha/status/883300991692488705
DozenStocks;2017-07-07 06:02;0;1;"Weekly S&P500 #Stocks Trend $ STX $ URI $ WYNN $ PHM $ RCL $ MU $ GLW $ SHW $ VRTX $ FLR $ DOW $ DD $ NSC $ KLAC $ ADI $ FDX @http:// 12Stocks.com/sp500";;@http;#Stocks;"883264963342614533";https://twitter.com/DozenStocks/status/883264963342614533
WatchlistN;2017-07-07 05:42;0;0;"Norfolk Souther Corporation $ NSC Shares Sold by Atlantic Trust Group LLC http:// ift.tt/2uxiLPN";;;;"883259891246395392";https://twitter.com/WatchlistN/status/883259891246395392
SleekMoneycom;2017-07-07 05:41;0;0;"106,881 Shares in Norfolk Souther Corporation $ NSC Acquired by Clinton Group Inc. http:// ift.tt/2swsCnt";;;;"883259664191946752";https://twitter.com/SleekMoneycom/status/883259664191946752
emq_news;2017-07-07 05:39;0;0;"Wayne Hummer Investments L.L.C. Invests $488,000 in Norfolk Souther Corporation $ NSC http:// ift.tt/2uxoKUG";;;;"883259110753538048";https://twitter.com/emq_news/status/883259110753538048
